,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
LTC Opening Price ($),19571.0,106.52660364825506,84.93,65.35597788176834,22.8,29.721,35.69,42.81,54.26,84.93,147.9,196.83,229.04000000000002,308.976,408.93
LTC High Price ($),19571.0,107.90795411578355,85.89,66.60997353859713,22.92,30.1,36.485,43.07,54.71,85.89,149.5,199.5,232.555,315.23699999999945,413.49
LTC Low Price ($),19571.0,105.02969495682387,83.94,63.98461830244118,22.32,29.19,34.845,42.45,53.76,83.94,145.9,194.7,224.79500000000002,300.1629999999996,397.32
LTC Close Price ($),19571.0,106.51620050074088,84.91,65.34584042986515,22.8,29.721,35.69,42.81,54.26,84.91,147.89499999999998,196.8,228.97,308.976,408.93
