TIMESTAMP,QTUM_CLOSE_PRICE_USD,QTUM_OPEN_PRICE_USD,QTUM_HIGH_PRICE_USD,QTUM_LOW_PRICE_USD
2017-10-11,12.09,12.1,12.5,11.75
2017-10-12,11.0,12.09,12.33,11.0
2017-10-13,10.82,11.0,11.1,9.68
2017-10-14,10.56,10.82,11.69,10.27
2017-10-15,10.16,10.56,10.8,9.77
2017-10-16,11.4,10.16,12.09,9.91
2017-10-17,12.0,11.4,12.44,10.78
2017-10-18,11.32,12.0,12.0,10.41
2017-10-19,12.12,11.32,12.4,11.3
2017-10-20,11.07,12.12,18.0,10.4
2017-10-21,10.8,11.07,11.44,10.16
2017-10-22,10.3,10.8,11.1,10.08
2017-10-23,9.57,10.3,10.5,9.25
2017-10-24,10.58,9.57,11.23,9.11
2017-10-25,10.34,10.58,10.66,9.88
2017-10-26,10.39,10.34,10.76,10.15
2017-10-27,10.19,10.39,10.52,9.9
2017-10-28,9.97,10.19,10.31,9.69
2017-10-29,10.34,9.97,10.54,9.7
2017-10-30,10.25,10.34,10.9,10.04
2017-10-31,10.36,10.25,10.8,10.2
2017-11-01,9.67,10.36,10.36,9.46
2017-11-02,9.29,9.66,9.83,8.7
2017-11-03,10.24,9.29,10.24,9.28
2017-11-04,9.97,10.24,10.3,9.72
2017-11-05,9.96,9.97,10.16,9.73
2017-11-06,10.26,9.96,11.22,9.73
2017-11-07,10.86,10.26,11.19,10.1
2017-11-08,11.87,10.86,12.4,10.55
2017-11-09,11.83,11.87,12.4,11.47
2017-11-10,11.22,11.83,12.26,10.55
2017-11-11,11.5,11.22,11.85,10.75
2017-11-12,10.64,11.5,11.6,10.1
2017-11-13,11.23,10.64,11.23,10.51
2017-11-14,11.4,11.23,11.46,10.84
2017-11-15,11.52,11.4,11.82,10.9
2017-11-16,12.93,11.52,13.59,11.23
2017-11-17,13.26,12.93,13.27,12.35
2017-11-18,13.99,13.26,14.2,12.7
2017-11-19,14.2,13.99,14.3,13.44
2017-11-20,14.9,14.2,15.48,13.91
2017-11-21,13.92,14.9,15.26,13.51
2017-11-22,14.18,13.92,14.37,13.6
2017-11-23,13.76,14.18,14.41,13.56
2017-11-24,14.12,13.76,14.41,13.0
2017-11-25,14.25,14.12,14.8,13.82
2017-11-26,14.63,14.25,14.67,14.25
2017-11-27,14.33,14.63,14.87,13.6
2017-11-28,14.37,14.33,15.9,13.93
2017-11-29,12.0,14.37,14.41,11.53
2017-11-30,11.79,12.0,12.74,10.79
2017-12-01,12.7,11.79,12.87,11.3
2017-12-02,12.43,12.7,12.9,12.2
2017-12-03,12.65,12.43,13.5,11.8
2017-12-04,13.49,12.65,13.7,12.1
2017-12-05,12.26,13.49,13.5,12.26
2017-12-06,11.01,12.26,12.42,10.57
2017-12-07,10.63,11.01,14.69,10.38
2017-12-08,11.81,10.63,12.0,10.2
2017-12-09,11.76,11.81,12.32,11.2
2017-12-10,10.52,11.76,11.85,10.5
2017-12-11,13.06,10.52,15.1,10.5
2017-12-12,14.93,13.06,15.27,12.9
2017-12-13,16.72,14.93,18.6,14.14
2017-12-14,19.73,16.72,19.9,16.34
2017-12-15,29.53,19.73,32.25,16.2
2017-12-16,27.96,29.53,31.0,27.02
2017-12-17,28.77,27.96,31.2,27.34
2017-12-18,49.0,28.77,52.78,26.29
2017-12-19,60.51,49.0,71.99,47.14
2017-12-20,54.61,60.51,62.62,49.24
2017-12-21,52.65,54.61,61.0,48.81
2017-12-22,40.47,52.65,54.4,29.0
2017-12-23,45.46,40.47,50.38,39.25
2017-12-24,42.79,45.46,45.7,36.28
2017-12-25,46.5,42.79,51.0,39.53
2017-12-26,49.26,46.5,49.8,46.0
2017-12-27,47.61,49.26,50.47,44.72
2017-12-28,47.87,47.61,47.94,40.2
2017-12-29,50.19,47.87,54.0,46.32
2017-12-30,47.44,50.19,58.08,42.5
2017-12-31,52.84,47.44,55.6,46.38
2018-01-01,51.7,52.84,55.0,49.09
2018-01-02,53.22,51.7,55.45,46.5
2018-01-03,52.49,53.22,55.33,50.5
2018-01-04,45.6,52.49,52.49,45.53
2018-01-05,50.05,45.6,61.0,44.41
2018-01-06,69.01,50.05,74.0,44.88
2018-01-07,61.0,69.01,82.0,58.33
2018-01-08,55.02,61.0,63.98,47.31
2018-01-09,52.01,55.02,58.1,50.0
2018-01-10,52.85,52.01,57.0,47.31
2018-01-11,45.27,52.846,53.44,40.81
2018-01-12,49.52,45.002,51.989,42.91
2018-01-13,55.0,49.52,57.5,49.391
2018-01-14,54.009,55.0,55.5,47.66
2018-01-15,51.49,54.009,58.24,51.02
2018-01-16,34.641,51.49,51.49,28.19
2018-01-17,36.098,34.641,38.597,26.323
2018-01-18,36.021,36.098,39.8,33.5
2018-01-19,38.545,36.021,42.808,35.0
2018-01-20,51.211,38.527,52.5,37.741
2018-01-21,43.0,51.538,52.91,39.8
2018-01-22,39.849,43.0,44.347,35.52
2018-01-23,39.015,39.849,41.87,35.121
2018-01-24,40.5,39.229,42.069,37.674
2018-01-25,40.33,40.5,44.0,39.061
2018-01-26,39.068,40.33,41.779,35.0
2018-01-27,39.877,39.068,40.549,37.942
2018-01-28,43.09,39.877,43.09,39.667
2018-01-29,41.766,43.09,44.5,40.7
2018-01-30,36.5041,41.6861,41.7141,35.6583
2018-01-31,41.0122,36.5041,41.3097,34.2324
2018-02-01,35.5275,40.9891,41.0798,33.9804
2018-02-02,30.8043,35.5275,35.5427,24.4602
2018-02-03,31.008,30.7887,32.0746,26.9345
2018-02-04,26.1488,30.9906,31.0878,25.3266
2018-02-05,20.0488,26.1488,26.6553,18.9224
2018-02-06,23.4312,20.0488,24.0058,16.5166
2018-02-07,21.4401,23.3815,24.6342,20.5916
2018-02-08,25.7232,21.4318,26.6125,21.3821
2018-02-09,30.1082,25.7232,30.4271,24.8712
2018-02-10,28.5926,30.0825,32.7646,27.3589
2018-02-11,26.3551,28.5926,28.683,25.2626
2018-02-12,29.0535,26.3551,29.7008,26.3429
2018-02-13,28.6044,29.0535,29.1833,27.3747
2018-02-14,31.8311,28.6065,32.014,28.6065
2018-02-15,31.6529,31.8283,32.5043,30.4612
2018-02-16,31.8593,31.6832,32.571,30.4201
2018-02-17,32.4601,31.8629,32.6276,31.6781
2018-02-18,29.8408,32.471,32.6711,28.707
2018-02-19,31.2717,29.8408,31.9452,29.6437
2018-02-20,28.8502,31.2732,32.033,28.7728
2018-02-21,26.485,28.8618,29.1498,25.9729
2018-02-22,25.1439,26.4752,27.7473,24.2289
2018-02-23,26.5331,25.1399,26.7252,24.0931
2018-02-24,25.0855,26.5244,27.5059,24.321
2018-02-25,25.2165,25.0865,25.513,24.3911
2018-02-26,27.526,25.2135,29.2621,24.2982
2018-02-27,27.3292,27.5405,28.5862,26.7716
2018-02-28,25.5727,27.3131,28.0262,25.5727
2018-03-01,26.4413,25.5727,26.8607,25.4504
2018-03-02,25.654,26.4532,26.5938,25.1075
2018-03-03,25.5758,25.654,26.4643,25.3452
2018-03-04,26.3884,25.5758,26.5886,24.9334
2018-03-05,26.1894,26.3884,27.4483,25.9393
2018-03-06,24.6823,26.183,26.6163,24.4127
2018-03-07,21.4192,24.6649,25.0368,20.272
2018-03-08,19.6622,21.4192,22.0557,19.6067
2018-03-09,19.0947,19.6649,19.7667,17.2075
2018-03-10,18.0052,19.0855,19.8038,17.9708
2018-03-11,19.1369,18.0106,19.4112,17.4708
2018-03-12,18.0718,19.1223,19.3805,17.6579
2018-03-13,17.9746,18.0755,18.5595,17.5334
2018-03-14,15.8419,17.9746,18.3436,15.5517
2018-03-15,15.4128,15.8419,16.3158,14.1664
2018-03-16,14.8026,15.4162,15.6849,14.6327
2018-03-17,13.4602,14.8019,14.9169,13.2407
2018-03-18,13.2186,13.4632,13.4702,11.0337
2018-03-19,19.65,13.2186,20.129,12.9872
2018-03-20,20.607,19.642,21.7661,18.4355
2018-03-21,19.4314,20.607,20.8672,18.5718
2018-03-22,19.2436,19.5174,19.9978,17.7052
2018-03-23,18.3981,19.2436,19.2615,17.6413
2018-03-24,17.7616,18.4011,19.3826,17.7259
2018-03-25,17.9122,17.7633,18.2374,17.5643
2018-03-26,16.0269,17.903,18.0996,15.15
2018-03-27,15.1138,16.0269,16.553,14.6091
2018-03-28,15.4917,15.1138,16.0857,15.1009
2018-03-29,14.1335,15.52,15.6218,13.9199
2018-03-30,14.193,14.1049,14.8654,13.3976
2018-03-31,14.056,14.193,14.6937,13.9875
2018-04-01,13.3487,14.056,14.2136,12.4766
