,ETH
BTC,0.767797492619459
ETC,0.7093623185948162
QTUM,0.6797573396045952
GNO,0.6761486739591482
LSK,0.647483337565103
DCR,0.6279257950318589
DGB,0.6150487381328912
SC,0.6082534963640797
ARK,0.604827427500228
XRP,0.6038095531032676
ZEN,0.5939185822913114
BTS,0.5803149765804028
KMD,0.5796160187112096
ANT,0.5784725808225971
STEEM,0.5592769322612792
RLC,0.5538167005987548
XEM,0.5450039340514445
FIRO,0.5286467015494859
MAID,0.5077398899043535
SYS,0.4900717583442968
MONA,0.4359980130749477
VERI,0.3452188584211717
DOGE,0.32546749320865
CON,0.1453419342612966
XWC,0.0817729386569496
USDT,-0.0085651506976629
