,ETH
BTC,0.7687372847635452
ETC,0.7088873502573799
QTUM,0.679523799894732
GNO,0.6691526527639693
LSK,0.6451244039175901
DCR,0.6276997567873305
DGB,0.6142254601484711
SC,0.6059197842256763
XRP,0.6034620439946197
ARK,0.6025046312200119
ZEN,0.5946111538032552
BTS,0.5830480625343227
KMD,0.5774784605383494
ANT,0.5725904331503575
RLC,0.5580133285426568
STEEM,0.5577611707136343
XEM,0.5273166567544487
FIRO,0.5248129621996331
MAID,0.5073400656674458
SYS,0.494245680216552
MONA,0.436540630957806
VERI,0.3453657697851221
DOGE,0.2860371116755805
CON,0.145787351337477
XWC,0.0839372528131845
USDT,-0.0012500692976036
