TIMESTAMP,WOLT_OPEN_PRICE_USD,WOLT_HIGH_PRICE_USD,WOLT_LOW_PRICE_USD,WOLT_CLOSE_PRICE_USD,WOLT_VOLUME_USD,WOLT_DIVIDENDS_USD,WOLT_STOCK_SPLITS_USD
2024-10-23 00:00:00+00:00,,,,0.0,231702,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,63120,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,61695,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,26959,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,19365,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,33769,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,12114,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,9097,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,4386,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,9837,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,1264,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,4399,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,2442,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,4126,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,3694,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,9969,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,5505,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,4153,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,4536,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,4993,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,5631,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,1968,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,3205,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,3612,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,172,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,1971,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,1560,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,517,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,223,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,231,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,1877,0.0,0.0
