TIMESTAMP,FRGB_OPEN_PRICE_USD,FRGB_HIGH_PRICE_USD,FRGB_LOW_PRICE_USD,FRGB_CLOSE_PRICE_USD,FRGB_VOLUME_USD,FRGB_DIVIDENDS_USD,FRGB_STOCK_SPLITS_USD
2025-03-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,43286,0.0,0.0
2025-03-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,39074,0.0,0.0
2025-03-05 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,33022,0.0,0.0
2025-03-06 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,33547,0.0,0.0
2025-03-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,33820,0.0,0.0
2025-03-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,34115,0.0,0.0
2025-03-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,33216,0.0,0.0
2025-03-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,34178,0.0,0.0
2025-03-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,35601,0.0,0.0
2025-03-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,31211,0.0,0.0
2025-03-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,21012,0.0,0.0
2025-03-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,21695,0.0,0.0
2025-03-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,20094,0.0,0.0
2025-03-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,20714,0.0,0.0
2025-03-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23170,0.0,0.0
2025-03-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,20692,0.0,0.0
2025-03-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,20259,0.0,0.0
2025-03-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,21772,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,12621,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,391,0.0,0.0
2025-03-25 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,0,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,105,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,278,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,23,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,295,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,544,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,734,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,1021,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,746,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,9322,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,4695,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,2773,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,480,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,225,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,385,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,264,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,183,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,3230,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,1036,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,352,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,47,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,375,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-06-01 00:00:00+00:00,1.3542550902911898e-07,1.3542550902911898e-07,1.2950955863288982e-07,1.3109577423620067e-07,98,0.0,0.0
