TIMESTAMP,GINUX_OPEN_PRICE_USD,GINUX_HIGH_PRICE_USD,GINUX_LOW_PRICE_USD,GINUX_CLOSE_PRICE_USD,GINUX_VOLUME_USD,GINUX_DIVIDENDS_USD,GINUX_STOCK_SPLITS_USD
2021-06-14 00:00:00+00:00,1.1000000085914508e-05,1.700000029813964e-05,1.1000000085914508e-05,1.5999999959603883e-05,416122,0.0,0.0
2021-06-15 00:00:00+00:00,1.2999999853491317e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.2000000424450263e-05,401103,0.0,0.0
2021-06-16 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,462776,0.0,0.0
2021-06-17 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,248183,0.0,0.0
2021-06-18 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,136786,0.0,0.0
2021-06-19 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,91795,0.0,0.0
2021-06-20 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.2000000424450263e-05,66310,0.0,0.0
2021-06-21 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,7.999999979801942e-06,7.999999979801942e-06,49321,0.0,0.0
2021-06-22 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,66052,0.0,0.0
2021-06-23 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,70359,0.0,0.0
2021-06-24 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,30779,0.0,0.0
2021-06-25 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,27920,0.0,0.0
2021-06-26 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,16929,0.0,0.0
2021-06-27 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,16475,0.0,0.0
2021-06-28 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,7033,0.0,0.0
2021-06-29 00:00:00+00:00,7.000000096013537e-06,1.2000000424450263e-05,7.000000096013537e-06,9.000000318337698e-06,37019,0.0,0.0
2021-06-30 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,72406,0.0,0.0
2021-07-01 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,6.000000212225132e-06,7.999999979801942e-06,65482,0.0,0.0
2021-07-02 00:00:00+00:00,7.999999979801942e-06,1.8999999156221747e-05,0.0,1.700000029813964e-05,611988,0.0,0.0
2021-07-03 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8999999156221747e-05,1014024,0.0,0.0
2021-07-04 00:00:00+00:00,1.8999999156221747e-05,2.499999936844688e-05,1.700000029813964e-05,2.4000000848900527e-05,940934,0.0,0.0
