TIMESTAMP,SHEESHA_OPEN_PRICE_USD,SHEESHA_HIGH_PRICE_USD,SHEESHA_LOW_PRICE_USD,SHEESHA_CLOSE_PRICE_USD,SHEESHA_VOLUME_USD,SHEESHA_DIVIDENDS_USD,SHEESHA_STOCK_SPLITS_USD
2021-04-30 00:00:00+00:00,868.0382690429688,895.0518798828125,738.4737548828125,753.7989501953125,1700803,0.0,0.0
2021-05-01 00:00:00+00:00,753.6845092773438,772.634765625,723.2611694335938,734.159912109375,529725,0.0,0.0
2021-05-02 00:00:00+00:00,734.338134765625,832.3562622070312,642.3642578125,693.2545166015625,256641,0.0,0.0
2021-05-03 00:00:00+00:00,707.3817138671875,821.04736328125,690.231201171875,816.0452880859375,62608,0.0,0.0
2021-05-04 00:00:00+00:00,816.0210571289062,826.5453491210938,733.5338134765625,733.5338134765625,286746,0.0,0.0
2021-05-05 00:00:00+00:00,733.4708862304688,779.4757690429688,718.2227783203125,778.0376586914062,116729,0.0,0.0
2021-05-06 00:00:00+00:00,778.066650390625,803.5499877929688,750.4573364257812,795.843505859375,254987,0.0,0.0
2021-05-07 00:00:00+00:00,795.1299438476562,821.0333862304688,769.7848510742188,799.6672973632812,59882,0.0,0.0
2021-05-08 00:00:00+00:00,799.9367065429688,927.7129516601562,751.5087890625,910.7551879882812,30608,0.0,0.0
2021-05-09 00:00:00+00:00,912.163330078125,996.2276611328125,849.7368774414062,885.5667114257812,57577,0.0,0.0
2021-05-10 00:00:00+00:00,887.1957397460938,1004.575927734375,836.6782836914062,883.299072265625,191050,0.0,0.0
2021-05-11 00:00:00+00:00,885.6834716796875,904.2228393554688,827.5671997070312,895.7304077148438,282285,0.0,0.0
2021-05-12 00:00:00+00:00,896.14990234375,906.2532958984375,792.7506713867188,800.383056640625,132462,0.0,0.0
2021-05-13 00:00:00+00:00,793.2710571289062,826.7349243164062,716.4420776367188,742.7693481445312,56408,0.0,0.0
2021-05-14 00:00:00+00:00,744.0431518554688,836.0887451171875,741.6905517578125,809.4310913085938,94133,0.0,0.0
2021-05-15 00:00:00+00:00,807.8497924804688,819.0576782226562,685.7162475585938,686.2631225585938,148456,0.0,0.0
2021-05-16 00:00:00+00:00,685.530029296875,748.2664184570312,636.5662841796875,675.4609375,242797,0.0,0.0
2021-05-17 00:00:00+00:00,676.4005737304688,680.9276733398438,597.9193725585938,619.8527221679688,116717,0.0,0.0
2021-05-18 00:00:00+00:00,619.6868286132812,676.8643798828125,277.44891357421875,282.8473205566406,182,0.0,0.0
