,BTC,Lag
VEC2,3.9321693496404045e-10,26
WYZ,7.958002293982195e-10,30
ACES,5.324749987719877e-08,28
USDT,4.139688435061314e-07,18
RBT,9.121946012561202e-07,30
UNIT,2.6311633569487184e-06,30
WBB,1.996484578249605e-05,30
DOGE,5.237797676228777e-05,30
XLM,0.000146903685304,13
IBANK,0.0001672445654373,22
LTC,0.0002505137295328,15
FRN,0.0005265220091511,25
DASH,0.0009149981357129,25
SKULL,0.001186798777819,12
ETC,0.0014116729215464,26
TAJ,0.0015107142486731,30
ETH,0.0017318559066621,29
PXI,0.0017611510484954,29
C2,0.0018079285340211,12
VLT,0.0020750745673569,26
VIDZ,0.002499506459983,24
LTCR,0.0025529011962475,6
POST,0.0027648454421567,24
XMR,0.0028606321447698,14
DGB,0.0031534221973463,29
ZEC,0.0032090955620702,13
XEM,0.003527412925499,20
XRP,0.0036271133647817,30
MONA,0.0040854862428164,28
LMC,0.0046315220834089,30
CREVA,0.0047228205608811,30
SC,0.004861768755931,28
DIME,0.0053197609213662,30
SWING,0.0054682910137924,27
EVIL,0.0055598868817562,23
IMS,0.0058402001391456,27
RLC,0.0058548963483206,14
ENT,0.0069772753457861,30
XMS,0.0071391036588227,30
KURT,0.0073588146607437,15
ZET,0.0082280562746704,29
BAT,0.0084322476938548,8
EUC,0.0089965567946549,17
XWC,0.0091607140377832,30
LOOK,0.0105109700409443,30
CJ,0.0132145369550397,28
GNO,0.0134781315622358,28
QTUM,0.0150713749020248,18
TRST,0.0158948356337984,26
GBYTE,0.016212625763175,29
GAS,0.0176010839557116,7
ICON,0.0193963449275598,25
GRS,0.0198151612724861,29
2GIVE,0.0214082501115099,30
CAB,0.0222402215185615,29
TAB,0.0276482240191729,25
KMD,0.0294445708420806,7
ZUR,0.0300626688225999,28
SKR,0.0340075513860896,30
ZEN,0.0380061704008755,29
WC,0.0443127431694346,7
CETI,0.0463326713165666,30
FRC,0.0479070194026233,11
XPY,0.050415818301199,30
STEEM,0.0514057847521591,30
ADZ,0.0534532820288194,20
XPX,0.0560446368290966,6
NYC,0.056180886785995,2
BLK,0.0575716284092512,24
CF,0.0588451245942461,14
WAVES,0.0600404536712537,12
SPR,0.0616588310380853,8
XHI,0.0638162766360209,15
PIVX,0.0640215253186879,13
ZCL,0.0642535219408996,30
IFC,0.068138379682269,21
CARBON,0.0683489083889862,26
PZM,0.0689673030567709,2
AV,0.0709177846794568,13
COOL,0.0724671985661853,16
MST,0.0733483117081819,1
EDRC,0.0767863398489666,23
KOBO,0.0780159509725503,13
DEM,0.0781817013482469,21
NOBL,0.0811962325400045,15
XDN,0.082669525254581,30
NMC,0.0830822897488106,5
LDOGE,0.084444434635397,11
HBD,0.0874736534827901,28
ZOOM,0.0880673668420271,4
SYS,0.0918666627007383,6
LUN,0.0924522518654981,22
VAL,0.0924724043195028,5
WGR,0.0950829543940124,12
ZYD,0.0957755425238907,28
LUNC,0.0962616848535115,30
NEWB,0.0994960718871443,23
BS,0.1032334975817208,12
IRL,0.1040937165449441,24
SXC,0.1158954240731695,21
QBC,0.1173826973374421,2
IOTA,0.119120729526682,3
ARK,0.1193896825984036,7
PKB,0.1336733862902666,2
ADC,0.1355477230078624,4
BTB,0.1376477250379863,26
XTO,0.1402276508378388,30
