TIMESTAMP,FUKU32625_OPEN_PRICE_USD,FUKU32625_HIGH_PRICE_USD,FUKU32625_LOW_PRICE_USD,FUKU32625_CLOSE_PRICE_USD,FUKU32625_VOLUME_USD,FUKU32625_DIVIDENDS_USD,FUKU32625_STOCK_SPLITS_USD
2024-08-12 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,6.000000212225132e-06,7.000000096013537e-06,14393671,0.0,0.0
2024-08-13 00:00:00+00:00,7.000000096013537e-06,2.499999936844688e-05,6.000000212225132e-06,1.9999999494757503e-05,21849608,0.0,0.0
2024-08-14 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,9.999999747378752e-06,1.1000000085914508e-05,12596985,0.0,0.0
2024-08-15 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,13608043,0.0,0.0
2024-08-16 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,9.000000318337698e-06,9.999999747378752e-06,11325622,0.0,0.0
2024-08-17 00:00:00+00:00,1.1000000085914508e-05,1.700000029813964e-05,9.999999747378752e-06,1.4000000192027073e-05,8724358,0.0,0.0
2024-08-18 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,9.999999747378752e-06,1.1000000085914508e-05,7685799,0.0,0.0
2024-08-19 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,7.999999979801942e-06,7.999999979801942e-06,8270383,0.0,0.0
2024-08-20 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,10095818,0.0,0.0
2024-08-21 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,9925626,0.0,0.0
2024-08-22 00:00:00+00:00,3.999999989900971e-06,9.999999747378752e-06,3.999999989900971e-06,7.000000096013537e-06,11924777,0.0,0.0
2024-08-23 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,11120080,0.0,0.0
2024-08-24 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,6640796,0.0,0.0
2024-08-25 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,6890742,0.0,0.0
2024-08-26 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,7875845,0.0,0.0
2024-08-27 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,10696239,0.0,0.0
2024-08-28 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,11286083,0.0,0.0
2024-08-29 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,9233478,0.0,0.0
2024-08-30 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2284773,0.0,0.0
2024-08-31 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1665270,0.0,0.0
2024-09-01 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,1696315,0.0,0.0
2024-09-02 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,2542598,0.0,0.0
2024-09-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,2074422,0.0,0.0
2024-09-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1748642,0.0,0.0
2024-09-05 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,2186131,0.0,0.0
2024-09-06 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,2312794,0.0,0.0
2024-09-07 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,1932471,0.0,0.0
