TIMESTAMP,DANK32433_OPEN_PRICE_USD,DANK32433_HIGH_PRICE_USD,DANK32433_LOW_PRICE_USD,DANK32433_CLOSE_PRICE_USD,DANK32433_VOLUME_USD,DANK32433_DIVIDENDS_USD,DANK32433_STOCK_SPLITS_USD
2024-07-26 00:00:00+00:00,5.0999999075429514e-05,6.399999983841553e-05,3.7999998312443495e-05,4.3000000005122274e-05,117256,0.0,0.0
2024-07-27 00:00:00+00:00,4.3000000005122274e-05,6.0999998822808266e-05,4.099999932805076e-05,5.2999999752501026e-05,46661,0.0,0.0
2024-07-28 00:00:00+00:00,5.2999999752501026e-05,6.500000017695129e-05,4.199999966658652e-05,5.2999999752501026e-05,53142,0.0,0.0
2024-07-29 00:00:00+00:00,5.2999999752501026e-05,6.0999998822808266e-05,5.2999999752501026e-05,5.2999999752501026e-05,17194,0.0,0.0
2024-07-30 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.400000034365803e-05,4.400000034365803e-05,13344,0.0,0.0
2024-07-31 00:00:00+00:00,4.400000034365803e-05,4.8000001697801054e-05,3.899999865097925e-05,3.899999865097925e-05,8059,0.0,0.0
2024-08-01 00:00:00+00:00,3.899999865097925e-05,4.600000102072954e-05,3.400000059627928e-05,3.7000001611886546e-05,26571,0.0,0.0
2024-08-02 00:00:00+00:00,3.7000001611886546e-05,5.700000110664405e-05,2.700000004551839e-05,4.400000034365803e-05,94071,0.0,0.0
2024-08-03 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,3.899999865097925e-05,3.9999998989515007e-05,12481,0.0,0.0
2024-08-04 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.5000000934815034e-05,3.7000001611886546e-05,3688,0.0,0.0
2024-08-05 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,2.300000051036477e-05,2.499999936844688e-05,18361,0.0,0.0
2024-08-06 00:00:00+00:00,2.499999936844688e-05,3.199999991920777e-05,2.499999936844688e-05,2.9000000722589903e-05,9564,0.0,0.0
2024-08-07 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.4000000848900527e-05,2.4000000848900527e-05,9945,0.0,0.0
2024-08-08 00:00:00+00:00,2.4000000848900527e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,5452,0.0,0.0
2024-08-09 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.099999983329326e-05,2.300000051036477e-05,6523,0.0,0.0
2024-08-10 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8000000636675395e-05,12768,0.0,0.0
2024-08-11 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,2118,0.0,0.0
2024-08-12 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,3263,0.0,0.0
2024-08-13 00:00:00+00:00,1.700000029813964e-05,2.4000000848900527e-05,1.700000029813964e-05,1.8999999156221747e-05,17328,0.0,0.0
2024-08-14 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.4999999621068127e-05,10433,0.0,0.0
2024-08-15 00:00:00+00:00,1.4999999621068127e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,7655,0.0,0.0
2024-08-16 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,1391,0.0,0.0
2024-08-17 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1130,0.0,0.0
2024-08-18 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1230,0.0,0.0
2024-08-19 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,602,0.0,0.0
2024-08-20 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,4550,0.0,0.0
2024-08-21 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,753,0.0,0.0
2024-08-22 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,2679,0.0,0.0
2024-08-23 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,2194,0.0,0.0
2024-08-24 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05,7291,0.0,0.0
2024-08-25 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,624,0.0,0.0
2024-08-26 00:00:00+00:00,1.4999999621068127e-05,3.300000025774352e-05,3.999999989900971e-06,4.999999873689376e-06,901831,0.0,0.0
2024-08-27 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,34768,0.0,0.0
2024-08-28 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,5120,0.0,0.0
2024-08-29 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,4587,0.0,0.0
2024-08-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,795,0.0,0.0
2024-08-31 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,433,0.0,0.0
2024-09-01 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,602,0.0,0.0
2024-09-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,296,0.0,0.0
2024-09-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,324,0.0,0.0
2024-09-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1752,0.0,0.0
2024-09-05 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,10965,0.0,0.0
2024-09-06 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,4722,0.0,0.0
2024-09-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,637,0.0,0.0
2024-09-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,219,0.0,0.0
