TIMESTAMP,WSB24755_OPEN_PRICE_USD,WSB24755_HIGH_PRICE_USD,WSB24755_LOW_PRICE_USD,WSB24755_CLOSE_PRICE_USD,WSB24755_VOLUME_USD,WSB24755_DIVIDENDS_USD,WSB24755_STOCK_SPLITS_USD
2023-04-27 00:00:00+00:00,,,,0.0,1790637,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,2032573,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,4322837,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,4495548,0.0,0.0
2023-05-01 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,34295682,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,46347291,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,11071233,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,22457025,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,10910579,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,15899486,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,10701664,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,4657769,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,2755552,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,2473772,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,1827220,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,4475609,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,5121577,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,1562607,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,1485390,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,2436860,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,3838614,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,3302247,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,1865438,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,1455994,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,1219028,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,1862884,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,1358320,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,1416057,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,955793,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,1092293,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,1189013,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,1091478,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,1036254,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,1269690,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,941599,0.0,0.0
