Lag,ANT,ARK,BTC,BTS,CON,DCR,DGB,DOGE,ETC,ETH,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XWC,ZEN
1,0.037063116255541685,0.24847787219513445,0.00779488392044043,5.612072472765937e-08,0.20982807739809003,0.05224398620151058,0.15333162370302367,5.046950716232501e-05,0.7280137783803756,0.0013828203746010298,0.12361883587511266,0.13730615584324526,0.05243432605659926,0.25868409316981866,0.14618020717421637,0.7503074117848059,0.007965304285897453,0.004562510560656094,7.545650621096697e-05,0.22611104236934076,0.7557916904179829,0.0016774030871888205,0.31200293386376654,0.13576000134506133,0.8797762722394603,0.836666169627666
2,0.08804171652862984,0.48106946620333946,0.005964982745902955,7.051248424829772e-07,0.3739521413306366,0.0937236996245461,0.29972407653141664,4.346279163940793e-08,0.6242349345196778,0.004944114579536967,0.2751110309900409,0.3466655297653496,0.09169520398126653,0.19096759118155046,0.16605639973190667,0.7761005796153052,0.010464261386178418,0.01488737189013575,0.00035388673085432626,0.3749177962964414,0.9413127464676868,0.004316445428377843,0.3740751797961543,0.008495877206625884,0.7696168438058857,0.7765783595501561
3,0.15248621305070612,0.5779390517031,0.00022704506753357942,8.937908944970472e-11,0.5698224196897907,0.05125218235353602,0.45074677472222124,2.1368570541978838e-07,0.5591756275807855,4.991990937618721e-05,0.25274987634624463,0.10244609861733243,0.13274191549407335,0.23852124183085108,0.05868910991077036,0.9124004607051436,2.2514635179686576e-06,0.03761321298451456,0.001209233102307761,0.2967429681745787,0.06886198262503351,0.00010405033574460557,0.5803789607925036,0.002536347330769157,0.914273430009855,0.13248204044210446
4,0.10676038694537938,0.68201398540774,0.00024435820736751446,6.696775628652127e-13,0.7237743076349188,0.08909062170715486,0.2174518813627831,3.55889405482151e-09,0.5907586302584142,0.00015147304389949166,0.3338323130604523,0.18744158082531556,0.2286252954673635,0.08546356942408843,0.11634211540320578,0.8568855688380789,6.265819820513067e-06,0.01958331961259179,0.0023140099131832817,0.443267686564749,0.11577403825158442,0.00026186378625974745,0.7036724070909959,1.5584195515154055e-08,0.9682299982490146,0.22367148491893896
5,0.1978642401960677,0.7779537707884993,0.00027505966516028815,5.17757482465475e-13,0.8377739427764301,0.15319104497459216,0.1651143335704419,7.975626455452557e-10,0.6771192425121134,0.0004482955295521953,0.5016325509890195,0.27928091521548276,0.3273338121025342,0.08324874858714146,0.18826789854598652,0.6499150777060997,1.157648045161708e-05,0.012468398786757864,0.00511664672412978,0.5751368710559319,0.16416097184092968,0.0011796845264143046,0.8178745127362391,4.827766194258227e-08,0.979163062969128,0.2813232626102111
6,0.23363803272649616,0.7647328192757272,0.00036301017270277936,2.0171843409829584e-12,0.8970227154270706,0.23455766251297294,0.2455089984795086,3.828251696707642e-10,0.7068859286689984,6.96625011315448e-05,0.602434883030962,0.2000922426538116,0.22309564151750436,0.13338296082402526,0.2714072935234665,0.7570126447419404,1.9082700695197304e-05,0.01755574556753372,0.008462927116125203,0.6901062291462925,0.20766497693137984,0.0012533802826888807,0.8877484549591956,9.511809447701788e-11,0.9780175205197138,0.37754765729918766
7,0.27904329354484636,0.8246146346345306,0.0010280312581743307,2.7944082260566213e-11,0.8980521169847372,0.12757192834929457,0.1568596422492943,2.6894523644187134e-09,0.10665716023013834,0.00016102148073926298,0.6478381426162563,0.2572898531613442,0.30655233059169523,0.2351976428864749,0.3317875635760202,0.526155612167744,5.809474307487792e-05,0.08530214890500891,0.028365250608981384,0.847236848709626,0.3651865765976203,0.008121762185654902,0.8959501928206794,1.893971414983684e-12,0.9697385555670597,0.4139290125274484
8,0.36388781948265625,0.8895454577033863,0.002759960069996578,4.6556295499497174e-11,0.9438833073555141,0.0818726136677083,0.11858238711236276,2.9999865589981996e-09,0.07508988238511394,0.0004124327533740667,0.6011279944434018,0.21841584737690228,0.44413558385077356,0.2584955520059614,0.3214070713616358,0.5745281250952265,0.0001019127422941832,0.1350345437558267,0.0423151036611492,0.904498553868055,0.4876633310688838,0.002912420635366237,0.9240574016542218,3.726443781908105e-12,0.9850732313730437,0.48905455275327536
9,0.45576891752400484,0.12562630760824983,0.000853663739547614,5.100797047541493e-11,0.9693196449742305,0.09229034606830101,0.18952348158367135,2.542680607051357e-09,0.11843823620961977,0.000552056927258979,0.6627549842671878,0.1675664227530123,0.3247690663327185,0.0432850531096019,0.25996381021604836,0.20308483365481345,0.00019974924949622564,0.09285554656286372,0.003395036342697968,0.9536979816527285,0.37791618941721705,0.0015817899299762806,0.932632255608914,1.4712858799337095e-11,0.9921680039507108,0.42779832013132446
10,0.4003276266008335,0.1869291732105323,0.0009191458499411077,1.0786342027066204e-10,0.9730752058013065,0.12648415908946087,0.06478957121633964,2.5878149681267097e-09,0.08777970573064842,0.00013982786922675847,0.7394879954322431,0.10285036068267073,0.33813936012429274,0.011802466043416854,0.2711917144495619,0.25011453665281774,0.00014657533024166596,0.08413637223987266,1.1417598633045432e-05,0.950854741344647,0.23556820995649486,0.004402954957799299,0.9612858410035824,4.1742135814341494e-13,0.987257302860318,0.3825889802180031
