Lag,ANT,ARK,BTC,BTS,CON,DCR,DGB,DOGE,ETC,ETH,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XWC,ZEN
1,0.7551001400403192,9.599090035544427e-05,0.5529314780487478,0.19929675789218906,0.2644353386185203,0.15029552956075257,0.0384435230696702,0.7093543623449377,1.651158880768608e-05,0.39347426497426097,0.6850218527792186,0.2266633567972895,0.0057794634516173575,0.026009384720788457,0.2122238334890201,0.020550334129388618,0.00015480947447843183,0.749732258023478,0.11266462187958627,0.0008892254392420978,0.8750179472273146,0.0012143777360331459,0.3020718292661331,0.0009744598098763113,0.3134293379748009,0.020247534524877858
2,0.48194443857647906,0.00040670099007724574,0.020866176463402695,0.28822303594065984,0.2872900049177152,0.14711364194978888,0.09854538414814092,0.00018805728324930313,3.40272839367096e-05,0.13888579425896092,0.9232155304973532,0.2828179510454506,0.01291245305746976,0.00446458534682127,0.26005244943389216,0.004504941874090558,0.0005315467458908203,0.2698000536651254,0.24602342060202956,0.0037618336844498614,0.3107551311758542,0.0003067792378101295,0.14224650037120842,0.003277751313431888,0.610623429567077,0.026411615720705398
3,0.6796345212259103,0.0012283070565892267,0.039188852415012396,0.49267687008149874,0.3096346139147675,0.27746520531848856,0.01784188535507691,0.0001104931989231439,7.32499293632605e-05,0.23108469529817147,0.983128886977329,0.39386521913427675,0.02131114183282361,0.010069576701095118,0.4403932637647303,0.011601078883379258,0.0016754707944418956,0.11431205499064757,0.1680066123237115,0.007425883223246906,0.17414041682806072,0.0007719329569120009,0.2274635785039022,0.00939698595805884,0.758895096773862,0.040923164332253556
4,0.7911811733446079,0.002238198819681743,0.02444570856650346,0.2598111053468666,0.4258468692667795,0.2437986610478632,0.03071123511211927,0.0003211699583298442,1.7317529683964056e-05,0.047823982512773394,0.4616058167574062,0.36339715592827126,0.016877155059613014,0.0009228763882027303,0.2971947793118016,0.014856142274669484,0.00013773196238418812,0.13474057271837125,0.27756217835597874,0.01589412459626523,0.27045267998909744,0.0017624526423681219,0.34592695349375063,0.0008473096161407996,0.8765474173026625,0.07634948263460127
5,0.7464231542313322,0.0032806391663148535,0.00010066492760097522,0.3016732679351304,0.5318752200053043,0.33752376855841904,0.03566292282841258,0.000774675083523654,4.426726337852602e-06,0.0010919868424136862,0.35950433096597484,0.0533136534092212,0.029938767616451374,0.0006453429250257241,0.3476890056359224,0.01244138212543521,0.0001105269913009907,0.21553809120606085,0.2479796045632374,0.024100239957944837,0.3493278140321578,0.0004118768452372655,0.4732532293858418,0.0008449389606570577,0.7829911624374799,0.05009575645991021
6,0.7292741137544216,0.007636140854143482,0.00024063125351861804,0.44805864428242803,0.6610816199108898,0.4878149550116061,0.00031920815726312713,0.0009784420647458904,3.3366344509195544e-06,0.0018987658148872124,0.3815837337272769,0.068161796538388,0.05019038571929506,0.000561033324718599,0.5268856015229766,0.01660881019668507,8.893998177375231e-05,0.2474585684503077,0.009712061109519774,0.01934029129600372,0.3016659417242996,0.0010358249357128029,0.6211670960666458,0.00015824887603423988,0.8531909497407946,0.06533950048445468
7,0.7785304120137185,0.004320936822646927,0.0007025430159197317,0.56975923776817,0.7403110064352122,0.4470084179978787,8.957776907662357e-05,0.001523724078560896,7.642448645823641e-06,0.004390141943568887,0.5245328998823553,0.09523525689913281,0.05123968431214312,0.0011101093094915383,0.38632012761663626,0.021913637539189547,5.317820637508955e-05,0.3466360196230256,0.003905565919620049,0.008452925209065933,0.4263389068524266,0.002581343292898451,0.7332347896756328,0.0002847140918269377,0.9503102808524486,0.1063546001307671
8,0.4101232505305911,0.0020858246390091676,9.494496239946201e-05,0.25414452516685104,0.8058011746425369,0.024610377149940157,0.0001248208994032149,0.00020655577712387304,8.484137145112557e-08,1.414699998414675e-05,0.4276254424148364,0.004455047798473205,0.03725720493094085,3.54251037415882e-05,0.29203623057767336,0.022416013823910712,1.1776878155002815e-05,0.0027870061570264763,0.0003762535641673003,6.667365810512528e-05,0.19203813676271694,0.000781315815099464,0.7479333646487453,3.054097602281651e-06,0.9743558942609429,0.01579976738721045
9,0.36860249911307774,0.00023712133952490463,7.370526779805611e-05,0.07243378863504339,0.8438463468668459,0.028755003519201863,8.298074255481159e-05,0.000396944239714961,8.064184108960376e-08,4.89073616602318e-07,0.07228451904019907,0.0005621779325097026,0.029397854820995484,3.067838308469493e-05,0.17356347734511032,0.0043962518646563035,3.1130565904955494e-05,0.004719875021243075,7.44985585411796e-05,1.4213650990531242e-06,0.08344363958095362,0.001098675977155812,0.46719665788226483,5.2042296454881814e-06,0.8993192291048858,0.010176559891638381
10,0.45043644736972477,0.0004054908865435671,0.00010026196167512897,0.02092273800274272,0.838799849682967,0.020267699133021566,3.291201539504492e-05,4.2756066162506296e-05,1.4681658134723264e-08,2.892491373526876e-07,0.09446168467002108,0.0009762609745670712,0.04208293811549431,1.696653991923973e-05,0.18694273950815976,0.0029041752162340738,3.290005780944708e-05,0.001200757276750904,0.00016650577032925156,1.105538233293027e-06,0.10539515603274086,0.001548703786967619,0.49026122336147393,4.417645669170664e-06,0.8893773915267066,0.007772482186624507
