TIMESTAMP,OG35847_OPEN_PRICE_USD,OG35847_HIGH_PRICE_USD,OG35847_LOW_PRICE_USD,OG35847_CLOSE_PRICE_USD,OG35847_VOLUME_USD,OG35847_DIVIDENDS_USD,OG35847_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,0.000770999991800636,0.0008169999928213656,0.0007689999765716493,0.000783999974373728,0,0.0,0.0
2025-04-02 00:00:00+00:00,0.000783999974373728,0.0008870000019669533,0.0007229999755509198,0.0007309999782592058,5841,0.0,0.0
2025-04-03 00:00:00+00:00,0.0007309999782592058,0.0007779999868944287,0.0007309999782592058,0.0007779999868944287,0,0.0,0.0
2025-04-04 00:00:00+00:00,0.0007779999868944287,0.0007949999999254942,0.000754999986384064,0.0007859999896027148,0,0.0,0.0
2025-04-05 00:00:00+00:00,0.0007859999896027148,0.0007859999896027148,0.0007099999929778278,0.0007360000163316727,0,0.0,0.0
2025-04-06 00:00:00+00:00,0.0007360000163316727,0.0007389999809674919,0.0005670000100508332,0.0005670000100508332,7348,0.0,0.0
2025-04-07 00:00:00+00:00,0.0005670000100508332,0.0005879999953322113,0.0003129999968223274,0.00036700000055134296,0,0.0,0.0
2025-04-08 00:00:00+00:00,0.00036700000055134296,0.0003929999948013574,0.00031999999191612005,0.0003260000084992498,0,0.0,0.0
2025-04-09 00:00:00+00:00,0.0003260000084992498,0.0003760000108741224,0.0003060000017285347,0.00036100001307204366,4343,0.0,0.0
2025-04-10 00:00:00+00:00,0.00036100001307204366,0.00036199999158270657,0.0003279999946244061,0.0003349999897181988,1299,0.0,0.0
2025-04-11 00:00:00+00:00,0.0003349999897181988,0.00036199999158270657,0.0003220000071451068,0.00035200000274926424,0,0.0,0.0
2025-04-12 00:00:00+00:00,0.00035200000274926424,0.00036800000816583633,0.00029799999902024865,0.0003060000017285347,10229,0.0,0.0
2025-04-13 00:00:00+00:00,0.0003060000017285347,0.00031599999056197703,0.00029600001289509237,0.0003020000003743917,0,0.0,0.0
2025-04-14 00:00:00+00:00,0.0003020000003743917,0.00030700000934302807,0.0002899999963119626,0.00029299999005161226,0,0.0,0.0
2025-04-15 00:00:00+00:00,0.00029299999005161226,0.0003020000003743917,0.0002460000105202198,0.00025599999935366213,0,0.0,0.0
2025-04-16 00:00:00+00:00,0.00025599999935366213,0.00025599999935366213,0.0002410000015515834,0.00025499999173916876,0,0.0,0.0
2025-04-17 00:00:00+00:00,0.00025499999173916876,0.00025499999173916876,0.00024300000222865492,0.00024300000222865492,453,0.0,0.0
2025-04-18 00:00:00+00:00,0.00024300000222865492,0.00024300000222865492,0.00021399999968707561,0.00022699999681208283,0,0.0,0.0
2025-04-19 00:00:00+00:00,0.00022699999681208283,0.00023200000578071922,9.40000027185306e-05,0.0001289999927394092,0,0.0,0.0
2025-04-20 00:00:00+00:00,0.0001289999927394092,0.0001320000010309741,8.70000003487803e-05,9.100000170292333e-05,11155,0.0,0.0
2025-04-21 00:00:00+00:00,9.100000170292333e-05,0.00010699999984353781,8.299999899463728e-05,0.0001049999991664663,0,0.0,0.0
