TIMESTAMP,RAVANA_OPEN_PRICE_USD,RAVANA_HIGH_PRICE_USD,RAVANA_LOW_PRICE_USD,RAVANA_CLOSE_PRICE_USD,RAVANA_VOLUME_USD,RAVANA_DIVIDENDS_USD,RAVANA_STOCK_SPLITS_USD
2025-02-26 00:00:00+00:00,,,,0.0,419,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,50,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,439,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,788,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,1043,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,640,0.0,0.0
2025-03-05 00:00:00+00:00,,,,0.0,1194,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,25483,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,230,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,107,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,298,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,107,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,278,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,407,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,1173,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-06-01 00:00:00+00:00,7.120000135942038e-16,7.120000135942038e-16,7.108694893074154e-16,7.108694893074154e-16,11,0.0,0.0
