TIMESTAMP,ETH_OPEN_PRICE_USDT,ETH_HIGH_PRICE_USDT,ETH_LOW_PRICE_USDT,ETH_CLOSE_PRICE_USDT,ETH_FIRST_TRADE_PRICE_USDT,ETH_HIGH_TRADE_PRICE_USDT,ETH_LOW_TRADE_PRICE_USDT,ETH_LAST_TRADE_PRICE_USDT,ETH_TOTAL_TRADE_COUNT,ETH_TOTAL_TRADES_BUY,ETH_TOTAL_TRADES_SELL,ETH_VOLUME_USDT,ETH_QUOTE_VOLUME,ETH_VOLUME_BUY,ETH_QUOTE_VOLUME_BUY,ETH_VOLUME_SELL,ETH_QUOTE_VOLUME_SELL
2017-08-17 04:00:00,301.13,307.96,298.0,307.96,301.13,307.96,298.0,307.96,711,621,90,1561.95305,473487.6651185,1260.38649,382097.1599312,301.56656,91390.5051873
2017-08-17 08:00:00,307.96,312.0,303.56,307.06,307.95,312.0,303.56,307.06,1915,1708,207,3059.76355,943190.2482919,2835.99527,874214.7427028,223.76828,68975.5055891
2017-08-17 16:00:00,307.06,312.18,298.21,302.0,307.74,312.18,298.21,302.0,1896,1622,274,2408.99374,737977.3869462,2128.20823,652393.4658962,280.78551,85583.92105
2017-08-18 00:00:00,302.0,309.49,295.19,306.24,302.0,309.49,295.19,306.24,2027,1598,429,3423.10935,1037794.6740113,2853.40781,865098.8075537,569.70154,172695.8664576
2017-08-18 08:00:00,306.24,311.79,296.32,298.8,306.24,311.79,296.32,298.8,1766,1399,367,2572.00754,785115.7098849,2228.72248,680279.1850858,343.28506,104836.5247991
2017-08-18 16:00:00,298.8,301.11,283.94,293.96,298.8,301.11,283.94,293.96,1865,1190,675,3542.72957,1036036.1254577,2370.30513,695435.2685869,1172.42444,340600.8568708
2017-08-19 00:00:00,293.96,299.9,287.01,290.16,293.31,299.9,287.01,290.16,573,422,151,517.48507,152143.9381201,334.29241,98299.0270416,183.19266,53844.9110785
2017-08-19 08:00:00,290.16,293.17,278.0,288.64,290.16,293.17,278.0,288.64,954,672,282,1427.33039,409342.0061284,1081.41223,310784.0275281,345.91816,98557.9786003
2017-08-19 16:00:00,288.64,295.0,284.16,290.91,288.64,295.0,284.16,290.91,268,184,84,201.38227,58536.6456132,122.27086,35630.5576389,79.11141,22906.0879743
2017-08-20 00:00:00,290.91,295.56,285.39,292.08,289.41,295.56,285.39,292.08,467,357,110,320.6632,93295.641057,238.69059,69548.7198984,81.97261,23746.9211586
2017-08-20 08:00:00,292.08,296.92,282.85,295.1,293.02,296.92,282.85,295.1,349,295,54,308.12438,89892.3106712,261.15341,76164.5657455,46.97097,13727.7449257
2017-08-20 16:00:00,295.1,300.53,293.28,299.1,297.92,300.53,293.28,299.1,1222,1049,173,1881.35113,559659.9428317,1686.84339,501792.7763766,194.50774,57867.1664551
2017-08-21 00:00:00,299.1,329.49,294.6,318.5,299.1,329.49,294.6,318.5,1564,1178,386,1612.37708,492162.1325195,1247.25916,380128.4199831,365.11792,112033.7125364
2017-08-21 08:00:00,318.5,346.52,312.6,334.94,317.48,346.52,312.6,334.94,1161,842,319,1434.81711,478506.2901385,1181.25068,395053.3892063,253.56643,83452.9009322
2017-08-21 16:00:00,334.94,342.72,316.12,323.29,334.34,342.72,316.12,323.29,1200,835,365,2172.25123,718803.918556,1575.68983,522795.6139248,596.5614,196008.3046312
2017-08-22 00:00:00,323.29,330.41,144.21,300.35,321.04,330.41,144.21,300.35,1498,1000,498,1517.08773,467984.0839545,980.84908,300769.3365431,536.23865,167214.7474114
2017-08-22 08:00:00,300.35,313.16,296.0,308.39,300.35,313.16,296.0,308.39,3094,2219,875,3932.95565,1206310.2890902,2488.09666,762098.0794164,1444.85899,444212.2096738
2017-08-22 16:00:00,308.39,320.76,305.08,309.8,305.08,320.76,305.08,309.8,1985,953,1032,2506.3075,780131.430269,964.83558,301605.0723735,1541.47192,478526.3578955
2017-08-23 00:00:00,309.8,324.99,309.41,319.06,312.25,324.99,309.41,319.06,2093,1062,1031,2464.39668,781991.4164795,913.87193,290861.0042447,1550.52475,491130.4122348
2017-08-23 08:00:00,319.06,324.51,313.75,319.2,319.06,324.51,313.75,319.2,3626,638,2988,3392.25962,1079678.787585,683.61073,218698.738638,2708.64889,860980.048947
2017-08-23 16:00:00,319.2,322.34,312.05,315.74,317.87,322.34,312.05,315.74,2821,658,2163,2809.06939,891794.7409763,684.75367,218647.1747322,2124.31572,673147.5662441
2017-08-24 00:00:00,315.74,322.36,314.01,318.54,315.74,322.36,314.01,318.54,1807,649,1158,2135.2499,677087.8660284,652.13544,208016.9860136,1483.11446,469070.8800148
2017-08-24 08:00:00,318.54,328.04,316.14,321.2,318.54,328.04,316.14,321.2,2982,864,2118,2808.55165,899349.9480057,780.99035,251248.6998293,2027.5613,648101.2481764
