TIMESTAMP,BERT33854_OPEN_PRICE_USD,BERT33854_HIGH_PRICE_USD,BERT33854_LOW_PRICE_USD,BERT33854_CLOSE_PRICE_USD,BERT33854_VOLUME_USD,BERT33854_DIVIDENDS_USD,BERT33854_STOCK_SPLITS_USD
2024-11-08 00:00:00+00:00,0.0036770000588148832,0.004645999986678362,0.003145999973639846,0.004031000193208456,822364,0.0,0.0
2024-11-09 00:00:00+00:00,0.0040339999832212925,0.005762000102549791,0.0036609999369829893,0.004724999889731407,1151331,0.0,0.0
2024-11-10 00:00:00+00:00,0.004724999889731407,0.006281999871134758,0.0039049999322742224,0.004844000097364187,372999,0.0,0.0
2024-11-11 00:00:00+00:00,0.004844000097364187,0.0056489999406039715,0.0037120000924915075,0.003783999942243099,607967,0.0,0.0
2024-11-12 00:00:00+00:00,0.003783999942243099,0.004610999953001738,0.0016580000519752502,0.001756999990902841,1482768,0.0,0.0
2024-11-13 00:00:00+00:00,0.001756999990902841,0.02792299911379814,0.0014280000468716025,0.02586900070309639,9766047,0.0,0.0
2024-11-14 00:00:00+00:00,0.02586900070309639,0.1573379933834076,0.025189999490976334,0.10281900316476822,61017952,0.0,0.0
2024-11-15 00:00:00+00:00,0.10444600135087967,0.1906069964170456,0.014891000464558601,0.10064800083637238,84404161,0.0,0.0
2024-11-16 00:00:00+00:00,0.11732900142669678,0.13117100298404694,0.05382400006055832,0.10138799995183945,43283470,0.0,0.0
2024-11-17 00:00:00+00:00,0.10138600319623947,0.13495700061321259,0.0760200023651123,0.1120930016040802,19586876,0.0,0.0
2024-11-18 00:00:00+00:00,0.11279900372028351,0.1691109985113144,0.09111800044775009,0.12760800123214722,21484690,0.0,0.0
2024-11-19 00:00:00+00:00,0.12861000001430511,0.17947499454021454,0.10008499771356583,0.10520900040864944,25936996,0.0,0.0
2024-11-20 00:00:00+00:00,0.10409499704837799,0.12799200415611267,0.04652800038456917,0.08616399765014648,44864151,0.0,0.0
2024-11-21 00:00:00+00:00,0.08654399961233139,0.09364499896764755,0.04124600067734718,0.0643170028924942,29358319,0.0,0.0
2024-11-22 00:00:00+00:00,0.06429900228977203,0.09222400188446045,0.04771000146865845,0.07663699984550476,16856444,0.0,0.0
