TIMESTAMP,BTC_MEMPOOL_SIZE_BYTES,BTC_MEMPOOL_SIZE_GROWTH_BYTES_PER_SECOND,BTC_TOTAL_TRANSACTION_COUNT_PER_SECOND,BTC_TOTAL_UNCONFIRMED_TRANSACTION_COUNT_IN_MEMPOOL,BTC_AVERAGE_BLOCK_SIZE_MEGABYTES,BTC_AVERAGE_TRANSACTION_COUNT_PER_BLOCK,BTC_BLOCKCHAIN_SIZE_MEGABYTES,BTC_COST_PERCENTAGE_OF_TRADE_VOLUME,BTC_COST_PER_TRANSACTION_USD,BTC_HASH_RATE_TERAHASHES_PER_SECOND,BTC_MEDIAN_TRANSACTION_CONFIRMATION_TIME_MINUTES,BTC_MINERS_REVENUE_USD,BTC_MINING_DIFFICULTY_HASHES,BTC_TOTAL_CONFIRMED_TRANSACTION_COUNT,BTC_TOTAL_ESTIMATED_TRANSACTION_VALUE_BTC,BTC_TOTAL_ESTIMATED_TRANSACTION_VALUE_USD,BTC_TOTAL_OUTPUT_VALUE_BTC,BTC_TOTAL_TRANSACTION_COUNT,BTC_TOTAL_TRANSACTION_COUNT_EXCLUDING_TOP_100_ADDRESSES,BTC_TOTAL_TRANSACTION_FEES_BTC,BTC_TOTAL_TRANSACTION_FEES_USD,BTC_TOTAL_UNIQUE_USED_ADDRESS_COUNT,BTC_AVERAGE_TRANSACTION_CONFIRMATION_TIME_MINUTES,BTC_TOTAL_UNSPENT_TRANSACTION_OUTPUT_COUNT
2009-01-03,,,,,,,0.000285,,,4.97102696e-08,0.0,,1.0,,,,100.0,1.0,2.0,,,2.0,,
2009-01-04,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,
2009-01-05,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,
2009-01-06,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,
2009-01-07,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,
2009-01-08,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,
2009-01-09,,,,,,,0.000715,,,6.959437748e-07,0.0,,1.0,,,,700.0,3.0,14.0,,,14.0,,
2009-01-10,,,,,,,0.003725,,,1.5410183585e-06,0.0,,1.0,,,,3000.0,17.0,60.0,,,60.0,,
2009-01-11,,,,,,,0.016639,,,5.2692885807e-06,0.0,,1.0,,,,4650.0,77.0,93.0,,,93.0,,
2009-01-12,,,,,,,0.036672,,,4.424213997e-06,0.0,,1.0,,,,4879.0,170.0,101.0,,,102.0,,
2009-01-13,,,,,,,0.058704,,,5.7166810074e-06,0.0,,1.0,,,,6150.0,271.0,123.0,,,123.0,,
2009-01-14,,,,,,,0.085231,,,6.2634939733e-06,0.0,,1.0,,,,6511.0,394.0,130.0,,,130.0,,
2009-01-15,,,,,,,0.113507,,,6.3132042429e-06,0.0,,1.0,,,,6800.0,524.0,134.0,,,134.0,,
