TIMESTAMP,RFD_OPEN_PRICE_USD,RFD_HIGH_PRICE_USD,RFD_LOW_PRICE_USD,RFD_CLOSE_PRICE_USD,RFD_VOLUME_USD,RFD_DIVIDENDS_USD,RFD_STOCK_SPLITS_USD
2023-05-21 00:00:00+00:00,1.8000000636675395e-05,4.199999966658652e-05,1.700000029813964e-05,3.899999865097925e-05,54458387,0.0,0.0
2023-05-22 00:00:00+00:00,3.7000001611886546e-05,8.600000001024455e-05,2.5999999706982635e-05,7.79999973019585e-05,76028118,0.0,0.0
2023-05-23 00:00:00+00:00,7.899999764049426e-05,0.00010800000018207356,5.400000009103678e-05,7.400000322377309e-05,121989813,0.0,0.0
2023-05-24 00:00:00+00:00,7.300000288523734e-05,7.599999662488699e-05,4.600000102072954e-05,5.700000110664405e-05,83976021,0.0,0.0
2023-05-25 00:00:00+00:00,5.700000110664405e-05,9.40000027185306e-05,5.400000009103678e-05,9.000000136438757e-05,81281500,0.0,0.0
2023-05-26 00:00:00+00:00,9.000000136438757e-05,9.300000237999484e-05,6.299999949987978e-05,6.399999983841553e-05,49383474,0.0,0.0
2023-05-27 00:00:00+00:00,6.399999983841553e-05,7.79999973019585e-05,5.8000001445179805e-05,7.100000220816582e-05,31451622,0.0,0.0
2023-05-28 00:00:00+00:00,7.100000220816582e-05,7.500000356230885e-05,5.500000042957254e-05,5.500000042957254e-05,23610546,0.0,0.0
2023-05-29 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,3.7000001611886546e-05,3.7999998312443495e-05,37408471,0.0,0.0
2023-05-30 00:00:00+00:00,3.7999998312443495e-05,4.5000000682193786e-05,2.5999999706982635e-05,2.5999999706982635e-05,40962218,0.0,0.0
2023-05-31 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,1.8000000636675395e-05,2.4000000848900527e-05,37833185,0.0,0.0
2023-06-01 00:00:00+00:00,2.4000000848900527e-05,2.5999999706982635e-05,1.8999999156221747e-05,1.8999999156221747e-05,17416214,0.0,0.0
2023-06-02 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8000000636675395e-05,12687218,0.0,0.0
2023-06-03 00:00:00+00:00,1.8000000636675395e-05,2.300000051036477e-05,1.700000029813964e-05,1.700000029813964e-05,11326311,0.0,0.0
2023-06-04 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,7081918,0.0,0.0
2023-06-05 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2000000424450263e-05,12362738,0.0,0.0
2023-06-06 00:00:00+00:00,1.2000000424450263e-05,1.8000000636675395e-05,1.1000000085914508e-05,1.2999999853491317e-05,15459078,0.0,0.0
2023-06-07 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.2000000424450263e-05,7335427,0.0,0.0
2023-06-08 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2999999853491317e-05,4757124,0.0,0.0
2023-06-09 00:00:00+00:00,1.2999999853491317e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.4999999621068127e-05,10285399,0.0,0.0
2023-06-10 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2999999853491317e-05,5932848,0.0,0.0
2023-06-11 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4999999621068127e-05,5810879,0.0,0.0
2023-06-12 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,5633008,0.0,0.0
2023-06-13 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,4289868,0.0,0.0
2023-06-14 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2999999853491317e-05,6100442,0.0,0.0
2023-06-15 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,4127870,0.0,0.0
2023-06-16 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,4946179,0.0,0.0
2023-06-17 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,5534083,0.0,0.0
2023-06-18 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,3921094,0.0,0.0
2023-06-19 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,3251687,0.0,0.0
2023-06-20 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,5997082,0.0,0.0
2023-06-21 00:00:00+00:00,1.2000000424450263e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4000000192027073e-05,7845452,0.0,0.0
2023-06-22 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,4792456,0.0,0.0
2023-06-23 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,5444147,0.0,0.0
2023-06-24 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,4662017,0.0,0.0
2023-06-25 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,3221296,0.0,0.0
