Categorie: Alle categorieën

Maand,Sell Bitcoin: (Wereldwijd)
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,1
2011-06,2
2011-07,1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,<1
2012-05,<1
2012-06,0
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,1
2013-02,1
2013-03,2
2013-04,5
2013-05,2
2013-06,1
2013-07,1
2013-08,2
2013-09,1
2013-10,2
2013-11,9
2013-12,9
2014-01,7
2014-02,5
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,4
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,6
2017-01,7
2017-02,6
2017-03,7
2017-04,6
2017-05,14
2017-06,14
2017-07,12
2017-08,19
2017-09,15
2017-10,19
2017-11,42
2017-12,100
2018-01,41
2018-02,21
2018-03,13
2018-04,11
2018-05,9
2018-06,8
2018-07,8
2018-08,8
2018-09,8
2018-10,7
2018-11,7
2018-12,6
2019-01,6
2019-02,6
2019-03,6
2019-04,7
2019-05,10
2019-06,13
2019-07,10
2019-08,9
2019-09,8
2019-10,7
2019-11,8
2019-12,7
2020-01,9
2020-02,9
2020-03,10
2020-04,10
2020-05,15
2020-06,10
2020-07,11
2020-08,12
2020-09,10
2020-10,10
2020-11,15
2020-12,18
2021-01,45
2021-02,42
2021-03,24
2021-04,28
2021-05,36
2021-06,16
2021-07,12
2021-08,15
2021-09,13
2021-10,18
2021-11,17
2021-12,15
2022-01,18
2022-02,14
2022-03,13
2022-04,12
2022-05,12
2022-06,13
2022-07,11
2022-08,9
2022-09,9
2022-10,7
2022-11,8
2022-12,7
2023-01,9
2023-02,7
2023-03,9
2023-04,9
2023-05,7
2023-06,8
2023-07,8
2023-08,8
2023-09,7
2023-10,8
2023-11,9
2023-12,10
2024-01,11
2024-02,16
2024-03,21
2024-04,12
2024-05,9
2024-06,9
2024-07,10
2024-08,9
2024-09,8
2024-10,9
2024-11,23
2024-12,19
2025-01,16
2025-02,13
2025-03,12
2025-04,10
2025-05,11
