Categorie: Alle categorieën

Maand,Buy BTC: (Wereldwijd)
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,<1
2011-01,0
2011-02,0
2011-03,0
2011-04,<1
2011-05,0
2011-06,1
2011-07,0
2011-08,1
2011-09,1
2011-10,1
2011-11,<1
2011-12,<1
2012-01,1
2012-02,1
2012-03,0
2012-04,<1
2012-05,<1
2012-06,1
2012-07,<1
2012-08,1
2012-09,<1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,2
2013-04,4
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,9
2013-12,8
2014-01,6
2014-02,5
2014-03,4
2014-04,3
2014-05,3
2014-06,3
2014-07,4
2014-08,5
2014-09,5
2014-10,4
2014-11,4
2014-12,5
2015-01,4
2015-02,5
2015-03,4
2015-04,4
2015-05,4
2015-06,4
2015-07,4
2015-08,5
2015-09,4
2015-10,5
2015-11,6
2015-12,5
2016-01,5
2016-02,5
2016-03,5
2016-04,5
2016-05,5
2016-06,7
2016-07,6
2016-08,6
2016-09,5
2016-10,6
2016-11,7
2016-12,8
2017-01,9
2017-02,8
2017-03,10
2017-04,9
2017-05,20
2017-06,23
2017-07,16
2017-08,24
2017-09,19
2017-10,21
2017-11,38
2017-12,100
2018-01,59
2018-02,23
2018-03,13
2018-04,10
2018-05,11
2018-06,9
2018-07,9
2018-08,9
2018-09,9
2018-10,9
2018-11,9
2018-12,9
2019-01,8
2019-02,8
2019-03,8
2019-04,10
2019-05,12
2019-06,15
2019-07,13
2019-08,11
2019-09,11
2019-10,11
2019-11,11
2019-12,10
2020-01,12
2020-02,12
2020-03,17
2020-04,17
2020-05,22
2020-06,17
2020-07,17
2020-08,18
2020-09,16
2020-10,15
2020-11,20
2020-12,28
2021-01,41
2021-02,40
2021-03,28
2021-04,36
2021-05,38
2021-06,22
2021-07,20
2021-08,20
2021-09,21
2021-10,25
2021-11,25
2021-12,22
2022-01,30
2022-02,26
2022-03,21
2022-04,21
2022-05,24
2022-06,22
2022-07,20
2022-08,17
2022-09,17
2022-10,16
2022-11,17
2022-12,15
2023-01,16
2023-02,26
2023-03,17
2023-04,18
2023-05,15
2023-06,17
2023-07,18
2023-08,16
2023-09,16
2023-10,16
2023-11,17
2023-12,20
2024-01,24
2024-02,23
2024-03,30
2024-04,24
2024-05,18
2024-06,17
2024-07,18
2024-08,18
2024-09,16
2024-10,16
2024-11,36
2024-12,32
2025-01,27
2025-02,22
2025-03,20
2025-04,18
2025-05,19
