TIMESTAMP,DESCI_OPEN_PRICE_USD,DESCI_HIGH_PRICE_USD,DESCI_LOW_PRICE_USD,DESCI_CLOSE_PRICE_USD,DESCI_VOLUME_USD,DESCI_DIVIDENDS_USD,DESCI_STOCK_SPLITS_USD
2024-12-03 00:00:00+00:00,,,,0.0,10544,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,10255,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,8242,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,49940,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,207343,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,39496,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,17987,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,35580,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,11238,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,5056,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,6202,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,2840,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,8415,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,5671,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,3158,0.0,0.0
2024-12-18 00:00:00+00:00,,,,0.0,1949,0.0,0.0
2024-12-19 00:00:00+00:00,,,,0.0,2093,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,3041,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,1926,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,3642,0.0,0.0
2024-12-23 00:00:00+00:00,,,,0.0,2306,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,13936,0.0,0.0
2024-12-25 00:00:00+00:00,,,,0.0,2911,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,1810,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,2367,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,4816,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,2089,0.0,0.0
