Lag,BTC,ETH,XMR,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.38764926751675977,0.7453209802253035,0.7740316143678492,0.29795838517239637,0.04463683210059362,0.46020459154194004,0.5726081543385733,0.9154100581736807,0.939092770045524,0.04363544859649845,0.22529838950410985,0.9232989055374717,0.06519521500593145,0.9387921839102885,0.5702795906920692,0.3422350162993286,0.0972228524674966,0.517473497051298,0.8549436930487619,0.142555819172483,0.7693996656364259,0.007941292054056862,6.520135451132576e-17,0.10569860200550146,0.8990664416548048,0.5449786376833807,0.37274791830966736,0.25545141822986434,0.08743824775401719,0.2536510013992719,0.6869706847288586
2,0.06235007966284066,0.05831883781965982,0.36593866533864106,0.18037288679440913,0.1344489360167483,0.40619364463961927,0.5549653143892517,0.02965085309740647,0.9673298287068011,0.006400144475103112,0.12209828480141977,0.96278559814691,0.15600848202254028,0.34408362319283103,0.7625671636183617,0.11929592224612973,0.12705678287757657,0.0794748175915863,0.038331196764798466,0.23695169908116803,0.9058160277201914,0.012823090377290151,1.2282241042161221e-14,0.1866287328024978,0.37213913603884946,0.16687727616622433,0.5074241196281837,0.6423176090098943,0.17314683462971595,0.41960855062488067,0.06302393262251144
3,0.08453396733112702,0.04053988460935344,0.34590622341133287,0.33217110034807223,0.1792937589916793,0.5673018292362155,0.695495657172248,0.07486164526778896,0.9289055567929774,0.0047320101992509,0.19367235801991806,0.7382268333504283,0.2568172310021809,0.22800028469435538,0.876056110511969,0.1880059162575857,0.3238873477862555,0.08145590094400741,0.12219744343493616,0.25546304238118045,0.6423775187361886,0.023856998326914312,2.201405023877356e-15,0.29921398486100953,0.4465059308723317,0.07502909439822489,0.6458329932214617,0.7783323022623246,0.19250931152530987,0.5783150351854505,0.04217537720284881
4,0.08071309656616223,0.04605040111612176,0.11637488311995144,0.28436968386226935,0.2394099291960785,0.6194897255148526,0.7544023509585274,0.1535488886363053,0.590150006198698,0.027157047640429206,0.25645283614977754,0.5680469152914378,0.29197157310817184,0.363279417064576,0.945856047747464,0.23853431576545123,0.05912189591481647,0.07916838035113638,0.1651849464682176,0.1903186322022892,0.6282154570243429,0.042031971423897876,4.864595514937617e-16,0.3959452437255911,0.2213824656021291,0.14338595968263487,0.7653584762732146,0.8611167290814781,0.22027033795105838,0.6435571346822491,0.05774316810688539
5,0.04489002126958227,0.09440500595780861,0.20288843840113377,0.4499638051721063,0.14762023619184023,0.6326377931238634,0.8521630616320457,0.23071154989181678,0.3006093812460726,0.027451337464096084,0.38919047619773456,0.6267688199746944,0.3988849796367308,0.37873474894812675,0.9733452000774955,0.03942960352488368,0.09071922827477591,0.06014492053924538,0.18332608328157607,0.20210966873425046,0.5823607937038903,0.02726794752664119,4.97014879428854e-15,0.17707822064954462,0.35026059230147294,0.06466809359318616,0.9055638055324933,0.9108648766044382,0.07200627750421817,0.7394737841362371,0.07821061763155886
6,0.020427420241312742,0.15510530405324136,0.3400522242962414,0.4234228013274923,0.18977515411540619,0.41998013002003187,0.915428364894319,0.2556667193693455,0.3006870982378783,0.033216758966868244,0.5396357884589713,0.7221926803797816,0.5461328853352962,0.5040894161827494,0.5714763363603088,0.006285846664021454,0.11608584771635803,0.06376963164884733,0.04109852859960037,0.30149135480696376,0.7218824493166975,0.04599938052821694,2.1376417894298654e-14,0.2693706551262639,0.3673541242295744,0.11619759755704193,0.6762314708019318,0.9462885057549625,0.10105909614810238,0.8105009098890296,0.06904332156520974
7,0.034505900775403775,0.05241016447100827,0.426811369901221,0.26467764780800335,0.24184749723516635,0.2093700984662572,0.9542037168744134,0.1567566218218869,0.3324644952066918,0.029623724278460918,0.1428043630065158,0.7883980445530965,0.5735713846406252,0.5635267805983503,0.3734076456267046,0.011966736246783686,0.1815451716420344,0.05057382481526085,0.03315853585012806,0.3868892086618853,0.8349468690124933,0.022046265403071384,6.121061240081526e-14,0.2737230927179356,0.45671931941571864,0.15022753157487442,0.7844488340713793,0.4554746159114097,0.11271422832019626,0.883263994355906,0.0984858898148545
8,0.04401071746931637,0.07556483719885494,0.2796861481235459,0.3023720804204904,0.1474677828711867,0.27823063328475994,0.9597561086198022,0.2627935688525359,0.49686086990105116,0.026452647511494384,0.24369937405175146,0.874040386188546,0.6202955478808779,0.6234215462657537,0.47393237176595315,0.048827037457024415,0.2025600847997172,0.04846199511102169,0.06446482032434399,0.24516897660515455,0.8212021243277109,0.016411089412355116,1.4297117326659097e-13,0.10040645215885255,0.5044956065462753,0.14614996078951004,0.7920391215790425,0.5304456852630663,0.09666480415995804,0.8216146710591464,0.1300703906846889
9,0.06094132072868807,0.04302601934380145,0.33802862688512175,0.2923845166493708,0.2106401874697598,0.3363905546946964,0.5298260318997282,0.19114076549634484,0.4405972490489689,0.03166303205907084,0.07730778599600634,0.8987464482472118,0.4351070110481119,0.5829632814079535,0.5013464312429823,0.07443655103340299,0.022465457869930046,0.07503143428791939,0.09990140120248155,0.26600843985037165,0.6754620423844993,0.019603815126157845,4.568444198471813e-13,0.05107238910991038,0.5563804293863408,0.2373150643762254,0.8405636279034345,0.4856603748150816,0.14324739276544524,0.8837756981592243,0.20428859400195862
10,0.11331208886749097,0.04024222202060419,0.20980636249160411,0.21261609832956316,0.2652971822692889,0.30344768787984305,0.6203923046534694,0.2772488548488863,0.38639724175327717,0.033402310453073306,0.08197608896208472,0.7912290821344331,0.5594079428620005,0.5126534640208822,0.556658095713291,0.12365206312094075,0.028085404243051018,0.07192404319079915,0.10968343755999993,0.2552860988512062,0.264258121035153,0.028383270310317687,9.92776153074741e-13,0.02347984143802263,0.621885210288347,0.16510416001322076,0.8565308102742262,0.4379271461224242,0.1820553179941532,0.9346204023512342,0.22342831726175885
