TIMESTAMP,ZEC_CLOSE_PRICE_USD,ZEC_OPEN_PRICE_USD,ZEC_HIGH_PRICE_USD,ZEC_LOW_PRICE_USD
2016-10-29,1900.0,5000.0,9000.0,1900.0
2016-10-30,604.39,1900.0,2400.0,404.85
2016-10-31,1644.62,604.39,2502.78,404.85
2016-11-01,1373.0,1644.62,2080.88,1047.45
2016-11-02,975.52,1373.0,1500.0,851.0
2016-11-03,871.0,975.52,1125.47,863.99
2016-11-04,614.37,871.0,900.0,605.0
2016-11-05,505.0,614.37,650.0,505.0
2016-11-06,344.57,505.0,509.46,320.0
2016-11-07,231.53,344.57,358.35,231.53
2016-11-08,270.0,231.53,290.35,180.0
2016-11-09,255.3,270.0,400.61,221.14
2016-11-10,226.72,255.3,260.0,224.84
2016-11-11,182.83,226.72,226.87,180.0
2016-11-12,143.0,182.83,191.47,142.5
2016-11-13,119.51,143.0,150.0,112.79
2016-11-14,102.65,119.51,121.0,94.52
2016-11-15,111.25,102.65,133.93,96.76
2016-11-16,94.17,111.25,116.0,94.17
2016-11-17,84.15,94.17,99.65,83.0
2016-11-18,68.31,84.15,88.3,65.1
2016-11-19,64.29,68.31,72.0,63.0
2016-11-20,60.54,64.29,68.3,60.0
2016-11-21,53.54,60.54,63.01,53.54
2016-11-22,56.0,53.54,73.0,53.0
2016-11-23,83.7,56.0,95.63,55.78
2016-11-24,93.42,83.7,104.0,68.49
2016-11-25,91.64,93.42,107.5,86.59
2016-11-26,76.02,91.64,93.15,73.75
2016-11-27,70.55,76.02,81.77,65.14
2016-11-28,74.4,70.55,75.59,65.0
2016-11-29,68.61,74.4,77.1,67.07
2016-11-30,67.5,68.61,72.5,65.4
2016-12-01,61.89,67.5,68.4,61.6
2016-12-02,59.03,61.89,64.6,58.63
2016-12-03,58.66,59.03,60.77,57.78
2016-12-04,57.67,58.66,61.88,57.67
2016-12-05,50.0,57.67,58.41,50.0
2016-12-06,48.49,50.0,52.5,46.0
