TIMESTAMP,CHEESE15565_OPEN_PRICE_USD,CHEESE15565_HIGH_PRICE_USD,CHEESE15565_LOW_PRICE_USD,CHEESE15565_CLOSE_PRICE_USD,CHEESE15565_VOLUME_USD,CHEESE15565_DIVIDENDS_USD,CHEESE15565_STOCK_SPLITS_USD
2021-12-05 00:00:00+00:00,0.00021100000594742596,0.00022400000307243317,0.00019500000053085387,0.00019700000120792538,0,0.0,0.0
2021-12-06 00:00:00+00:00,0.00019799999427050352,0.0001990000018849969,0.0001610000035725534,0.00016900000628083944,569701,0.0,0.0
2021-12-07 00:00:00+00:00,0.00016900000628083944,0.00016999999934341758,0.0001539999939268455,0.00016199999663513154,72701,0.0,0.0
2021-12-08 00:00:00+00:00,0.0001630000042496249,0.00016500000492669642,0.00014800000644754618,0.00015300000086426735,35407,0.0,0.0
2021-12-09 00:00:00+00:00,0.00015300000086426735,0.00015700000221841037,0.00012099999730708078,0.00012099999730708078,29465,0.0,0.0
2021-12-10 00:00:00+00:00,0.00012099999730708078,0.00012099999730708078,0.00011000000085914508,0.00011100000119768083,32751,0.0,0.0
2021-12-11 00:00:00+00:00,0.00011100000119768083,0.00011500000255182385,0.00010800000018207356,0.00010800000018207356,26489,0.0,0.0
2021-12-12 00:00:00+00:00,0.00010800000018207356,0.00011100000119768083,0.00010599999950500205,0.00011000000085914508,16240,0.0,0.0
2021-12-13 00:00:00+00:00,0.00011000000085914508,0.00011100000119768083,9.000000136438757e-05,9.100000170292333e-05,15931,0.0,0.0
2021-12-14 00:00:00+00:00,9.100000170292333e-05,9.999999747378752e-05,9.000000136438757e-05,9.999999747378752e-05,27127,0.0,0.0
2021-12-15 00:00:00+00:00,9.999999747378752e-05,0.00010399999882793054,9.699999645818025e-05,0.00010399999882793054,24658,0.0,0.0
2021-12-16 00:00:00+00:00,0.00010399999882793054,0.0001049999991664663,9.100000170292333e-05,9.100000170292333e-05,18829,0.0,0.0
2021-12-17 00:00:00+00:00,9.100000170292333e-05,9.300000237999484e-05,8.600000001024455e-05,8.900000102585182e-05,18328,0.0,0.0
2021-12-18 00:00:00+00:00,8.900000102585182e-05,8.900000102585182e-05,7.79999973019585e-05,7.899999764049426e-05,29080,0.0,0.0
2021-12-19 00:00:00+00:00,7.899999764049426e-05,7.899999764049426e-05,7.500000356230885e-05,7.599999662488699e-05,25244,0.0,0.0
