,XMR
MARI,1.0
ZEC,0.680668803932932
DASH,0.6694399236637458
ETH,0.6583357419366125
BTC,0.6541643198258633
LTC,0.6304502472279286
ETC,0.5796734526965641
QTUM,0.5748766049064812
BAT,0.5621128468542027
LSK,0.5405392231891905
XLM,0.5350850998230843
DGB,0.5316336984863936
ZEN,0.5106524193858991
BTS,0.5030854610025579
DCR,0.4991512891205394
SC,0.4904127347015052
STEEM,0.4882850753202974
KMD,0.4822659723875738
XRP,0.4712604870902737
WAVES,0.4694025398481065
RLC,0.4650410230296947
AE,0.4639401201126705
XEM,0.4601875291554858
ARK,0.45814454565861
GNO,0.4507385484764682
FIRO,0.4493694976715296
SP,0.4481183144512611
NEWB,0.4466795846350349
GAS,0.444465329946852
SYS,0.424911901901764
PIVX,0.4196453631937978
MONA,0.4014807056795078
NEOS,0.3748746341942749
NAV,0.3718236097587405
GRS,0.3505554857603127
VTC,0.3449079135337974
IOTA,0.3384086668018707
ANT,0.333152941114544
LAMB,0.3311090744928994
VAL,0.3114763934886965
DOGE,0.3063116916776537
PPC,0.3056679809722896
CYT,0.2944474558278312
LBC,0.2924420592251786
GBYTE,0.2867306299356885
NXS,0.2789204823197829
MAID,0.260390780965992
AMBER,0.2593688561073145
NMC,0.2456141880589717
LUNC,0.2426407471374618
2GIVE,0.2421305522496782
PKB,0.2391783173478364
KIN,0.2383539647993444
WGR,0.2381502450313034
JLP,0.2338630857830547
AXIOM,0.2318803811602756
XMS,0.22976682365185
XPX,0.2290387330448581
SWING,0.22714406154622
AV,0.2269729065907919
BLK,0.2262008174020856
BTCS,0.2236387052492899
EVIL,0.2220151690546879
FTC,0.215847826721954
POST,0.2138894466024879
SNRG,0.2055239072174098
BCDN,0.2014516997656184
XDN,0.2003984376784625
VERI,0.1967077207882112
C2,0.1958153529828435
SPR,0.1944368369869389
ZET,0.1898233158871851
ZCL,0.1867851714726413
HBD,0.1863859828295931
AGRS,0.1849989366858208
XHI,0.1813980297955351
ADZ,0.1785391861636094
PLU,0.1771698520807028
CRW,0.1767313037382646
PXI,0.1742247697375961
CETI,0.1734847486693018
VEC2,0.1724115890556398
CJ,0.1715999157195285
SKR,0.1627859906245247
XCP,0.1611437415262854
IMS,0.1599535207125603
BERN,0.1597104691798176
NOBL,0.1595254858602485
HBN,0.1583929201297367
FRN,0.155022243669065
ZENI,0.1547255007084205
IBANK,0.1516799776051235
VLT,0.1501865221061943
XQN,0.1496819858483581
XTO,0.1481752449493217
ENT,0.1463481767703673
TES,0.1462438281424002
ZYD,0.1457843662022545
ACOIN,0.1438855760526382
CAB,0.143337738747303
CF,0.1409042266951163
CSC,0.1398723386067276
RBY,0.1388904389991016
WINGS,0.1388741874574157
FOREX,0.1373136015104889
PXC,0.1368305709234664
EUC,0.1360407272680168
NVC,0.1355988407334427
OPAL,0.1339796195605652
ICON,0.1338307038269928
WBB,0.1334655566806051
TECH,0.1331398740814055
BCN,0.1326675141283882
CREVA,0.1298133210017454
AMS,0.129542864429169
BLU,0.1287640437996337
LUN,0.1272593671691049
XPY,0.1250047429125533
MCN,0.1228575534744364
EDRC,0.1212600962365389
42,0.1184787575535549
LTCR,0.1180466928490747
SIGNA,0.1110326472298617
SKULL,0.1104425061795926
SANDG,0.109569362660004
RBT,0.107151494464515
CLUB,0.1070431697153972
HMQ,0.1066294035100431
GLC,0.105891904335732
KOBO,0.1040322248392256
XBC,0.1017684173081929
USDT,0.1016625015421155
XPM,0.100741100941597
CANN,0.1006026904957357
VIDZ,0.097314904554045
HUSH,0.0965066882010168
START,0.0956695935795863
DCY,0.093892050855318
XWC,0.0900653593066619
TAJ,0.0889027179513721
COOL,0.088717379316052
RBIES,0.0870605188078153
MOTO,0.0861043523540504
ICOB,0.0848494543216975
LANA,0.0848468806436158
GCC,0.0831313150757778
CLAM,0.0786806859102783
SWT,0.0786205768593736
MST,0.0782895508158866
