,XMR
ZEC,0.6869765169236297
DASH,0.6694966320361241
ETH,0.6657915420890662
BTC,0.6597575787341999
LTC,0.6383872012115013
ETC,0.5948834913669436
QTUM,0.5820892461643385
BAT,0.5706866614875654
LSK,0.5530251667392253
SC,0.5429401985345604
DGB,0.5429018329760583
XLM,0.5354883959505118
DCR,0.52361198860441
ZEN,0.5088885546241031
BTS,0.5080572373166237
STEEM,0.4976608985100208
KMD,0.4918921999641018
RLC,0.489920999127108
WAVES,0.482898148270648
ARK,0.4802885588598373
XRP,0.4802197489955692
FIRO,0.4770276701624462
GNO,0.4742366977211809
GAS,0.4695167191528797
AE,0.4667046452437434
PIVX,0.4549519311859996
NEWB,0.4505768665360911
SP,0.4504864183705058
SYS,0.4464705457497106
XEM,0.4392129237113162
NAV,0.4161439715410184
MONA,0.399045336999818
PPC,0.3573090079634781
VTC,0.3533913979566735
VAL,0.3418579511579813
GRS,0.3416474170034853
ANT,0.335891346776505
LAMB,0.3314468180950639
CYT,0.326170077717054
WGR,0.3226669046999866
NXS,0.3084157115782774
GBYTE,0.2994253275231391
IOTA,0.2979288907062159
MAID,0.2954585610370281
LBC,0.2865262171219804
DOGE,0.2781890417004113
LUNC,0.276626167268987
AMBER,0.2725759397844026
NMC,0.2723792273189264
KIN,0.2602722671617111
2GIVE,0.2600915914219624
BLK,0.2578215990420821
XMS,0.2541103470094896
PKB,0.2519196045026659
AXIOM,0.2466827688700119
SWING,0.2457101781733847
XPX,0.2414264599741478
POST,0.237181509821566
XDN,0.2350102760148874
FTC,0.2341514039558997
PLU,0.2197053321121856
SPR,0.2196191919946701
AV,0.2192241383347517
JLP,0.2184486856886718
VERI,0.2149081083126996
ZCL,0.2130636955758702
BTCS,0.2107797413253203
C2,0.206218893385757
SNRG,0.2024752212732709
NOBL,0.2020914813494884
BCDN,0.2007710471730134
WINGS,0.2002574947373281
EVIL,0.1985554190195691
AGRS,0.197129210360515
CRW,0.1967921247769373
PXI,0.1948572310220423
HBD,0.1907973717456691
XCP,0.1892372222943049
XHI,0.1877767684678389
ADZ,0.1817275647128445
ZET,0.181103198080118
BERN,0.1767393264686383
CJ,0.1755535084572975
VEC2,0.1731879648445592
FOREX,0.17094375109228
CETI,0.1696647937473748
42,0.1696006030634496
TECH,0.1672414084440391
IMS,0.165197717085746
SKR,0.1645748883441298
EUC,0.1628189612095842
SIGNA,0.159840558790781
AMS,0.1581066889990101
VLT,0.1549049969133081
CF,0.1542078330204037
EDRC,0.1538692173679136
HBN,0.1534935381528457
GLC,0.1508821592673668
MCN,0.149613442733494
XQN,0.148296089310607
ZYD,0.1469060936367839
ZENI,0.1465589064112828
OPAL,0.1464747912385811
ENT,0.1452624566477488
XPY,0.1446381077628392
IBANK,0.1436373767244149
WBB,0.1423232909864707
CAB,0.141362011797962
LUN,0.1407074849318324
XTO,0.1397033048944686
TES,0.1390305099728623
BLU,0.1374729220228635
ACOIN,0.1366715982641157
CSC,0.1323263603739036
SANDG,0.1301751633616586
CREVA,0.1296887088810221
RBY,0.1289548378729772
XPM,0.1277822777749123
DCY,0.1257067474504393
ICON,0.1252549330295029
XBC,0.1217408595822137
RBT,0.1200055037119596
FRN,0.1183686634190206
CLUB,0.1171728548899938
SKULL,0.1144333734582425
PXC,0.1109189240523398
KOBO,0.1091188603494352
XWC,0.1053047735202111
CANN,0.1031491419555533
BCN,0.1024764381077024
LTCR,0.1020231699242169
VIDZ,0.0996226993043844
JKC,0.0992913571704117
MOTO,0.0990462620179686
HMQ,0.0987393477490578
NVC,0.0935766597886273
MST,0.0930487933661995
PZM,0.091431228879385
DEM,0.0874027332893871
ILC,0.0866558451852275
GCC,0.0865529508534804
DGC,0.0850811038039317
RBIES,0.0849823594422896
CLAM,0.0845520345899925
EQB,0.0842017049240132
HUSH,0.0816760295821098
START,0.0815962635387022
LOG,0.0796872764525729
ICOB,0.078262998284708
UNIT,0.0782048074355151
QBC,0.0780268196447002
BSTY,0.0776669682916552
IFC,0.0768477532120195
ARGUS,0.0766572703377261
TAJ,0.0738854392424724
LANA,0.073430009914479
DIME,0.0709556107195183
SIB,0.068463235500326
OZO,0.067730432176233
COOL,0.0671385841711644
XPTX,0.0663348454658128
PTOY,0.0647708228670927
TRST,0.0642431854302383
QTZ,0.0634272116717745
CLOAK,0.0621952952923301
PUT,0.0619079769965128
HNC,0.0609110796711003
SWT,0.059574299352227
BOLI,0.0592189556050458
SILK,0.0591523800292627
DCT,0.0583078859326344
SWIFT,0.0573736966997479
SXC,0.0561394540007872
LDOGE,0.0551247403973844
HVCO,0.054186741639493
PIE,0.0518486560323245
MAY,0.0510817589940085
MNTC,0.0499978827563722
BLAZR,0.0499667767375442
ZER,0.0498824200003921
IRL,0.0474412614281106
ZOOM,0.0443456186269079
OK,0.0430638498106314
BRIT,0.0429200476291594
PAK,0.0411620385772347
IXC,0.0408853160817525
XBY,0.0388100957758668
BITS,0.038150850755934
ALIAS,0.0381246925475903
KURT,0.0344083593557692
NXT,0.0338548029163365
BTB,0.0336356869954027
TAB,0.0320034926258117
FRC,0.031072272062767
XST,0.0282548097325631
SLS,0.024004274609794
SONG,0.0221625529938475
LKY,0.0219373319881679
CNT,0.0215011618011922
PASC,0.0199166836494802
ADC,0.0188150198507096
SHND,0.0175817766063132
USDT,0.0174057711963969
PHR,0.0154399779071363
BS,0.0125627787913979
CARBON,0.0124602650551896
POT,0.0099537800628422
NETKO,0.0085398080781993
CKC,0.0051852399535984
BIS,0.0027897955767373
LMC,0.0022300383246055
ACES,0.0009666345330291
BTA,-0.0004509847224054
NYC,-0.0009800289496307
RRT,-0.0010108745474533
RDD,-0.0011687130048101
EFL,-0.002835590812857
INF,-0.0032021804489654
NEVA,-0.0042760651438228
LOOK,-0.0050724425057232
WDC,-0.008357710414643
ZUR,-0.008581919293349
WC,-0.0220864461955958
WYZ,-0.0333876559864464
NEOS,-0.941873026554111
BOSS,
CAM,
CDN,
CYG,
DOGED,
ETT,
IMPACT,
MARI,
MARV,
NKT,
PX,
RCX,
SLING,
UR,
USC,
VDO,
VMC,
