TIMESTAMP,BIGDOG_OPEN_PRICE_USD,BIGDOG_HIGH_PRICE_USD,BIGDOG_LOW_PRICE_USD,BIGDOG_CLOSE_PRICE_USD,BIGDOG_VOLUME_USD,BIGDOG_DIVIDENDS_USD,BIGDOG_STOCK_SPLITS_USD
2025-05-28 00:00:00+00:00,,,,0.0,330804,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,77445,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,23515,0.0,0.0
2025-06-01 00:00:00+00:00,1.1731065541198404e-07,1.474770670029102e-07,1.1082877904300403e-07,1.1138740063643127e-07,6335,0.0,0.0
