TIMESTAMP,TOSHE_OPEN_PRICE_USD,TOSHE_HIGH_PRICE_USD,TOSHE_LOW_PRICE_USD,TOSHE_CLOSE_PRICE_USD,TOSHE_VOLUME_USD,TOSHE_DIVIDENDS_USD,TOSHE_STOCK_SPLITS_USD
2024-01-12 00:00:00+00:00,,,,0.0,52474,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,6737,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,1705,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,2221,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,10037,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,51523,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,32788,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,10395,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,9438,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,4384,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,4455,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,4703,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,2560,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,8190,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,7300,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,2814,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,6226,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,6325,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,24031,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,59437,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,50704,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,16850,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,11589,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,38258,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,26609,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,16333,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,17165,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,9229,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,20383,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,22551,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,6423,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,52579,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,20000,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,16338,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,16777,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,14201,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,16149,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,11496,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,15725,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,9714,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,4587,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,3705,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,9290,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,3786,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,5428,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,7936,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,8100,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,14773,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,9462,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,14066,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,47600,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,31631,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,22212,0.0,0.0
