,BTC,Lag
RBT,5.058584004171755e-15,29
WYZ,9.523639764730062e-15,29
TRST,6.229119002717615e-14,30
PXC,8.757581916049208e-14,24
USDT,1.0653109613203155e-13,3
ACES,1.0080045212298585e-12,27
VEC2,6.530866388932049e-11,30
LTCR,7.153771948342245e-11,19
SIGNA,2.4356668757801967e-10,26
42,2.112139685229078e-09,30
IFC,2.3336557164375204e-09,30
XLM,5.429663221960505e-09,29
QTUM,5.781492557230058e-09,23
XEM,3.5720384289772044e-08,29
STEEM,1.0438268329269365e-07,28
SKULL,1.5806219890400468e-07,4
LMC,2.0583538258504015e-07,30
XRP,3.799154816626304e-07,22
DGB,1.0385452028882874e-06,27
DOGE,1.1044327669493238e-06,30
TAB,1.1351949277320934e-06,28
RBIES,1.3821087487527377e-06,12
LTC,3.807019063341243e-06,25
IBANK,8.729594373554336e-06,29
ZEC,9.386424442915466e-06,27
ETH,9.800944465064483e-06,30
XWC,1.0039353890008958e-05,23
RLC,1.083621799010326e-05,9
DASH,1.3197261403419224e-05,9
XPM,1.7443973541381685e-05,30
WBB,4.069133130269582e-05,30
GRS,4.718447914517915e-05,1
PPC,4.9192801749407e-05,22
XMR,6.4946395704215e-05,29
IMS,6.740247260524071e-05,10
BERN,0.0001596265687974,9
FRN,0.000320288060714,24
MONA,0.000333915501827,29
ZEN,0.000361744287232,27
GAS,0.0003805120186151,27
PAK,0.0003972162061814,30
ADZ,0.0004899959568821,12
ARK,0.000513809625093,1
BTS,0.000548161488809,27
KURT,0.0005554601579448,21
LSK,0.000609251190445,30
WAVES,0.0008354854484918,23
PXI,0.0009717120086072,6
ETC,0.0010283583162545,25
VAL,0.001047411367514,29
CANN,0.0012838615819251,6
CREVA,0.0014304387836816,28
BLK,0.0014590725069748,29
CF,0.0015591185827904,29
POST,0.0022249585521978,24
BAT,0.0023286147346419,27
CARBON,0.0025385864341237,30
ZUR,0.0026402352505363,3
CAB,0.0027469930171691,30
KMD,0.002803585747079,1
XHI,0.0029285586570813,24
ADC,0.0030625718555722,14
CKC,0.0031451498616873,29
GNO,0.0033110417200786,30
XPX,0.0033222641144919,14
XMS,0.0036849094717711,30
LDOGE,0.0039164599888331,11
TAJ,0.0042439056978202,22
C2,0.0045557244537482,30
LOG,0.0048647144164183,18
EUC,0.0052581717869232,24
WINGS,0.0061718030357735,9
EVIL,0.0062074975866896,28
SANDG,0.0063151882570025,18
SXC,0.0066700643277884,29
SPR,0.006919821749885,23
VIDZ,0.0076274763588516,24
VLT,0.0081899664571606,26
START,0.0082160806051211,29
ZET,0.0099011921627514,7
SKR,0.0114275236107205,30
XQN,0.0119974720436278,25
SC,0.0120743615135733,1
PIVX,0.0121603236285015,30
SWING,0.0123617268894246,3
HVCO,0.0136169035062885,30
AE,0.0146853497363335,1
GBYTE,0.0155341825116421,30
MCN,0.0178880633058759,30
ZYD,0.0189194252509502,28
AMS,0.0197553267660851,30
PZM,0.021984491202946,1
AV,0.0226535818789665,8
BLU,0.0238748366681183,22
NOBL,0.0239561063860162,12
DCR,0.024416358135202,27
IOTA,0.0257335725308406,9
BOLI,0.026577399318928,2
BTB,0.0277335133349204,1
LOOK,0.0308144748500656,30
XTO,0.0380366777247973,8
INF,0.0464764718779496,1
CJ,0.0468393261245524,28
ICON,0.0480087632230111,25
VTC,0.0524637391802956,22
2GIVE,0.0544829615825508,24
DEM,0.0557661328551628,1
JLP,0.055941665086115,6
NEWB,0.0581592316633779,8
LAMB,0.0636785420371973,7
WC,0.0671295363273347,7
CETI,0.075155786140579,14
CSC,0.077213867241472,1
QTZ,0.0802583438320534,1
ICOB,0.0803623941012095,5
XDN,0.0842279363867103,28
HNC,0.0884075792987968,27
XPY,0.0889310622925489,30
BLAZR,0.0895530614051111,1
SYS,0.0895560689040143,30
NXT,0.0936337191542353,2
LUNC,0.1029736152940238,30
CRW,0.112099483232842,11
ZCL,0.1178446967158517,29
MST,0.118177071869731,1
BCN,0.1236928990734704,29
COOL,0.1252472036687101,2
NVC,0.1350879475647576,26
NMC,0.13538714564999,4
MAY,0.1410313974841583,7
BS,0.1588544025475149,1
FRC,0.16244937418814,11
BRIT,0.1641530584308239,2
XBC,0.168574697791357,28
HMQ,0.1691996866825287,1
FOREX,0.1719164345518414,14
OPAL,0.1750628358023704,5
RDD,0.1751795435785415,6
POT,0.1853637041694431,2
XPTX,0.1918799507597836,4
ZENI,0.195837485940476,15
CLUB,0.1983284139646185,5
XST,0.1985915638670091,2
HBD,0.2030032660212651,19
SNRG,0.2075349203811586,1
EQB,0.2093591609123039,1
KOBO,0.2100497134235085,9
KIN,0.215633270088093,1
ANT,0.2169498957891324,13
RBY,0.2246828695988863,16
PKB,0.2388215403269412,6
MOTO,0.2500487674983905,1
LBC,0.2539734457017269,29
EDRC,0.2551695952232666,23
CLOAK,0.2570736088067089,2
ACOIN,0.2634139130619694,26
DCY,0.2655694904768966,2
IXC,0.2704305795935141,9
AMBER,0.2785147065374089,4
PIE,0.2893896669667068,2
WGR,0.2952598066496873,12
XCP,0.301039608091636,1
CLAM,0.3044756602898808,2
BSTY,0.3323903273338696,1
ARGUS,0.3503419294601498,6
XBY,0.3644368234143134,15
SIB,0.3710243839825283,4
NXS,0.3784753733197499,6
DCT,0.379577962302949,1
BTCS,0.3836265694979929,1
ZER,0.3852438259823959,16
IRL,0.3870788555274935,28
TECH,0.401710504594323,3
NEVA,0.4289766611744505,1
AXIOM,0.4293831045237278,3
FIRO,0.4447731345484792,1
EFL,0.4527618700024862,29
AGRS,0.4545078051164201,4
QBC,0.4690420342540542,2
GCC,0.4963527080070952,1
HBN,0.4987766553517486,2
RRT,0.5004348195167221,3
OK,0.5046282370421532,8
VERI,0.5202060791662869,4
FTC,0.5211305391015444,1
PTOY,0.5214827089306822,1
SILK,0.5356356658483084,1
NAV,0.5420342998581951,20
PHR,0.5572776713399696,1
DGC,0.5670585495455022,1
BTA,0.5778301217960329,1
TES,0.5920437751499337,2
BIS,0.5964798047261193,1
SWT,0.6030409724948875,1
ALIAS,0.6199445998036959,7
MAID,0.620434972694648,29
SWIFT,0.6271831704316942,1
LANA,0.6390623503104965,1
ILC,0.6414900731464819,1
SONG,0.6485635644558354,1
