,MSE,RMSE,MAE,MAPE,R2
0,450.4304524058597,21.22334687097819,17.230992072095997,0.12268063628353432,-0.3254015940075863
1,152.33581670289664,12.342439657656692,10.43901873827097,0.08053277406746837,-0.6992443781006332
2,184.63714521746152,13.588125154614286,10.679290054090318,0.06267231390828407,0.15002008213368478
3,695.1564560062288,26.36581984324077,20.04309296061334,0.11200056028748874,-0.36954785782648925
4,194.53554977503592,13.94760014393286,10.972249455638707,0.060903423269848225,-0.8987925983002611
5,1082.5094715794428,32.9015116914017,26.209866091359995,0.11328208038531544,-0.7868249701574841
6,401.83848332568533,20.04590939133681,14.903898810374193,0.09432578466780597,-0.761028821501246
7,307.1102180236781,17.52456042312269,13.384595499045158,0.10895813270411776,-0.21688951356465958
8,194.81816647823845,13.957727840814151,11.622528816428574,0.09704304837663358,-0.6321415941156749
9,62.78250059469162,7.923540912665979,6.766787946374191,0.05961665901622793,0.3724452148336266
10,80.87111071361943,8.99283663332207,7.508557901306671,0.0692554727053242,-0.21312630608100736
11,161.50721254003798,12.708548797562921,8.549600230418067,0.12001606693845948,0.12893022924403752
Mean,330.71104861357304,16.793497280054094,13.192539881334682,0.09177391271754233,-0.35430017562030774
