TIMESTAMP,RABBIT32405_OPEN_PRICE_USD,RABBIT32405_HIGH_PRICE_USD,RABBIT32405_LOW_PRICE_USD,RABBIT32405_CLOSE_PRICE_USD,RABBIT32405_VOLUME_USD,RABBIT32405_DIVIDENDS_USD,RABBIT32405_STOCK_SPLITS_USD
2024-07-25 00:00:00+00:00,0.00015500000154133886,0.00020900000527035445,0.00010399999882793054,0.00012700000661425292,183941,0.0,0.0
2024-07-26 00:00:00+00:00,0.00012700000661425292,0.00014099999680183828,8.299999899463728e-05,9.000000136438757e-05,29167,0.0,0.0
2024-07-27 00:00:00+00:00,9.000000136438757e-05,9.600000339560211e-05,7.599999662488699e-05,8.800000068731606e-05,15886,0.0,0.0
2024-07-28 00:00:00+00:00,8.800000068731606e-05,0.00010199999815085903,7.200000254670158e-05,8.299999899463728e-05,10182,0.0,0.0
2024-07-29 00:00:00+00:00,8.299999899463728e-05,8.299999899463728e-05,7.400000322377309e-05,7.699999696342275e-05,8330,0.0,0.0
2024-07-30 00:00:00+00:00,7.699999696342275e-05,7.79999973019585e-05,6.299999949987978e-05,6.399999983841553e-05,7101,0.0,0.0
2024-07-31 00:00:00+00:00,6.399999983841553e-05,6.600000051548705e-05,6.299999949987978e-05,6.299999949987978e-05,2634,0.0,0.0
2024-08-01 00:00:00+00:00,6.299999949987978e-05,6.399999983841553e-05,5.2999999752501026e-05,5.500000042957254e-05,1781,0.0,0.0
2024-08-02 00:00:00+00:00,5.6000000768108293e-05,6.199999916134402e-05,5.6000000768108293e-05,5.6000000768108293e-05,918,0.0,0.0
2024-08-03 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.2999999752501026e-05,5.500000042957254e-05,3454,0.0,0.0
2024-08-04 00:00:00+00:00,5.500000042957254e-05,5.700000110664405e-05,4.999999873689376e-05,5.700000110664405e-05,972,0.0,0.0
2024-08-05 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,4.3000000005122274e-05,4.999999873689376e-05,898,0.0,0.0
2024-08-06 00:00:00+00:00,4.999999873689376e-05,6.399999983841553e-05,4.8999998398358e-05,6.199999916134402e-05,2543,0.0,0.0
2024-08-07 00:00:00+00:00,6.199999916134402e-05,6.399999983841553e-05,5.400000009103678e-05,5.400000009103678e-05,488,0.0,0.0
2024-08-08 00:00:00+00:00,5.400000009103678e-05,5.6000000768108293e-05,5.0999999075429514e-05,5.500000042957254e-05,980,0.0,0.0
