TIMESTAMP,RLC_CLOSE_PRICE_USD,RLC_OPEN_PRICE_USD,RLC_HIGH_PRICE_USD,RLC_LOW_PRICE_USD
2018-02-02,1.6959,1.6872,1.7134,1.3475
2018-02-03,1.8555,1.6959,1.9662,1.6111
2018-02-04,1.4791,1.8555,1.902,1.4181
2018-02-05,1.0911,1.4791,1.5097,0.9977
2018-02-06,1.2289,1.0911,1.2486,0.8761
2018-02-07,1.307,1.2289,1.3778,1.1576
2018-02-08,1.2523,1.307,1.5057,1.2474
2018-02-09,1.4995,1.2523,1.5063,1.2017
2018-02-10,1.4134,1.4995,1.5764,1.3832
2018-02-11,1.3249,1.4134,1.4145,1.2483
2018-02-12,1.4225,1.3249,1.4835,1.3047
2018-02-13,1.4046,1.4225,1.4467,1.3501
2018-02-14,1.4446,1.4046,1.5277,1.4019
2018-02-15,1.3557,1.4446,1.5001,1.3085
2018-02-16,1.4244,1.3557,1.4244,1.3543
2018-02-17,1.4832,1.4244,1.5519,1.4058
2018-02-18,1.5105,1.4832,1.7167,1.4056
2018-02-19,1.4994,1.5105,1.5511,1.4815
2018-02-20,1.3393,1.4994,1.5166,1.3393
2018-02-21,1.217,1.3393,1.3393,1.2017
2018-02-22,1.1004,1.217,1.2769,1.0905
2018-02-23,1.1363,1.1004,1.1674,1.0663
2018-02-24,1.0884,1.1363,1.175,1.0783
2018-02-25,1.226,1.0884,1.2605,1.0756
2018-02-26,1.4161,1.226,1.5663,1.1633
2018-02-27,1.5731,1.4161,1.7104,1.368
2018-02-28,1.4264,1.5731,1.7899,1.4264
2018-03-01,1.4376,1.4264,1.4937,1.3745
2018-03-02,1.4642,1.4376,1.4677,1.3592
2018-03-03,1.3874,1.4642,1.584,1.3751
2018-03-04,1.4607,1.3874,1.5624,1.3747
2018-03-05,1.3644,1.4607,1.4703,1.3644
2018-03-06,1.2191,1.3644,1.3644,1.2107
2018-03-07,1.5133,1.2191,1.9794,0.68
2018-03-08,1.3385,1.5133,1.8552,1.3385
2018-03-09,1.2865,1.3385,1.3385,1.1362
2018-03-10,1.2338,1.2865,1.3256,1.2289
2018-03-11,1.2679,1.2338,1.2769,1.1442
2018-03-12,1.1985,1.2679,1.2853,1.1663
2018-03-13,1.1713,1.1985,1.2028,1.1202
2018-03-14,1.0323,1.1713,1.221,1.0249
2018-03-15,1.0595,1.0323,1.0673,0.9532
2018-03-16,1.0954,1.0595,1.1185,0.9969
2018-03-17,0.9682,1.0954,1.097,0.9603
2018-03-18,0.9966,0.9682,0.9987,0.865
2018-03-19,0.9895,0.9966,1.0436,0.9321
2018-03-20,1.0481,0.9895,1.0481,0.9895
2018-03-21,1.0743,1.0481,1.1217,1.0428
2018-03-22,1.0684,1.0743,1.0961,1.0392
2018-03-23,1.0667,1.0737,1.1088,1.0074
2018-03-24,1.0708,1.0667,1.1876,1.0549
2018-03-25,1.117,1.0708,1.242,1.0549
2018-03-26,1.0289,1.117,1.1737,0.9717
2018-03-27,1.0061,1.0289,1.0325,0.9717
2018-03-28,1.0042,1.0061,1.0172,0.9899
2018-03-29,0.8493,1.0042,1.0093,0.8431
2018-03-30,0.8115,0.8493,0.8493,0.7858
2018-03-31,0.8419,0.8115,0.876,0.8115
2018-04-01,0.8204,0.8419,0.846,0.7942
2018-04-02,0.8355,0.8204,0.8439,0.8182
2018-04-03,0.9199,0.8355,0.944,0.8355
2018-04-04,0.8198,0.9199,0.9199,0.8129
2018-04-05,0.8093,0.8198,0.8241,0.7955
2018-04-06,0.7879,0.8093,0.8144,0.785
2018-04-07,0.8224,0.7879,0.8341,0.7879
2018-04-08,0.8381,0.8224,0.8646,0.819
2018-04-09,0.8317,0.8381,0.944,0.8168
2018-04-10,0.8807,0.8317,0.8881,0.828
2018-04-11,0.9167,0.8807,0.9365,0.8807
2018-04-12,1.0098,0.9167,1.0098,0.8883
2018-04-13,1.0638,1.0098,1.12,1.0045
2018-04-14,1.0874,1.0638,1.0894,1.047
2018-04-15,1.1482,1.0874,1.1482,1.0828
2018-04-16,1.2141,1.1482,1.3016,1.1148
2018-04-17,1.1409,1.2141,1.2199,1.1367
2018-04-18,1.2714,1.1409,1.2767,1.1409
2018-04-19,1.4311,1.2714,1.7011,1.2341
2018-04-20,1.4789,1.4311,1.4789,1.3737
2018-04-21,1.4161,1.4789,1.4822,1.351
2018-04-22,1.514,1.4161,1.6289,1.414
2018-04-23,1.5158,1.514,1.5691,1.4989
2018-04-24,1.5555,1.5158,1.5624,1.4988
2018-04-25,1.4052,1.5555,1.6231,1.295
2018-04-26,1.4909,1.4052,1.4948,1.3805
2018-04-27,1.4546,1.4909,1.5573,1.4546
2018-04-28,1.5993,1.4546,1.6033,1.4438
2018-04-29,1.6619,1.5993,1.6766,1.5711
2018-04-30,1.628,1.6619,1.6816,1.6104
2018-05-01,1.5634,1.628,1.628,1.5466
2018-05-02,1.6832,1.5634,1.6907,1.5551
2018-05-03,1.7756,1.6832,1.8578,1.6757
2018-05-04,1.6701,1.7756,1.7759,1.6204
2018-05-05,1.7213,1.6701,1.7291,1.6394
2018-05-06,1.6333,1.7213,1.7455,1.6124
2018-05-07,1.5882,1.6333,1.6437,1.524
2018-05-08,1.5749,1.5997,1.5997,1.5327
2018-05-09,1.6602,1.5749,1.6755,1.4991
2018-05-10,1.6809,1.6602,1.8242,1.6602
2018-05-11,1.4818,1.6809,1.7325,1.444
2018-05-12,1.66,1.4818,1.7291,1.4096
2018-05-13,1.7259,1.6525,1.8078,1.6396
2018-05-14,1.8551,1.7259,1.9896,1.6393
2018-05-15,1.7729,1.8551,1.8948,1.745
2018-05-16,2.1868,1.7729,2.3312,1.6603
2018-05-17,1.9352,2.1789,2.5122,1.9322
2018-05-18,2.0638,1.9352,2.0691,1.8894
2018-05-19,2.1594,2.0638,2.2849,2.0638
2018-05-20,2.0922,2.1594,2.1594,2.0639
2018-05-21,2.0221,2.0922,2.0922,1.979
2018-05-22,1.8857,2.0221,2.0842,1.88
2018-05-23,1.7356,1.8857,1.913,1.6753
2018-05-24,1.7496,1.7356,1.7684,1.5848
2018-05-25,1.7938,1.7496,1.934,1.7274
2018-05-26,2.0151,1.7938,2.1296,1.7937
2018-05-27,2.1369,2.0151,2.1518,2.0057
2018-05-28,1.7847,2.1369,2.1507,1.7665
2018-05-29,1.8143,1.7847,1.9342,1.7608
2018-05-30,1.6732,1.8143,1.8739,1.6516
2018-05-31,1.7105,1.6732,1.7683,1.6715
2018-06-01,1.6361,1.7105,1.7191,1.6112
2018-06-02,1.6841,1.6361,1.7246,1.6311
2018-06-03,1.6703,1.6841,1.7291,1.6666
2018-06-04,1.5806,1.6703,1.6766,1.5675
2018-06-05,1.6564,1.5806,1.6657,1.5558
2018-06-06,1.5926,1.6564,1.6907,1.5675
2018-06-07,1.4935,1.5871,1.6046,1.4876
2018-06-08,1.4284,1.4935,1.5002,1.4013
2018-06-09,1.359,1.4284,1.4314,1.3499
2018-06-10,1.2626,1.359,1.4051,1.2597
2018-06-11,1.1856,1.2626,1.2678,1.1533
2018-06-12,1.1362,1.1856,1.19,1.1362
2018-06-13,0.9717,1.1362,1.1419,0.9643
2018-06-14,1.0914,0.9717,1.1044,0.9669
2018-06-15,1.0679,1.0914,1.0914,1.047
2018-06-16,1.0452,1.0679,1.0786,1.0292
2018-06-17,1.0504,1.0452,1.083,1.0452
2018-06-18,1.0212,1.0504,1.0504,0.9789
2018-06-19,0.9968,1.0212,1.029,0.9923
2018-06-20,0.9447,0.9968,0.9968,0.9287
2018-06-21,0.876,0.9447,0.9447,0.8682
2018-06-22,0.8227,0.873,0.8963,0.7941
2018-06-23,0.8781,0.8227,0.8959,0.8201
2018-06-24,0.7307,0.8781,0.8781,0.719
2018-06-25,0.7647,0.7307,0.7756,0.7244
2018-06-26,0.7058,0.7647,0.7647,0.7031
2018-06-27,0.7007,0.7058,0.7058,0.693
2018-06-28,0.6692,0.7007,0.7036,0.6672
2018-06-29,0.6642,0.6672,0.6692,0.6127
2018-06-30,0.7102,0.6642,0.7199,0.6642
2018-07-01,0.7306,0.7137,0.7306,0.7044
2018-07-02,0.8281,0.7306,0.8365,0.7277
2018-07-03,0.7986,0.8281,0.8312,0.7954
2018-07-04,0.8376,0.7986,0.874,0.7748
2018-07-05,0.7672,0.8376,0.8694,0.7633
2018-07-06,0.767,0.7672,0.7748,0.7368
2018-07-07,0.8348,0.767,0.8919,0.767
