Lag,BTC,ETH,LTC,XMR,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.13582922948182322,0.10133046382336751,0.24989994189402495,0.29865491393511034,0.5974149647473161,0.2251285478772368,0.23105669975987808,0.11466480375834961,0.29910926373829677,0.48143214747720753,0.46461971800775326,0.5226700745563025,0.21997226515650511,0.35348709434466286,0.6901396237374583,0.3252540652425316,0.36289211138034605,0.26440091302249197,0.850827564073756,0.03789272723934826,0.7530257307563811,0.04689369019875496,0.3628490641814357,0.23003467246193404,0.30547337731257995,0.8883686664797957,0.3900994954961641,0.11789751803544521,0.29230807262849395,0.05642436414730479,0.47099781378780503
2,0.014159521545214684,0.0069185197338187095,0.13056557211483374,0.17926186908421926,0.44694330798663906,0.3859552878228148,0.26304489311006524,0.027452099560044817,0.14739587324579664,0.49471886671587467,0.2674246354547299,3.798889872740953e-06,0.23482335751727107,0.5254167007168118,0.32942550464782433,0.24821119916857004,0.42818009080908737,0.20171638185971447,0.8023455917951385,0.05169473273110515,0.5572417823438542,0.0878460771519265,0.4731556009765951,0.1837740224524468,0.22914839564732112,0.5362028528755984,0.5477771907902693,0.06302916995297896,0.10618380107228513,0.07116281638675798,0.30457562470615634
3,0.029649759357639346,0.014161505342567852,0.10199446763944406,0.08061374641651223,0.467852816024092,0.253766880809035,0.374946307082636,0.029467392541544853,0.09393701109490657,0.5411673844973617,0.14415090122854102,1.4494624131479228e-05,0.24605172300480468,0.5512646945213078,0.4873948002191047,0.27000025152411594,0.4967484191508712,0.24141677059881247,0.5742700864288018,0.1068558417721353,0.5727516160288926,0.08792214548485576,0.11920477540009253,0.23963023163355487,0.3506430137541746,0.6241867319955394,0.41763039889522224,0.09495744037522295,0.12854743871174487,0.09529699530618838,0.3493392827327701
4,0.020065986829054184,0.02140706704420407,0.04738301171852818,0.06117961616871148,0.5357495285093344,0.34971380628465176,0.12304633230608024,0.04373936463439738,0.09374998437883825,0.48160708035459265,0.2034882523317642,2.530478269909407e-05,0.023310499875214198,0.6499488269476129,0.5619526956965959,0.31659847335415053,0.48342379476079567,0.16085023748437807,0.6211837689693496,0.0729071538140947,0.5669203745222682,0.0610540141398706,0.059532877232256594,0.16466787556578272,0.37934999478397124,0.6435568059082123,0.16980715351681822,0.10912928452657968,0.1781677506415316,0.15253031199164274,0.23905086720255464
5,0.03010098349403316,0.03167847440857257,0.06473576319180471,0.06842254557967226,0.5680974347492551,0.2799777420319667,0.10355793040637676,0.0670799271352937,0.09835401222414536,0.537151580078763,0.14800121981361797,5.813817851784223e-05,0.023076764921595414,0.638804178719833,0.6282999349650502,0.32126195895401555,0.5882069513217112,0.193191593796959,0.5711628449358996,0.11661481549645529,0.5348731386813225,0.08459159668968338,0.05929843150090691,0.12655681918656508,0.4377455323876086,0.6758727943248098,0.1919052642124171,0.10334665607982219,0.1838953620386291,0.19758982558191004,0.2646256353318675
6,0.04301286223447834,0.045145728566444866,0.02224853538960856,0.08412690000791277,0.4153186754032676,0.2606279205883745,0.05718843289263116,0.060140466468192544,0.1269184600504651,0.5003991634816657,0.19972458101750923,0.0001543262667553485,0.02360881760646677,0.7478621430940252,0.6854664451656697,0.3177056064702732,0.43153748489908006,0.19832016594610183,0.6965639860432908,0.11404825042015437,0.4980102603122694,0.12732422928101775,0.08787012554671919,0.20239373806647165,0.3909131120605565,0.5153064289036803,0.2568051950998576,0.14611552996570848,0.22534284106121674,0.12399202610402461,0.3566404661756319
7,0.04607128731559636,0.051802370371247526,0.022745175465148502,0.08402696266253436,0.4822417309483308,0.29270286369549076,0.08122695273475837,0.09777108977270149,0.15924739038419583,0.21640693367394503,0.20751061289545686,0.00022973485577810747,0.032839495411119586,0.8272210175533432,0.6788032803455284,0.3532017707250075,0.5151708115436247,0.18866627944691822,0.8272743015887009,0.1139750746760349,0.41179139777829227,0.03039604061772937,0.12473499078106012,0.1914165328989342,0.3920202392825113,0.5685351197696565,0.28678332080029506,0.17491776960009206,0.24889148575166842,0.12663294845088283,0.44313387540886745
8,0.04730482268673136,0.07398534615038088,0.030375284537277027,0.08542444982541376,0.5076696513282788,0.3802033819004805,0.09009348794446177,0.12302673034276032,0.1680437431638811,0.2840235542783881,0.1887633831477044,0.00017952564045087196,0.03302144676516817,0.8339183992722874,0.7236560025507562,0.3866035865467127,0.5211107383213476,0.19303775814916715,0.7975932759518558,0.1545143165259412,0.4412993223208062,0.05214942877418487,0.1320540304845143,0.060332090390811825,0.4431276367614145,0.6119514327136986,0.34888219038330986,0.15830788950730648,0.23854419742440097,0.17625355516112468,0.48016569170270246
9,0.03577353010282301,0.08253625732066426,0.026510287925700916,0.08627544922320957,0.5797350038183471,0.44719781765135963,0.10068361228384778,0.14305740684584567,0.04232100887022382,0.3415418755955282,0.17989470357060097,3.428183739626213e-05,0.043028941663455736,0.8490169759682117,0.7337377775390601,0.4141292480040688,0.5584780701998552,0.10383651644623297,0.72113104120846,0.15179220835670582,0.4140095808178307,0.039824181098851025,0.1485490128475611,0.07177818516752138,0.3691320691808364,0.5568215652507416,0.38195230455314294,0.10578029880431733,0.18443288335133778,0.08130728663004984,0.4198650585810816
10,0.023810251500999146,0.0719194321959066,0.033449534439964644,0.08599465985947605,0.6156576319219542,0.4743464153298709,0.13931132911495156,0.08825205664040246,0.04177629643091363,0.3792439162082427,0.046628061923767804,6.271644986656223e-06,0.031081691875003488,0.7074669285272351,0.7529806098837297,0.47493486979859467,0.5033644320068237,0.11342354476435568,0.770160014836304,0.15588350871486026,0.3632130296930069,0.04625825625501486,0.1479287282088178,0.004635175850574034,0.418856614564397,0.5413530165033951,0.44491627222095437,0.11479559886986691,0.20760588890565929,0.07246772635043282,0.3545984087883459
