Lag,BTC,ETH,LTC,XMR,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.013453269456527948,0.001519460182364326,5.5035083205037116e-05,0.005677277943132062,0.9100495685951728,0.3298453764667619,0.24423312563185845,5.7397881697997754e-05,0.12193313264318026,0.6838283922189183,0.90718360412396,0.5557150110291096,1.8259740603458e-05,0.04344520098834553,0.9739043821015618,0.2545111459236066,0.3182779119036526,0.013106528507106129,0.9064339718379072,0.025429884751821636,0.9028330182281838,6.680021444257323e-05,0.7134868276245694,0.43336145255829694,0.17341140188379917,0.9483157086107948,0.45048467117128654,0.1886549067127722,0.14326944749473577,0.010420533966313867,0.6077723204943493
2,0.00360251074279204,0.0018435441030635173,2.111495733036666e-06,0.0020512380731645343,0.4341191634088686,0.5345563685833861,0.4073670829431112,2.310302877011405e-07,0.12164875377977467,0.7637586815173129,0.48739269431706345,2.767425266908129e-19,6.936168315297737e-05,0.30835411875459245,0.510673611190333,0.09038390329310106,0.5816212471239345,0.041029280770082804,0.6911520247464135,0.008555179191254642,0.9934604126244952,4.892567312785677e-05,0.929356212923606,0.2929568137529162,0.4078168768654967,0.8904222574693573,0.7430945609738004,0.032877420238960404,0.033476719778102286,0.010847818800577653,0.34150289362956543
3,0.013237120998500027,0.007317114512239539,4.514111602078281e-06,0.0027071744994710887,0.42790567522246725,0.2801422746322905,0.5936295554933768,1.7522694308417232e-09,0.10459860542573125,0.8849596685538625,0.27000212716122635,1.5863404714244544e-18,0.000242562250723847,0.46715850935545156,0.7064864959717501,0.060717063233674234,0.6868282907482053,0.08559633142058193,0.34356073868566206,0.01923402311580951,0.999795528269654,0.00017792539707877126,0.20418476773376168,0.341681158292582,0.6161654709655555,0.9661480581595228,0.550400005473755,0.035094898191546084,0.05498733066597052,0.025398178429364156,0.4726070027546434
4,0.02113262072903196,0.0038276768681840207,2.6579014711169837e-06,0.0007715758247338307,0.5835716314443417,0.3056217203037875,0.03910659508508223,3.5028420521043116e-09,0.08424589943428662,0.5384870335333272,0.37035655901707093,6.123885054731135e-18,0.00010950622226594152,0.4749810976163201,0.8199851748396599,0.09676484503807435,0.6875250069837788,0.007084843878951549,0.45217621672910546,0.003342842153623505,0.9500750643587768,6.9296741738461556e-06,0.06724646640027213,0.13344472698115808,0.68359316887123,0.9139152775432047,0.053822736674945984,0.004250417485627771,0.07568563855030148,0.035481670487823566,0.23099833309138984
5,0.03917386571824688,0.0050732610315708535,6.409881089380026e-06,0.00025405065463953406,0.5354454863192738,0.39391913706353004,0.01739373672231443,4.017504955664608e-09,0.039660599655018676,0.5624168658617976,0.2297843116587155,1.8772109515370104e-17,0.00013541684669509242,0.44814515883214234,0.8259856502472342,0.1435290818930137,0.766439315608218,0.007997579648732867,0.48459679831699565,0.0006783617907209657,0.9314204033936806,9.046856951018431e-06,0.05928914344627635,0.11922462118001989,0.8062296801933648,0.9608474921633771,0.08399614964176609,0.0002299703962555472,0.06318070700450513,0.02238738577458156,0.15943921048658413
6,0.06382752138139267,0.006483308586030334,1.548406092617282e-05,0.0005076274951183427,0.20262144626835446,0.31092528718048607,0.03320035113814876,6.982081887428461e-09,0.05915298574618252,0.5045976306776494,0.27822246469926776,7.943639110110375e-17,0.00035297839660374317,0.5917161048487749,0.9002988810888117,0.12145907442245803,0.4256436993665549,0.006038301254653737,0.577263556555593,0.0013780106551781394,0.9354248503104392,2.609245531896275e-05,0.10753430402167934,0.20494478714683115,0.7051736395140622,0.5984284144109693,0.15536733546600945,0.0005047420819434379,0.09421758059148726,0.036467450567257025,0.22912050510085108
7,0.07756386180296122,0.015292034626146624,3.365591720351465e-05,0.0009793644868702702,0.2490350971007724,0.4788224577141974,0.03599786037560961,3.0890020406796314e-09,0.09350578513495851,0.0989565938746415,0.27038229533532443,7.260786371679151e-18,0.0006545348022019064,0.7047024329012879,0.9366536167841626,0.17504189628215636,0.5363353817183204,0.009655591658179566,0.8171871831851056,0.0015591294905438996,0.6470655365333401,2.1352528466494611e-07,0.15862060377685647,0.13201681110168875,0.6280935784952792,0.6972459583194308,0.2402976845359944,0.0005006766605007796,0.11741820597043429,0.028525094248928136,0.27908789434455894
8,0.08428140908316545,0.02525862216364535,4.880132281674925e-05,0.0006035852950412199,0.31124284350837084,0.5966847685306109,0.05214184342664341,7.486327086718894e-10,0.11507895956314076,0.1255134447642454,0.19949416020481003,3.956521017494788e-18,0.0004569354642801074,0.7343196367587361,0.9718251320125038,0.2093396760847074,0.5134531265838407,0.018637025584382013,0.7398693606172329,0.0029850870994632263,0.6912054999978632,1.4584247188796725e-06,0.1435273758944153,0.10316118963184809,0.7050154056256215,0.7520466429400886,0.32817874288387716,0.0002544778324175506,0.09375599491785994,0.04698958122633286,0.35404009839657974
9,0.0475390851615559,0.00496051513274942,4.6852604076070386e-05,0.0012123797223146302,0.4071954698384349,0.718156829642312,0.05046013122455817,1.8591044752661432e-09,0.05708478605531571,0.16463408329058818,0.13196418548732824,4.329335051624157e-18,0.0009822020721154637,0.7575858542454248,0.97199339842042,0.2492865950486543,0.5527900567522457,0.0253517492648166,0.798672884622335,0.004094680544627571,0.5335814045301488,2.3912325784734866e-06,0.1810254209755303,0.12482727617417012,0.5508095427432551,0.6410779601670278,0.3630559750638716,0.0004202933766038478,0.14026635396535844,0.058491960334853266,0.4532858818372115
10,0.030051217940985933,0.0009358967047301916,8.0240826870698e-05,0.0013162236937519622,0.5076369807835797,0.729407593789388,0.07698372380352936,1.2835478224356779e-10,0.06713321604461392,0.15393483051175172,0.06950011184764827,1.2951016641131131e-17,0.00014112122340820453,0.7039603467051905,0.9714661090347609,0.31051870703029955,0.3798757005111667,0.025380351746043982,0.8393586562508774,0.0073521220068233075,0.6088278441189905,5.747547359635993e-06,0.17703165209046998,0.00854904716238815,0.6013439391858451,0.5623198178770219,0.44144626689252964,0.0007672180319678119,0.15265698752851825,0.07295586928412304,0.32721988384530143
11,0.017952708073249043,0.00036516144263897996,3.675480357965296e-05,0.0007981631150321627,0.3066122794919445,0.8154066749675007,0.10908923190602265,2.574043509799904e-11,0.08063190863898435,0.13035086564686596,0.050704301970140205,3.6713576356653e-18,7.260533448426944e-05,0.6678585081411621,0.9816528030213699,0.26467000156475734,0.43023250147181946,0.0391184244714012,0.9357040795506841,0.0051902444386728065,0.6756871353536597,2.983147271347674e-06,0.041983734634714054,0.0032885154560112193,0.4565180115233928,0.5840446764814253,0.5178259909178976,0.0011006704559722476,0.19307792642275803,0.07542917148495236,0.2442200196274057
12,0.03082659901011572,0.0007398103271936136,7.795032254015085e-05,0.001063766170768261,0.34271114841482236,0.3823998746080974,0.13793921394633044,6.60843892172061e-11,0.12322498029386297,0.14984269736231143,0.04214486005938901,7.526728739595371e-18,0.00016038800768252353,0.6808374449178669,0.9911127235628905,0.31943989255308813,0.464335654846329,0.030117986638445244,0.8530377887560175,0.008875179093269191,0.6474585189595419,5.041689144883796e-06,0.03073472858754324,0.0025646080601184063,0.546042733054362,0.6488846422126942,0.6001688849147413,0.0011853075836193848,0.25390548012310726,0.10070850064611439,0.29512943915398665
