,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.0006946648017914667,0.0261528159730748,0.021678325186424267,0.11731328881089942,23412.105841643453,151.82771343005325,125.85147286523006,0.2947378980753225,0.986832486451578
1,0.0017851016127613999,0.042200516185125964,0.03394130513514874,0.37002310171724734,60162.828314574785,244.99116065635,197.04308701949367,0.2185065942658135,0.9764802454679785
2,0.0010370377677261001,0.031879150777342706,0.027774045450005003,0.034154050300093504,34951.03743605938,185.07147732884755,161.23966849715046,0.07891718457960933,0.9440475202058987
3,0.016554569541008198,0.12861084521397567,0.09189281752951084,0.24261030308405943,557934.4853861398,746.6382735931214,533.4751929462544,0.19099959069953296,0.9537411868504085
4,0.0007578383414850333,0.027520044073664863,0.020157808379663397,0.0652723117906731,25541.23181113136,159.76504181092832,117.02427349286747,0.06507945045637632,0.9970129680142735
5,0.0017529129173329,0.041844885429634104,0.0326523433702103,0.0429150914193774,72865.9393066993,269.78915996553405,210.52152289169393,0.440181032218403,0.9726208713208422
6,0.0008959198926656668,0.029926944112966567,0.02731122952024953,2.689363032087836,66843.77112144699,258.49863534097767,235.90499497880796,0.2216374197765524,0.9836974842585371
7,0.0012815950518273668,0.03579372431107936,0.030262673836024333,0.09201853509989666,182502.6955132742,427.13594400029416,361.13246123305413,0.7696272822812141,0.9293670964396804
8,0.002183520448677367,0.0467273022248287,0.039562330671520304,0.07213903046178631,310939.3707194371,557.6092042920576,472.10770960393484,0.7384001871524045,0.8622640796143491
9,0.0016658334161048331,0.04080825662362633,0.03577507427807063,0.0686464910463317,237219.29285800434,486.9756659482434,426.9133755675678,0.395023308939888,0.9497148061977064
10,0.0006994519682961666,0.026446233253504734,0.023418174600815068,0.03651199081245817,99603.89985497338,315.5898647192096,279.4552460972898,0.2963140200998691,0.9163798052587567
11,0.007595789202998066,0.08158057532944903,0.067442734698599,0.19310012968826654,1215149.817206965,1031.8468063801322,853.0286753449564,0.9021160487017862,0.37291195995646326
Mean,0.0030753529135562137,0.04662427445902273,0.03765573855468679,0.3353389463599105,240593.8729475291,402.9782456221458,331.14147337819173,0.384295001437231,0.9037558758363726
