,BTC,Lag
XRP,1.9162520116118515e-09,12
ETH,1.499397827708242e-06,10
XEM,6.451457871827573e-06,5
QTUM,2.482534746957551e-05,15
KMD,4.289192473736258e-05,7
USDT,7.558028503055297e-05,18
MAID,7.624176812719715e-05,22
SC,0.0001260870340354,30
DOGE,0.0001339922759126,30
ARK,0.0001443532182757,6
XWC,0.0002800905656798,30
RLC,0.000700612911009,10
DGB,0.0009531192788342,29
ZEN,0.0016629527051688,27
ANT,0.0017845442231525,10
MONA,0.0019996602909739,27
ETC,0.0022306368360765,26
LSK,0.0027622035411675,10
SYS,0.0036621548175295,6
GNO,0.0170114375471542,5
FIRO,0.0337908435395592,23
CON,0.0581420435905886,25
VERI,0.0831395534572238,3
DCR,0.0858557659713061,1
STEEM,0.1159977189958908,1
BTS,0.392993868833161,13
