,BTC
ETH,0.00013006519646326345
XEM,0.0005089296741143904
XRP,0.0005878487239268901
SC,0.0008955683323810332
KMD,0.004288137484499927
MAID,0.00529661862778075
QTUM,0.0060745208688849596
ARK,0.006315273520190131
ETC,0.021778865580475655
RLC,0.024004763543080707
ZEN,0.03435536842858278
SYS,0.03764364053510068
USDT,0.047945296443061454
ANT,0.05385979867990236
LSK,0.05633608112008296
DGB,0.06865651305953756
XWC,0.06917541697322506
MONA,0.07733673779013686
GNO,0.10820582076851845
DOGE,0.22801436854615126
FIRO,0.2387269974210371
DCR,0.3982839623080592
VERI,0.44395663110794437
CON,0.4871033256574613
STEEM,0.5510363538137912
BTS,0.6637044282687479
