TIMESTAMP,GPUINU_OPEN_PRICE_USD,GPUINU_HIGH_PRICE_USD,GPUINU_LOW_PRICE_USD,GPUINU_CLOSE_PRICE_USD,GPUINU_VOLUME_USD,GPUINU_DIVIDENDS_USD,GPUINU_STOCK_SPLITS_USD
2024-03-14 00:00:00+00:00,0.0002680000034160912,0.0002739999908953905,0.00015900000289548188,0.00018600000475998968,670559,0.0,0.0
2024-03-15 00:00:00+00:00,0.00018699999782256782,0.0002410000015515834,0.00015300000086426735,0.00021600000036414713,464971,0.0,0.0
2024-03-16 00:00:00+00:00,0.00021600000036414713,0.0002469999890308827,0.00015199999324977398,0.00016399999731220305,343808,0.0,0.0
2024-03-17 00:00:00+00:00,0.00016399999731220305,0.00023799999326001853,0.0001289999927394092,0.00020599999697878957,302796,0.0,0.0
2024-03-18 00:00:00+00:00,0.00018000000272877514,0.00027099999715574086,0.0001539999939268455,0.00018600000475998968,393704,0.0,0.0
2024-03-19 00:00:00+00:00,0.00021300000662449747,0.00021600000036414713,0.00014800000644754618,0.00017600000137463212,248040,0.0,0.0
2024-03-20 00:00:00+00:00,0.00017600000137463212,0.00020300000323913991,0.0001340000017080456,0.00014000000373926014,279681,0.0,0.0
2024-03-21 00:00:00+00:00,0.00014000000373926014,0.00015199999324977398,4.400000034365803e-05,8.70000003487803e-05,546618,0.0,0.0
2024-03-22 00:00:00+00:00,8.70000003487803e-05,9.000000136438757e-05,6.399999983841553e-05,7.400000322377309e-05,135144,0.0,0.0
2024-03-23 00:00:00+00:00,7.400000322377309e-05,0.00011300000187475234,5.500000042957254e-05,9.899999713525176e-05,126965,0.0,0.0
2024-03-24 00:00:00+00:00,9.899999713525176e-05,0.00012599999899975955,7.500000356230885e-05,0.00011300000187475234,251035,0.0,0.0
2024-03-25 00:00:00+00:00,0.00011300000187475234,0.00011300000187475234,7.599999662488699e-05,7.599999662488699e-05,106500,0.0,0.0
2024-03-26 00:00:00+00:00,7.599999662488699e-05,7.899999764049426e-05,6.70000008540228e-05,7.599999662488699e-05,52894,0.0,0.0
2024-03-27 00:00:00+00:00,7.599999662488699e-05,7.79999973019585e-05,6.399999983841553e-05,7.000000186963007e-05,42073,0.0,0.0
2024-03-28 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,4.70000013592653e-05,6.399999983841553e-05,88883,0.0,0.0
2024-03-29 00:00:00+00:00,6.399999983841553e-05,8.199999865610152e-05,5.6000000768108293e-05,8.099999831756577e-05,125600,0.0,0.0
2024-03-30 00:00:00+00:00,8.099999831756577e-05,9.699999645818025e-05,5.6000000768108293e-05,5.8000001445179805e-05,110715,0.0,0.0
2024-03-31 00:00:00+00:00,5.8000001445179805e-05,6.800000119255856e-05,5.500000042957254e-05,5.999999848427251e-05,43659,0.0,0.0
2024-04-01 00:00:00+00:00,5.999999848427251e-05,7.999999797903001e-05,4.999999873689376e-05,4.999999873689376e-05,80821,0.0,0.0
2024-04-02 00:00:00+00:00,4.999999873689376e-05,5.2999999752501026e-05,4.400000034365803e-05,4.400000034365803e-05,46551,0.0,0.0
2024-04-03 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,3.7999998312443495e-05,3.7999998312443495e-05,32649,0.0,0.0
2024-04-04 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,2.9999999242136255e-05,3.099999958067201e-05,27621,0.0,0.0
2024-04-05 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,1.700000029813964e-05,2.5999999706982635e-05,53246,0.0,0.0
2024-04-06 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.300000051036477e-05,2.700000004551839e-05,22512,0.0,0.0
2024-04-07 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.4000000848900527e-05,2.4000000848900527e-05,21284,0.0,0.0
2024-04-08 00:00:00+00:00,2.4000000848900527e-05,2.9000000722589903e-05,2.4000000848900527e-05,2.8000000384054147e-05,11121,0.0,0.0
2024-04-09 00:00:00+00:00,2.8000000384054147e-05,4.3000000005122274e-05,2.499999936844688e-05,3.7999998312443495e-05,34293,0.0,0.0
2024-04-10 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.400000059627928e-05,3.5000000934815034e-05,27967,0.0,0.0
2024-04-11 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.8000000384054147e-05,3.300000025774352e-05,37003,0.0,0.0
2024-04-12 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,2.499999936844688e-05,2.9999999242136255e-05,13345,0.0,0.0
2024-04-13 00:00:00+00:00,2.9999999242136255e-05,3.300000025774352e-05,2.4000000848900527e-05,2.700000004551839e-05,7070,0.0,0.0
2024-04-14 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.8000000384054147e-05,9744,0.0,0.0
2024-04-15 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.300000051036477e-05,2.300000051036477e-05,11791,0.0,0.0
2024-04-16 00:00:00+00:00,2.300000051036477e-05,2.5999999706982635e-05,2.099999983329326e-05,2.300000051036477e-05,19008,0.0,0.0
2024-04-17 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,8376,0.0,0.0
2024-04-18 00:00:00+00:00,2.2000000171829015e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.5999999706982635e-05,18091,0.0,0.0
2024-04-19 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.300000051036477e-05,2.8000000384054147e-05,13398,0.0,0.0
2024-04-20 00:00:00+00:00,2.8000000384054147e-05,3.199999991920777e-05,2.8000000384054147e-05,2.9000000722589903e-05,14086,0.0,0.0
2024-04-21 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.499999936844688e-05,2.5999999706982635e-05,8614,0.0,0.0
2024-04-22 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.499999936844688e-05,2.5999999706982635e-05,11160,0.0,0.0
2024-04-23 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,8805,0.0,0.0
2024-04-24 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,13447,0.0,0.0
2024-04-25 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,5024,0.0,0.0
