TIMESTAMP,NABOX_OPEN_PRICE_USD,NABOX_HIGH_PRICE_USD,NABOX_LOW_PRICE_USD,NABOX_CLOSE_PRICE_USD,NABOX_VOLUME_USD,NABOX_DIVIDENDS_USD,NABOX_STOCK_SPLITS_USD
2021-06-18 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,2.9999999242136255e-05,3.400000059627928e-05,1013946,0.0,0.0
2021-06-19 00:00:00+00:00,3.400000059627928e-05,4.099999932805076e-05,2.9999999242136255e-05,4.099999932805076e-05,1110848,0.0,0.0
2021-06-20 00:00:00+00:00,4.099999932805076e-05,4.600000102072954e-05,3.7000001611886546e-05,3.9999998989515007e-05,957227,0.0,0.0
2021-06-21 00:00:00+00:00,3.9999998989515007e-05,5.6000000768108293e-05,3.899999865097925e-05,3.9999998989515007e-05,1503429,0.0,0.0
2021-06-22 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.5000000934815034e-05,3.7000001611886546e-05,965999,0.0,0.0
2021-06-23 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.5000000934815034e-05,3.600000127335079e-05,356566,0.0,0.0
2021-06-24 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.300000025774352e-05,3.400000059627928e-05,250873,0.0,0.0
2021-06-25 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,2.4000000848900527e-05,2.4000000848900527e-05,440346,0.0,0.0
2021-06-26 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.4000000848900527e-05,2.499999936844688e-05,259980,0.0,0.0
2021-06-27 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,93159,0.0,0.0
2021-06-28 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,40751,0.0,0.0
2021-06-29 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.4000000848900527e-05,153936,0.0,0.0
2021-06-30 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,120823,0.0,0.0
2021-07-01 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,30799,0.0,0.0
2021-07-02 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,44548,0.0,0.0
2021-07-03 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,34569,0.0,0.0
2021-07-04 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,32731,0.0,0.0
2021-07-05 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,431331,0.0,0.0
2021-07-06 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.9999999494757503e-05,2.099999983329326e-05,452537,0.0,0.0
2021-07-07 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,447137,0.0,0.0
2021-07-08 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,430834,0.0,0.0
2021-07-09 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,371331,0.0,0.0
2021-07-10 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8999999156221747e-05,266034,0.0,0.0
2021-07-11 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,432114,0.0,0.0
2021-07-12 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8999999156221747e-05,2.099999983329326e-05,358614,0.0,0.0
2021-07-13 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8000000636675395e-05,356682,0.0,0.0
2021-07-14 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.700000029813964e-05,431697,0.0,0.0
2021-07-15 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.4999999621068127e-05,220237,0.0,0.0
