TIMESTAMP,CDEX_OPEN_PRICE_USD,CDEX_HIGH_PRICE_USD,CDEX_LOW_PRICE_USD,CDEX_CLOSE_PRICE_USD,CDEX_VOLUME_USD,CDEX_DIVIDENDS_USD,CDEX_STOCK_SPLITS_USD
2020-12-28 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.7000001611886546e-05,4.099999932805076e-05,9881,0.0,0.0
2020-12-29 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.400000059627928e-05,3.7999998312443495e-05,9864,0.0,0.0
2020-12-30 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,3.600000127335079e-05,3.9999998989515007e-05,10492,0.0,0.0
2020-12-31 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.7000001611886546e-05,4.099999932805076e-05,16,0.0,0.0
2021-01-01 00:00:00+00:00,4.099999932805076e-05,4.400000034365803e-05,3.7000001611886546e-05,4.400000034365803e-05,20,0.0,0.0
2021-01-02 00:00:00+00:00,4.400000034365803e-05,4.999999873689376e-05,4.099999932805076e-05,4.5000000682193786e-05,20,0.0,0.0
2021-01-03 00:00:00+00:00,4.5000000682193786e-05,5.199999941396527e-05,4.5000000682193786e-05,4.600000102072954e-05,18,0.0,0.0
2021-01-04 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,4.199999966658652e-05,4.8000001697801054e-05,16,0.0,0.0
2021-01-05 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,3.099999958067201e-05,3.400000059627928e-05,670,0.0,0.0
2021-01-06 00:00:00+00:00,3.300000025774352e-05,5.700000110664405e-05,3.199999991920777e-05,5.6000000768108293e-05,68,0.0,0.0
2021-01-07 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,4.400000034365803e-05,5.0999999075429514e-05,134,0.0,0.0
2021-01-08 00:00:00+00:00,5.0999999075429514e-05,5.500000042957254e-05,4.600000102072954e-05,5.2999999752501026e-05,24,0.0,0.0
2021-01-09 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.400000034365803e-05,4.8000001697801054e-05,23,0.0,0.0
2021-01-10 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,2.9999999242136255e-05,3.199999991920777e-05,33,0.0,0.0
2021-01-11 00:00:00+00:00,3.199999991920777e-05,4.3000000005122274e-05,2.499999936844688e-05,4.3000000005122274e-05,17,0.0,0.0
2021-01-12 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,3.600000127335079e-05,4.099999932805076e-05,15,0.0,0.0
2021-01-13 00:00:00+00:00,4.099999932805076e-05,4.5000000682193786e-05,3.600000127335079e-05,4.5000000682193786e-05,16,0.0,0.0
2021-01-14 00:00:00+00:00,4.5000000682193786e-05,4.8000001697801054e-05,4.099999932805076e-05,4.3000000005122274e-05,55,0.0,0.0
2021-01-15 00:00:00+00:00,4.3000000005122274e-05,4.70000013592653e-05,3.899999865097925e-05,4.400000034365803e-05,38,0.0,0.0
2021-01-16 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,1.2000000424450263e-05,2.4000000848900527e-05,144,0.0,0.0
2021-01-17 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.1000000085914508e-05,1.4000000192027073e-05,5,0.0,0.0
2021-01-18 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,9.999999747378752e-06,1.1000000085914508e-05,5,0.0,0.0
