TIMESTAMP,HOPPY_OPEN_PRICE_USD,HOPPY_HIGH_PRICE_USD,HOPPY_LOW_PRICE_USD,HOPPY_CLOSE_PRICE_USD,HOPPY_VOLUME_USD,HOPPY_DIVIDENDS_USD,HOPPY_STOCK_SPLITS_USD
2023-07-18 00:00:00+00:00,,,,0.0,6657784,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,4754429,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,2382516,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,5280785,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,2909026,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,1850503,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,1306197,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,1023643,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,2180272,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,2480567,0.0,0.0
2023-07-28 00:00:00+00:00,,,,0.0,1695471,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,1141387,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,838227,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,939297,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,1054101,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,885009,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,763774,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,633167,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,747119,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,731494,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,459613,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,703936,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,693608,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,867099,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,578479,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,566758,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,608489,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,654609,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,550693,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,561447,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,512125,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,394737,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,655914,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,91240,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,102638,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,100967,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,82078,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,94224,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,78439,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,78479,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,76006,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,561294,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,93739,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,66763,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,60847,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,62621,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,97073,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,82106,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,105380,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,93718,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,78460,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,81589,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,68840,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,68233,0.0,0.0
2023-09-10 00:00:00+00:00,,,,0.0,62563,0.0,0.0
2023-09-11 00:00:00+00:00,,,,0.0,56636,0.0,0.0
2023-09-12 00:00:00+00:00,,,,0.0,62965,0.0,0.0
2023-09-13 00:00:00+00:00,,,,0.0,65814,0.0,0.0
2023-09-14 00:00:00+00:00,,,,0.0,62111,0.0,0.0
2023-09-15 00:00:00+00:00,,,,0.0,57958,0.0,0.0
2023-09-16 00:00:00+00:00,,,,0.0,55424,0.0,0.0
2023-09-17 00:00:00+00:00,,,,0.0,68977,0.0,0.0
2023-09-21 00:00:00+00:00,,,,0.0,39953,0.0,0.0
2023-09-22 00:00:00+00:00,,,,0.0,42303,0.0,0.0
2023-09-23 00:00:00+00:00,,,,0.0,36900,0.0,0.0
2023-09-24 00:00:00+00:00,,,,0.0,31490,0.0,0.0
2023-09-25 00:00:00+00:00,,,,0.0,30532,0.0,0.0
2023-09-26 00:00:00+00:00,,,,0.0,28897,0.0,0.0
2023-09-27 00:00:00+00:00,,,,0.0,32421,0.0,0.0
2023-09-28 00:00:00+00:00,,,,0.0,35335,0.0,0.0
2023-09-29 00:00:00+00:00,,,,0.0,33338,0.0,0.0
2023-09-30 00:00:00+00:00,,,,0.0,42900,0.0,0.0
