TIMESTAMP,HARRIS32445_OPEN_PRICE_USD,HARRIS32445_HIGH_PRICE_USD,HARRIS32445_LOW_PRICE_USD,HARRIS32445_CLOSE_PRICE_USD,HARRIS32445_VOLUME_USD,HARRIS32445_DIVIDENDS_USD,HARRIS32445_STOCK_SPLITS_USD
2024-07-27 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.2999999853491317e-05,13623819,0.0,0.0
2024-07-28 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,6646340,0.0,0.0
2024-07-29 00:00:00+00:00,1.2000000424450263e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.700000029813964e-05,13116299,0.0,0.0
2024-07-30 00:00:00+00:00,1.700000029813964e-05,2.4000000848900527e-05,1.5999999959603883e-05,1.8000000636675395e-05,9812694,0.0,0.0
2024-07-31 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.4000000192027073e-05,11022493,0.0,0.0
2024-08-01 00:00:00+00:00,1.4000000192027073e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.8999999156221747e-05,15599808,0.0,0.0
2024-08-02 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.700000029813964e-05,14172077,0.0,0.0
2024-08-03 00:00:00+00:00,1.700000029813964e-05,3.5000000934815034e-05,1.700000029813964e-05,3.5000000934815034e-05,16962352,0.0,0.0
2024-08-04 00:00:00+00:00,3.5000000934815034e-05,4.400000034365803e-05,2.2000000171829015e-05,2.5999999706982635e-05,13088159,0.0,0.0
2024-08-05 00:00:00+00:00,1.9999999494757503e-05,2.8000000384054147e-05,1.4999999621068127e-05,2.499999936844688e-05,39803793,0.0,0.0
2024-08-06 00:00:00+00:00,2.499999936844688e-05,3.5000000934815034e-05,2.2000000171829015e-05,2.5999999706982635e-05,19092655,0.0,0.0
2024-08-07 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,1.9999999494757503e-05,2.4000000848900527e-05,14416569,0.0,0.0
2024-08-08 00:00:00+00:00,2.4000000848900527e-05,2.9000000722589903e-05,2.2000000171829015e-05,2.8000000384054147e-05,16190047,0.0,0.0
2024-08-09 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.099999983329326e-05,2.099999983329326e-05,9633945,0.0,0.0
2024-08-10 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8999999156221747e-05,6304697,0.0,0.0
2024-08-11 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8000000636675395e-05,6279349,0.0,0.0
2024-08-12 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.4000000192027073e-05,10277397,0.0,0.0
2024-08-13 00:00:00+00:00,1.4000000192027073e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.8000000636675395e-05,11050397,0.0,0.0
2024-08-14 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.5999999959603883e-05,9141024,0.0,0.0
2024-08-15 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4000000192027073e-05,10581226,0.0,0.0
2024-08-16 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.5999999959603883e-05,9323921,0.0,0.0
2024-08-17 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.2999999853491317e-05,1.5999999959603883e-05,5499243,0.0,0.0
2024-08-18 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4000000192027073e-05,1.5999999959603883e-05,5799205,0.0,0.0
2024-08-19 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,7492853,0.0,0.0
2024-08-20 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,9.000000318337698e-06,9.000000318337698e-06,9675500,0.0,0.0
2024-08-21 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,11760869,0.0,0.0
2024-08-22 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,10282717,0.0,0.0
2024-08-23 00:00:00+00:00,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,13413288,0.0,0.0
2024-08-24 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,8510933,0.0,0.0
2024-08-25 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,6893774,0.0,0.0
2024-08-26 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,10515296,0.0,0.0
2024-08-27 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,13238348,0.0,0.0
2024-08-28 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,14856534,0.0,0.0
2024-08-29 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,11487954,0.0,0.0
2024-08-30 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,4.999999873689376e-06,6.000000212225132e-06,12194683,0.0,0.0
2024-08-31 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,8145449,0.0,0.0
2024-09-01 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,8251708,0.0,0.0
