TIMESTAMP,EAGLE_OPEN_PRICE_USD,EAGLE_HIGH_PRICE_USD,EAGLE_LOW_PRICE_USD,EAGLE_CLOSE_PRICE_USD,EAGLE_VOLUME_USD,EAGLE_DIVIDENDS_USD,EAGLE_STOCK_SPLITS_USD
2022-01-25 00:00:00+00:00,,,,0.0,10357693,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,595668,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,44290,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,3874,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,4556,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,3631,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,4139,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,3829,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,3955,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,4055,0.0,0.0
2022-02-04 00:00:00+00:00,,,,0.0,4254,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,8084,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,13664,0.0,0.0
2022-02-07 00:00:00+00:00,,,,0.0,12952,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,8473,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,17045,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,18685,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,17713,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,16540,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,17685,0.0,0.0
2025-06-01 00:00:00+00:00,8.99333407744507e-09,8.99333407744507e-09,8.99333407744507e-09,8.99333407744507e-09,16719,0.0,0.0
