TIMESTAMP,GASS_OPEN_PRICE_USD,GASS_HIGH_PRICE_USD,GASS_LOW_PRICE_USD,GASS_CLOSE_PRICE_USD,GASS_VOLUME_USD,GASS_DIVIDENDS_USD,GASS_STOCK_SPLITS_USD
2025-05-15 00:00:00+00:00,,,,0.0,1355860,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,845506,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,565253,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,1250671,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,2141509,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,3052511,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,6838342,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,6244478,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,9355161,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,4364808,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,4024765,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,3492580,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,3170523,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,3011692,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,4179203,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,8453677,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,3898026,0.0,0.0
2025-06-01 00:00:00+00:00,9.963907032783936e-09,2.2766780460869995e-08,9.963907032783936e-09,2.228254025737897e-08,6564652,0.0,0.0
