,K,Alpha,Tau,MSE
0,7,250,0.3,0.0011971362220234384
1,9,500,0.3,0.001197157942728205
2,7,250,0.25,0.0011971748124282422
3,7,250,0.2,0.0011972446809022021
4,7,250,0.15,0.0011973945024669572
5,10,500,0.3,0.0011975641073669683
6,10,750,0.3,0.001197746577869275
7,10,500,0.25,0.0011977823330001592
8,8,250,0.3,0.001197815882104718
9,7,250,0.1,0.001197891893204169
10,8,250,0.25,0.0011980976783115501
11,10,500,0.2,0.001198178825855624
12,10,250,0.3,0.0011982442317475914
13,13,1000,0.3,0.001198540375438399
14,8,250,0.2,0.0011985926466711511
15,15,1000,0.3,0.0011986116865433105
16,10,250,0.25,0.0011986694832771562
17,14,1000,0.3,0.0011987158739872109
18,10,500,0.15,0.0011991178597586607
19,13,1000,0.25,0.0011991947754574756
20,10,250,0.2,0.0011994049471826906
21,8,250,0.15,0.0011996147239587219
22,12,1000,0.3,0.0012003810649946042
23,10,250,0.15,0.001200895493215641
24,15,750,0.3,0.0012016895312453614
25,14,750,0.3,0.0012021029574242404
26,8,250,0.1,0.0012023295379498858
27,12,1000,0.25,0.001202613816174463
28,15,750,0.25,0.0012027525521385888
29,14,750,0.25,0.00120402735669758
30,15,1000,0.25,0.0012046619128561011
31,12,250,0.3,0.0012048207576319592
32,10,250,0.1,0.001204941299338926
33,11,250,0.3,0.0012055667818778172
34,15,750,0.2,0.0012057362977879011
35,9,250,0.3,0.001206202996258315
36,14,750,0.2,0.0012074205919819832
37,11,500,0.3,0.001208019098750103
38,12,250,0.25,0.001208194576644427
39,11,250,0.25,0.0012084435932153922
40,9,250,0.25,0.001209320935429621
41,13,1000,0.2,0.0012096118130608506
42,15,750,0.15,0.0012120712573536745
43,11,250,0.2,0.0012133202029274291
44,11,500,0.25,0.0012134701630928078
45,9,250,0.2,0.001214211996309291
46,12,250,0.2,0.0012144754884585232
47,14,1000,0.25,0.0012156183694364852
48,14,750,0.15,0.0012157327573276305
49,9,250,0.15,0.001221552025060611
50,11,250,0.15,0.0012230822034595627
51,11,500,0.2,0.0012246068874229982
52,9,250,0.1,0.0012253720685581626
53,12,250,0.15,0.0012284532508487055
54,13,250,0.3,0.0012308674158553218
55,10,250,0.05,0.0012351845191861807
56,11,250,0.1,0.0012506399020959867
57,10,500,0.1,0.0012530399305557434
58,13,250,0.25,0.0012532128905617438
59,8,250,0.05,0.001254268369485366
60,12,500,0.2,0.0012551268598980148
61,11,500,0.15,0.0012551515237391165
62,12,750,0.2,0.0012594403109796447
63,12,750,0.3,0.0012638680549734642
64,13,500,0.3,0.001266402610898827
65,12,750,0.25,0.0012664864306646424
66,12,1000,0.2,0.0012679025707151175
67,12,250,0.1,0.0012721828190556804
68,14,500,0.3,0.0012758528541132383
69,12,750,0.15,0.001280350610521691
70,15,250,0.3,0.0012835054908675865
71,13,750,0.3,0.0012870694479681932
72,6,250,0.3,0.0012924473494369275
73,12,500,0.15,0.0012959718979242648
74,13,500,0.25,0.0013000487994117426
75,13,750,0.25,0.0013000631634483065
76,13,250,0.2,0.0013074819310160577
77,15,250,0.25,0.0013100274647236709
78,13,750,0.2,0.0013122658776886502
79,14,500,0.25,0.0013132952713218941
80,15,750,0.1,0.0013144037973338773
81,15,500,0.3,0.001334250648532259
82,15,250,0.2,0.0013570942116563729
83,13,500,0.2,0.0013631123569739722
84,14,500,0.2,0.001382995032718921
85,13,750,0.15,0.0013842258355686824
86,15,500,0.25,0.0013979834682321928
87,14,750,0.1,0.0014103529491564853
88,15,1000,0.15,0.0014199598931375409
89,12,500,0.25,0.001446016206022667
90,14,250,0.3,0.0014469192242531632
91,8,500,0.3,0.0014480376690709114
92,15,250,0.15,0.0014591214950018096
93,11,500,0.1,0.0014678227298479123
94,12,500,0.1,0.0014949577896486968
95,13,250,0.15,0.0014970480518248707
96,14,250,0.25,0.0014986274698420535
97,13,500,0.15,0.0014994495138744579
98,15,500,0.2,0.00151169030108616
99,11,250,0.05,0.0015324110456303218
100,14,500,0.15,0.0015328951209062193
101,14,250,0.2,0.001568842123737624
102,12,250,0.05,0.0016308006264710558
103,12,750,0.1,0.0016646315453158974
104,14,250,0.15,0.0016764088240008238
105,15,500,0.15,0.0017447287373708908
106,15,250,0.1,0.0017565770150910864
107,13,500,0.1,0.0018683025436670763
108,9,250,0.05,0.0019175176524740263
109,11,500,0.05,0.0019721330596394297
110,14,250,0.1,0.0019957706401512224
111,14,500,0.1,0.002255854193315409
112,15,500,0.1,0.002343097458250904
113,9,500,0.25,0.002493958821295601
114,12,500,0.05,0.002558649889144533
115,13,250,0.1,0.002616244906580996
116,7,250,0.05,0.002781536850159571
117,11,750,0.3,0.002800401002991267
118,15,250,0.05,0.003161684273103723
119,11,750,0.25,0.0032780211697929647
120,13,500,0.05,0.003387850444400298
121,15,1000,0.05,0.0036892343932252774
122,14,750,0.05,0.0036986484128453275
123,14,250,0.05,0.0038131626240432504
124,15,1000,0.2,0.0038450156634957508
125,14,1250,0.25,0.003997783342065152
126,14,500,0.05,0.004538815549311666
127,13,1250,0.3,0.0045973306384920086
128,15,500,0.05,0.004738152485254565
129,15,1000,0.1,0.0047770867932719965
130,14,1000,0.15,0.005196671460369961
131,14,1000,0.2,0.005477722259375028
132,10,750,0.25,0.0055843740339689245
133,15,1250,0.25,0.005629964980324427
134,12,500,0.3,0.0064844827191960835
135,13,750,0.1,0.006847554884768856
136,13,250,0.05,0.007271337948008161
137,14,1250,0.3,0.007748613803740326
138,11,750,0.2,0.007990894634032611
139,15,750,0.05,0.008246083890456949
140,9,500,0.15,0.008431841979360932
141,12,1250,0.3,0.00848480903336224
142,15,1250,0.2,0.008561803384341773
143,13,1000,0.05,0.008584955106025922
144,15,1250,0.3,0.008971702181042401
145,15,1250,0.15,0.011033082781886626
146,12,1000,0.15,0.011459256177661706
147,11,750,0.15,0.01182532887669153
148,13,1000,0.15,0.01192988560142429
149,15,1500,0.25,0.01283995189324713
150,14,1250,0.2,0.014514082814980673
151,10,500,0.05,0.01994819954515443
152,14,1250,0.05,0.021715579024413248
153,14,1500,0.25,0.02278077456695345
154,13,1250,0.15,0.023063120702933277
155,15,1500,0.3,0.02455197393181592
156,13,1250,0.25,0.02493480256761394
157,14,1500,0.3,0.0250315792298073
158,12,1250,0.25,0.025132970335241034
159,15,1500,0.2,0.029388425863445564
160,14,1500,0.2,0.029394822733181582
161,15,250,0.0,0.03145331870511958
162,14,1000,0.1,0.03441573383059433
163,14,250,0.0,0.03495831911656861
164,14,1500,0.15,0.03581746761710808
165,14,1250,0.15,0.036356287329862916
166,13,1250,0.2,0.036613176260064606
167,9,500,0.2,0.03879161448003139
168,15,1750,0.25,0.04295266614156903
169,13,1500,0.3,0.0455383804207076
170,12,1250,0.1,0.04771334386559228
171,12,750,0.05,0.047874989557691705
172,15,1750,0.3,0.051082416136481505
173,11,750,0.05,0.05396436749756395
174,13,250,0.0,0.05614408010202436
175,13,1750,0.25,0.05630669814129631
176,15,1750,0.15,0.059076535343952165
177,14,1750,0.25,0.05928811505152192
178,15,1500,0.15,0.06074283743492537
179,11,1000,0.3,0.061062068746542145
180,8,500,0.25,0.06318746345767173
181,14,1000,0.05,0.06467838939534859
182,12,250,0.0,0.06618499805866564
183,12,1750,0.25,0.06701487487600444
184,10,750,0.1,0.06830429677958058
185,12,1250,0.15,0.07113313596636575
186,14,2750,0.3,0.07466262208868309
187,13,1500,0.05,0.07626497876990905
188,15,1750,0.2,0.07924415755717035
189,10,750,0.2,0.08124889632444968
190,15,2500,0.3,0.08154469013713063
191,9,1000,0.15,0.0821445350250071
192,7,500,0.2,0.08625730346004203
193,15,1250,0.1,0.09134191690621166
194,10,1000,0.3,0.09217647212283932
195,14,1250,0.1,0.10184626526468529
196,10,750,0.05,0.10250950525060186
197,14,2000,0.3,0.10369223602023157
198,14,2250,0.3,0.10466326103555156
199,11,250,0.0,0.10512484599670173
200,10,1000,0.2,0.10612139267475491
201,11,1500,0.3,0.10709855287122196
202,15,500,0.0,0.10832605485233782
203,14,1750,0.3,0.11096238667550662
204,7,500,0.25,0.11313398824962155
205,11,750,0.1,0.11654115847333694
206,9,750,0.15,0.11711608771340237
207,14,1750,0.2,0.12090084930017043
208,15,2000,0.3,0.12468457175667265
209,6,250,0.25,0.12638560822206849
210,15,2000,0.25,0.1272525414199524
