,K,Alpha,Tau,MSE
0,7,250,0.3,0.0011971500079464472
1,7,250,0.25,0.001197194884676046
2,9,500,0.3,0.001197263212263191
3,7,250,0.2,0.0011972768659433853
4,7,250,0.15,0.001197455011777741
5,10,500,0.3,0.0011976503937348947
6,8,250,0.3,0.0011978978964597392
7,10,500,0.25,0.0011979023699673736
8,7,250,0.1,0.0011979749838662787
9,8,250,0.25,0.0011982083945180997
10,10,500,0.2,0.001198360971481369
11,10,250,0.3,0.0011986185994269489
12,8,250,0.2,0.0011987544817106744
13,10,750,0.3,0.0011987739590501535
14,10,250,0.25,0.0011991747615184613
15,10,500,0.15,0.0011992280120223038
16,6,250,0.3,0.0011992766908220161
17,8,250,0.15,0.0011998891878483538
18,10,250,0.2,0.0012001423977776467
19,15,1250,0.3,0.0012016762472717554
20,10,250,0.15,0.0012021313696208662
21,8,250,0.1,0.0012024460222897694
22,15,1000,0.3,0.001202465087415021
23,12,1000,0.3,0.0012043411160957067
24,13,1000,0.3,0.001204519139460303
25,12,250,0.3,0.001205819123691702
26,11,250,0.3,0.0012075732702282198
27,10,250,0.1,0.001207751840494628
28,11,500,0.3,0.0012080069222454813
29,9,250,0.3,0.0012084445139189332
30,12,250,0.25,0.00120961811692782
31,15,1000,0.25,0.001210476071042391
32,11,250,0.25,0.0012111032279266993
33,8,250,0.05,0.0012112518635633842
34,13,1000,0.25,0.0012122191414647959
35,12,1000,0.25,0.0012122843539372813
36,9,250,0.25,0.0012126176772751273
37,11,500,0.25,0.0012129693372445079
38,12,250,0.2,0.0012166653777230026
39,11,250,0.2,0.0012171010526718252
40,13,500,0.3,0.0012179526880702657
41,13,250,0.3,0.001219066250227442
42,9,250,0.2,0.001219580108243545
43,11,500,0.2,0.001222655523538634
44,9,500,0.25,0.0012243849995265206
45,13,500,0.25,0.0012288551457699905
46,11,250,0.15,0.001229218903517989
47,13,250,0.25,0.0012308895528754858
48,9,250,0.15,0.001231980872729843
49,12,250,0.15,0.0012323251073499337
50,15,1000,0.2,0.0012365413242518162
51,14,500,0.3,0.001236626484865062
52,11,500,0.15,0.0012467853142234394
53,15,500,0.3,0.0012478384617191816
54,9,250,0.1,0.0012488206230843795
55,13,500,0.2,0.0012505683690118136
56,14,500,0.25,0.0012556464145245419
57,13,250,0.2,0.0012560767671093917
58,10,500,0.1,0.0012569610287772332
59,10,250,0.05,0.0012593501494012357
60,11,250,0.1,0.0012648712815687146
61,15,500,0.25,0.0012720416319112117
62,12,250,0.1,0.0012815846876038334
63,14,500,0.2,0.0012911808238954625
64,13,500,0.15,0.0013013529720028068
65,14,1000,0.25,0.0013014150893985788
66,12,500,0.15,0.001313174054817324
67,15,500,0.2,0.0013169970366086721
68,13,250,0.15,0.0013267129503141922
69,12,500,0.1,0.0013617337651487882
70,11,500,0.1,0.0013657639559818617
71,14,500,0.15,0.0013672689131024212
72,12,500,0.2,0.0013766447758809634
73,15,250,0.3,0.0014069411079631533
74,12,1000,0.2,0.0014085404182301432
75,15,500,0.15,0.0014122603635466613
76,12,500,0.3,0.0014197323141650804
77,13,500,0.1,0.0014451491741938785
78,15,250,0.25,0.0014669590822623945
79,15,250,0.2,0.0015639011742031531
80,14,500,0.1,0.0015686178942520637
81,15,500,0.1,0.0016597157180576593
82,14,1000,0.3,0.0016714023795783696
83,13,250,0.1,0.001678540641458254
84,8,500,0.3,0.001678571401748595
85,11,250,0.05,0.001684408584271979
86,12,250,0.05,0.0016992161960156034
87,14,1250,0.3,0.001700360864857135
88,15,250,0.15,0.001747213825636941
89,14,750,0.3,0.0019465892760778304
90,14,250,0.3,0.001959292138321516
91,13,500,0.05,0.002048306556443422
92,15,1250,0.2,0.0020903306161244055
93,15,1000,0.15,0.002160240049354962
94,15,250,0.1,0.00220944399387256
95,14,250,0.25,0.0022168849893582946
96,13,750,0.3,0.0022655258593234115
97,14,750,0.25,0.0022980019626558314
98,14,500,0.05,0.0023610475197742105
99,12,500,0.05,0.0024005893026949276
100,11,750,0.25,0.0024758982514918207
101,14,250,0.2,0.0025936153041970795
102,15,500,0.05,0.002616782731004842
103,14,1000,0.2,0.0026230038590918706
104,13,750,0.25,0.0026469585333835635
105,7,250,0.05,0.0027608700725585632
106,13,1250,0.25,0.0030548228852769616
107,10,750,0.25,0.0031118829018014073
108,14,750,0.2,0.0031646910229350725
109,14,250,0.15,0.0031648205567030327
110,12,750,0.3,0.0032230502407381545
111,9,250,0.05,0.0032998875944119897
112,13,750,0.2,0.0033152070351949946
113,12,1000,0.15,0.003540053736652774
114,12,750,0.25,0.003647940878651054
115,12,1250,0.3,0.0041611339085617545
116,14,250,0.1,0.004176733102330543
117,15,250,0.05,0.004302406120809671
118,13,1000,0.2,0.004611524950889525
119,12,750,0.2,0.004641516009959993
120,13,250,0.05,0.004927265976635058
121,13,750,0.15,0.004930563443307074
122,11,1000,0.3,0.00532928947694861
123,10,500,0.05,0.005584588909314697
124,15,1250,0.25,0.005776610013233665
125,15,1500,0.2,0.00590378832651309
126,11,500,0.05,0.005925247677226882
127,14,1000,0.05,0.0060239258541079505
128,14,1250,0.2,0.006030879225100946
129,15,1000,0.1,0.006629122684769658
130,12,750,0.15,0.0070451076240469574
131,11,750,0.2,0.007059876703373836
132,14,250,0.05,0.0072518218569986555
133,14,1000,0.15,0.007585796371281634
134,14,750,0.15,0.007838397036749739
135,15,1250,0.05,0.007913308169689763
136,6,250,0.2,0.010780263208076072
137,15,1000,0.05,0.010807320854137107
138,13,750,0.1,0.011258613622342258
139,13,1000,0.15,0.01134389883255561
140,15,1250,0.1,0.01138176946730135
141,11,750,0.15,0.011492597117763572
142,15,750,0.3,0.01170082682824688
143,13,1000,0.1,0.01371741303554598
144,14,1250,0.25,0.01433900707948254
145,12,750,0.1,0.014971997853307347
146,14,1500,0.2,0.015519513489425627
147,11,750,0.3,0.015753275222906187
148,14,1250,0.1,0.016457062659753434
149,15,1250,0.15,0.01658272336567289
150,15,1750,0.3,0.017601551148209153
151,13,1250,0.3,0.018390092877911726
152,15,1500,0.3,0.020576096423489263
153,14,1250,0.15,0.02143157890145278
154,12,500,0.25,0.021876127858883453
155,13,1000,0.05,0.02484110455201393
156,15,750,0.25,0.02805901254331702
157,14,1500,0.3,0.028274788461752604
158,13,1500,0.3,0.02906509050502297
159,14,1000,0.1,0.03059995494305519
160,9,500,0.2,0.03090522334198688
161,15,750,0.1,0.03148868754147392
162,14,1750,0.25,0.032352863617234974
163,8,500,0.25,0.03292169811504888
164,11,750,0.1,0.033202702454975294
165,12,1250,0.25,0.03348561819069013
166,15,750,0.15,0.033814178583327345
167,15,250,0.0,0.03420420462828339
168,9,750,0.3,0.03490513361662036
169,15,2000,0.2,0.0362923072589212
170,15,750,0.2,0.03866761498729151
171,9,500,0.05,0.03955749693118068
172,15,750,0.05,0.04140797373879465
173,13,1250,0.2,0.04232932815122584
174,14,250,0.0,0.04327957819890781
175,13,750,0.05,0.043400083042410366
176,15,1750,0.2,0.04468446514265587
177,10,750,0.2,0.04493962036978142
178,12,750,0.05,0.04586596423409557
179,15,1500,0.25,0.046322119967991196
180,15,2000,0.25,0.047247635425563615
