TIMESTAMP,SNAKEMOON_OPEN_PRICE_USD,SNAKEMOON_HIGH_PRICE_USD,SNAKEMOON_LOW_PRICE_USD,SNAKEMOON_CLOSE_PRICE_USD,SNAKEMOON_VOLUME_USD,SNAKEMOON_DIVIDENDS_USD,SNAKEMOON_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,2616,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,3724,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,728,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,536,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,158,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,1156,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,922,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,304,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,52,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,95,0.0,0.0
2025-06-01 00:00:00+00:00,2.5050379548474666e-08,2.5050379548474666e-08,2.247940855681918e-08,2.247940855681918e-08,65,0.0,0.0
