TIMESTAMP,KLEE_OPEN_PRICE_USD,KLEE_HIGH_PRICE_USD,KLEE_LOW_PRICE_USD,KLEE_CLOSE_PRICE_USD,KLEE_VOLUME_USD,KLEE_DIVIDENDS_USD,KLEE_STOCK_SPLITS_USD
2021-06-03 00:00:00+00:00,,,,0.0,837882,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,280928,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,208847,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,267878,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,1304519,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,188683,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,135750,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,53055,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,76152,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,37455,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,32191,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,29535,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,59612,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,45235,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,23911,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,30541,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,35080,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,95237,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,16371,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,36336,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,27894,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,14666,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,12746,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,7294,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,12196,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,15983,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,30446,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,12030,0.0,0.0
