,K,Alpha,Tau,DC,Init,Tol,MSE
0,9,500,0.3,0,2,1e-07,0.0034620570814044333
1,9,500,0.3,0,0,1e-05,0.0034620574387970757
2,9,500,0.3,0,0,1e-07,0.0034620574387970757
3,9,500,0.3,0,0,1e-06,0.0034620574387970757
4,6,250,0.3,0,1,1e-05,0.0034620604815816434
5,6,250,0.3,0,1,1e-06,0.0034620604815816434
6,6,250,0.3,0,1,1e-07,0.0034620604815816434
7,9,500,0.3,0,2,1e-06,0.003462062031740775
8,9,500,0.3,0,2,1e-05,0.003462067009728556
9,7,250,0.3,0,2,1e-07,0.003462073296289016
10,10,750,0.3,0,2,1e-05,0.0034620793309638937
11,7,250,0.3,0,2,1e-05,0.003462079441678221
12,7,250,0.3,0,2,1e-06,0.0034620814722978416
13,7,250,0.3,0,0,1e-05,0.0034620828542033964
14,7,250,0.3,0,0,1e-06,0.0034620828542033964
15,7,250,0.3,0,0,1e-07,0.0034620828542033964
16,7,250,0.3,1,2,1e-07,0.0034620912667707874
17,7,250,0.3,1,2,1e-05,0.003462092150932258
18,7,250,0.3,1,2,1e-06,0.0034620930983897125
19,7,250,0.3,1,0,1e-06,0.0034620969566262184
20,7,250,0.3,1,0,1e-05,0.0034620969566262184
21,7,250,0.3,1,0,1e-07,0.0034620969566262184
22,7,250,0.3,0,1,1e-07,0.003462097903414246
23,7,250,0.3,0,1,1e-06,0.003462097903414246
24,7,250,0.3,0,1,1e-05,0.003462097903414246
25,10,750,0.3,0,0,1e-06,0.003462109208724943
26,10,750,0.3,0,0,1e-05,0.003462109208724943
27,10,750,0.3,0,0,1e-07,0.003462109208724943
28,9,500,0.3,0,1,1e-07,0.003462110893856391
29,9,500,0.3,0,1,1e-06,0.003462110893856391
30,9,500,0.3,0,1,1e-05,0.003462110893856391
31,7,250,0.25,0,2,1e-06,0.0034621126021400456
32,7,250,0.3,1,1,1e-06,0.003462112619998586
33,7,250,0.3,1,1,1e-07,0.003462112619998586
34,7,250,0.3,1,1,1e-05,0.003462112619998586
35,7,250,0.25,0,2,1e-07,0.003462119787081549
36,10,750,0.3,0,2,1e-07,0.003462123579395423
37,7,250,0.25,0,0,1e-07,0.0034621246566533103
38,7,250,0.25,0,0,1e-06,0.0034621246566533103
39,7,250,0.25,0,0,1e-05,0.0034621246566533103
40,7,250,0.25,0,2,1e-05,0.0034621260603462764
41,9,500,0.3,1,0,1e-05,0.0034621266234675595
42,9,500,0.3,1,0,1e-06,0.0034621266234675595
43,9,500,0.3,1,0,1e-07,0.0034621266234675595
44,9,500,0.3,1,2,1e-07,0.003462134372299829
45,9,500,0.3,1,2,1e-06,0.0034621363395959353
46,7,250,0.25,1,2,1e-05,0.0034621366110747453
47,7,250,0.25,1,2,1e-07,0.003462137926088582
48,7,250,0.25,1,2,1e-06,0.0034621395100443405
49,10,750,0.3,0,2,1e-06,0.003462143791915178
50,7,250,0.25,1,0,1e-07,0.0034621447200685832
51,7,250,0.25,1,0,1e-06,0.0034621447200685832
52,7,250,0.25,1,0,1e-05,0.0034621447200685832
53,7,250,0.25,0,1,1e-05,0.003462146521347429
54,7,250,0.25,0,1,1e-07,0.003462146521347429
55,7,250,0.25,0,1,1e-06,0.003462146521347429
56,7,250,0.25,1,1,1e-06,0.0034621675420992023
57,7,250,0.25,1,1,1e-05,0.0034621675420992023
58,7,250,0.25,1,1,1e-07,0.0034621675420992023
59,9,500,0.3,1,2,1e-05,0.0034621724620415148
