TIMESTAMP,SAFU34414_OPEN_PRICE_USD,SAFU34414_HIGH_PRICE_USD,SAFU34414_LOW_PRICE_USD,SAFU34414_CLOSE_PRICE_USD,SAFU34414_VOLUME_USD,SAFU34414_DIVIDENDS_USD,SAFU34414_STOCK_SPLITS_USD
2024-12-28 00:00:00+00:00,0.00012199999764561653,0.00012399999832268804,0.00010599999950500205,0.00010599999950500205,3080,0.0,0.0
2024-12-29 00:00:00+00:00,0.00010599999950500205,0.00010599999950500205,9.500000305706635e-05,9.7999996796716e-05,2136,0.0,0.0
2024-12-30 00:00:00+00:00,9.7999996796716e-05,0.00010399999882793054,8.499999967170879e-05,8.600000001024455e-05,3945,0.0,0.0
2024-12-31 00:00:00+00:00,8.600000001024455e-05,8.800000068731606e-05,8.299999899463728e-05,8.499999967170879e-05,2057,0.0,0.0
2025-01-01 00:00:00+00:00,8.499999967170879e-05,8.900000102585182e-05,8.499999967170879e-05,8.900000102585182e-05,333,0.0,0.0
2025-01-02 00:00:00+00:00,8.900000102585182e-05,8.900000102585182e-05,8.600000001024455e-05,8.600000001024455e-05,293,0.0,0.0
2025-01-03 00:00:00+00:00,8.600000001024455e-05,8.600000001024455e-05,7.999999797903001e-05,7.999999797903001e-05,1074,0.0,0.0
2025-01-04 00:00:00+00:00,7.999999797903001e-05,7.999999797903001e-05,7.100000220816582e-05,7.100000220816582e-05,2028,0.0,0.0
2025-01-05 00:00:00+00:00,7.100000220816582e-05,7.100000220816582e-05,6.399999983841553e-05,6.70000008540228e-05,1881,0.0,0.0
2025-01-06 00:00:00+00:00,6.70000008540228e-05,6.900000153109431e-05,6.600000051548705e-05,6.800000119255856e-05,436,0.0,0.0
2025-01-07 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,6.299999949987978e-05,6.299999949987978e-05,713,0.0,0.0
2025-01-08 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,6.199999916134402e-05,6.399999983841553e-05,724,0.0,0.0
2025-01-09 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,5.900000178371556e-05,5.900000178371556e-05,1214,0.0,0.0
2025-01-10 00:00:00+00:00,5.900000178371556e-05,7.000000186963007e-05,5.900000178371556e-05,7.000000186963007e-05,2236,0.0,0.0
2025-01-11 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.399999983841553e-05,7.000000186963007e-05,2600,0.0,0.0
2025-01-12 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.900000153109431e-05,7.000000186963007e-05,1058,0.0,0.0
2025-01-13 00:00:00+00:00,7.000000186963007e-05,7.000000186963007e-05,6.800000119255856e-05,7.000000186963007e-05,1109,0.0,0.0
2025-01-14 00:00:00+00:00,7.000000186963007e-05,7.400000322377309e-05,6.800000119255856e-05,6.800000119255856e-05,1045,0.0,0.0
2025-01-15 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,157,0.0,0.0
2025-01-16 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,137,0.0,0.0
2025-01-17 00:00:00+00:00,6.70000008540228e-05,6.900000153109431e-05,6.70000008540228e-05,6.900000153109431e-05,132,0.0,0.0
2025-01-18 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.600000051548705e-05,6.70000008540228e-05,279,0.0,0.0
2025-01-19 00:00:00+00:00,6.70000008540228e-05,6.70000008540228e-05,6.399999983841553e-05,6.399999983841553e-05,770,0.0,0.0
2025-01-20 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,6.299999949987978e-05,6.299999949987978e-05,329,0.0,0.0
