TIMESTAMP,LSK_OPEN_PRICE_USDT,LSK_HIGH_PRICE_USDT,LSK_LOW_PRICE_USDT,LSK_CLOSE_PRICE_USDT,LSK_FIRST_TRADE_PRICE_USDT,LSK_HIGH_TRADE_PRICE_USDT,LSK_LOW_TRADE_PRICE_USDT,LSK_LAST_TRADE_PRICE_USDT,LSK_TOTAL_TRADE_COUNT,LSK_TOTAL_TRADES_BUY,LSK_TOTAL_TRADES_SELL,LSK_VOLUME_USDT,LSK_QUOTE_VOLUME,LSK_VOLUME_BUY,LSK_QUOTE_VOLUME_BUY,LSK_VOLUME_SELL,LSK_QUOTE_VOLUME_SELL
2020-02-06,1.39,1.48,1.3004,1.3649,1.39,1.48,1.3004,1.3649,993,418,575,101924.65,142539.113856,28438.2,39814.764204,73486.45,102724.349652
2020-02-07,1.3649,1.7097,1.3424,1.4841,1.3649,1.7097,1.3424,1.4841,1933,1094,839,199628.91,286196.278071,83260.65,118612.392285,116368.26,167583.885786
2020-02-08,1.4841,1.85,1.3806,1.7697,1.4924,1.85,1.3806,1.7697,6820,4277,2543,687804.52,1137000.263336,335607.34,554385.017068,352197.18,582615.246268
2020-02-09,1.7697,2.222,1.6243,2.0314,1.7472,2.222,1.6243,2.0314,12207,7312,4895,1070584.27,2111600.859449,509229.92,1006593.62727,561354.35,1105007.232179
2020-02-10,2.0314,2.88,1.85,2.0799,2.0291,2.88,1.85,2.0799,30195,16848,13347,3227517.88,7344170.843483,1428556.35,3263935.125531,1798961.53,4080235.717952
2020-02-11,2.0799,2.2699,1.8288,2.0485,2.0799,2.2699,1.8288,2.0485,11746,6608,5138,1372784.65,2804156.895041,603235.1,1238114.455683,769549.55,1566042.439358
2020-02-12,2.0485,2.0999,1.88,1.9664,2.0529,2.0999,1.88,1.9664,5443,2813,2630,627135.68,1247340.240431,263648.47,524006.401934,363487.21,723333.838497
2020-02-13,1.9664,2.0124,1.7105,1.7889,1.9808,2.0124,1.7105,1.7889,4860,2375,2485,574050.84,1059857.84644,231147.04,425121.528491,342903.8,634736.317949
2020-02-14,1.7889,1.9979,1.7636,1.91,1.7886,1.9979,1.7636,1.91,3509,2198,1311,400289.34,766027.484318,212765.28,406934.451724,187524.06,359093.032594
2020-02-15,1.91,2.0296,1.6976,1.8189,1.91,2.0296,1.6976,1.8189,4001,2166,1835,377832.09,726619.911399,189527.54,368209.521156,188304.55,358410.390243
