TIMESTAMP,ZEN_OPEN_PRICE_USDT,ZEN_HIGH_PRICE_USDT,ZEN_LOW_PRICE_USDT,ZEN_CLOSE_PRICE_USDT,ZEN_FIRST_TRADE_PRICE_USDT,ZEN_HIGH_TRADE_PRICE_USDT,ZEN_LOW_TRADE_PRICE_USDT,ZEN_LAST_TRADE_PRICE_USDT,ZEN_TOTAL_TRADE_COUNT,ZEN_TOTAL_TRADES_BUY,ZEN_TOTAL_TRADES_SELL,ZEN_VOLUME_USDT,ZEN_QUOTE_VOLUME,ZEN_VOLUME_BUY,ZEN_QUOTE_VOLUME_BUY,ZEN_VOLUME_SELL,ZEN_QUOTE_VOLUME_SELL
2020-07-06,6.525,7.094,6.525,7.058,6.525,7.094,6.525,7.058,668,298,370,12769.436,87581.250849,3979.99,27325.844688,8789.446,60255.406161
2020-07-07,7.058,8.9,6.8,6.84,7.058,8.9,6.8,6.84,2179,1273,906,25134.47,176732.619108,11814.614,84188.499794,13319.856,92544.119314
2020-07-08,6.84,6.98,6.5,6.931,6.84,6.98,6.5,6.931,1416,753,663,28936.534,198361.017214,11470.542,78713.950174,17465.992,119647.06704
2020-07-09,6.931,7.734,6.823,7.462,6.931,7.734,6.823,7.462,2809,1378,1431,52143.04,382235.044903,22414.444,164580.062003,29728.596,217654.9829
2020-07-10,7.462,7.89,7.165,7.355,7.462,7.89,7.165,7.355,2442,1462,980,48342.74,363262.227791,19166.91,143689.231614,29175.83,219572.996177
2020-07-11,7.355,8.8,7.211,7.242,7.35,8.8,7.211,7.242,2662,1529,1133,48653.524,363553.992972,24717.375,185982.408966,23936.149,177571.584006
2020-07-12,7.242,7.492,7.112,7.214,7.234,7.492,7.112,7.214,1584,882,702,15711.617,114521.875865,7955.842,58120.958766,7755.775,56400.917099
2020-07-13,7.214,7.886,7.093,7.505,7.23,7.886,7.093,7.505,3262,1753,1509,43383.425,326543.305015,18657.408,140425.187835,24726.017,186118.11718
2020-07-14,7.505,7.564,6.91,7.189,7.481,7.564,6.91,7.189,1638,781,857,20774.87,149345.046022,7675.993,55119.659435,13098.877,94225.386587
2020-07-15,7.189,7.734,7.14,7.462,7.189,7.734,7.14,7.462,2133,1179,954,36815.82,271295.66404,24056.753,176944.989233,12759.067,94350.674807
2020-07-16,7.462,7.728,7.0,7.537,7.477,7.728,7.0,7.537,1872,866,1006,27170.055,200682.633242,12121.654,90676.379207,15048.401,110006.254035
2020-07-17,7.537,7.6,7.341,7.475,7.463,7.6,7.341,7.475,1157,661,496,9708.797,72311.916144,4121.023,30749.209108,5587.774,41562.707036
2020-07-18,7.475,7.567,7.238,7.492,7.447,7.567,7.238,7.492,1003,518,485,10597.931,78197.434665,4818.712,35700.215281,5779.219,42497.219384
2020-07-19,7.492,8.5,7.477,8.139,7.48,8.5,7.477,8.139,5781,3143,2638,75328.538,599994.423049,37493.987,299169.110097,37834.551,300825.312952
2020-07-20,8.139,8.548,7.9,8.087,8.14,8.548,7.9,8.087,2820,1515,1305,42137.941,346719.781846,19044.103,156272.315034,23093.838,190447.466812
2020-07-21,8.087,8.45,7.93,8.072,8.051,8.45,7.93,8.072,1966,1175,791,19996.089,162279.300974,11496.108,93214.543894,8499.981,69064.75708
2020-07-22,8.072,8.3,7.957,8.09,8.056,8.3,7.957,8.09,1148,596,552,10721.434,87114.685264,5863.657,47791.131572,4857.777,39323.553692
