,XRP
DOGE,1.4376996652997023e-17
BTS,3.3968058163818313e-09
QTUM,5.009823796684806e-06
LTC,5.114642838918686e-05
ETC,0.00029033536325134997
ETH,0.00044617371121995
XEM,0.0005429757838575
XMR,0.0026653256978473
SC,0.0112832232046059
MIOTA,0.01799470664990285
BTC,0.0205924853830559
ZEC,0.055587105145005006
LSK,0.057161468581668554
ZEN,0.06967441905571825
RLC,0.0805240167274956
BAT,0.1070001133049803
XLM,0.14176790073004703
DCR,0.14260959345656837
DGB,0.17097844409696217
DASH,0.17781758120675145
ARK,0.30827350374213675
ANT,0.36202556485603354
WAVES,0.43003089772467196
GNO,0.4406075605271216
SYS,0.5983865173681986
STEEM,0.6398360727480341
KMD,0.6776316873862682
PIVX,0.6927586603202743
FIRO,0.7548028714768074
LUNC,0.9158666823430597
GAS,0.9556533967757418
