,XRP,Lag
DOGE,2.767425266908129e-19,2
BTS,2.574043509799904e-11,11
QTUM,2.135252846649461e-07,7
LTC,2.111495733036666e-06,2
XEM,1.4999334356448473e-05,23
ETC,1.8259740603458e-05,1
ETH,0.0001283720895429,29
XMR,0.0002540506546395,5
XLM,0.0003941958121166,30
MIOTA,0.0006783617907209,5
ZEN,0.0010898693115785,25
SC,0.0019001514666055,28
BTC,0.003602510742792,2
ZEC,0.0053447015599926,30
LSK,0.0060383012546537,6
BAT,0.0173937367223144,5
RLC,0.0292944026794761,22
DASH,0.0396605996550186,5
DGB,0.042144860059389,12
FIRO,0.0434452009883455,1
DCR,0.0518283089482395,18
WAVES,0.0538227366749459,4
GNO,0.0607170632336742,3
ARK,0.0941776630993768,30
ANT,0.1020978735045757,27
STEEM,0.1734114018837991,1
PIVX,0.2491929020671272,30
KMD,0.3182779119036526,1
SYS,0.3261055602779766,15
LUNC,0.343560738685662,3
GAS,0.510673611190333,2
