TIMESTAMP,DCI32098_OPEN_PRICE_USD,DCI32098_HIGH_PRICE_USD,DCI32098_LOW_PRICE_USD,DCI32098_CLOSE_PRICE_USD,DCI32098_VOLUME_USD,DCI32098_DIVIDENDS_USD,DCI32098_STOCK_SPLITS_USD
2024-07-04 00:00:00+00:00,9549.9111328125,9593.859375,9446.326171875,9499.1513671875,40689,0.0,0.0
2024-07-05 00:00:00+00:00,9499.1513671875,9574.2021484375,8843.5458984375,9520.6533203125,31224,0.0,0.0
2024-07-06 00:00:00+00:00,9520.6533203125,9607.75,9472.525390625,9552.369140625,24077,0.0,0.0
2024-07-07 00:00:00+00:00,9552.369140625,9575.41796875,9240.8642578125,9243.6484375,24829,0.0,0.0
2024-07-08 00:00:00+00:00,9243.6484375,9365.595703125,8918.775390625,9302.6318359375,88297,0.0,0.0
2024-07-09 00:00:00+00:00,9302.6318359375,9356.2431640625,9250.04296875,9344.0576171875,20242,0.0,0.0
2024-07-10 00:00:00+00:00,9344.0576171875,9410.5244140625,9258.0751953125,9340.7197265625,5750,0.0,0.0
2024-07-11 00:00:00+00:00,9340.7197265625,9626.7939453125,9340.681640625,9553.6875,12042,0.0,0.0
2024-07-12 00:00:00+00:00,9553.6875,9696.9384765625,9505.375,9696.9140625,8166,0.0,0.0
2024-07-13 00:00:00+00:00,9696.9140625,9955.2314453125,9696.9140625,9819.72265625,7070,0.0,0.0
2024-07-14 00:00:00+00:00,9819.72265625,9851.1494140625,9746.1884765625,9746.2490234375,6674,0.0,0.0
2024-07-15 00:00:00+00:00,9746.2490234375,9863.3642578125,9718.052734375,9808.0,9089,0.0,0.0
2024-07-16 00:00:00+00:00,9808.0,10064.3330078125,9614.2138671875,9863.28515625,16365,0.0,0.0
2024-07-17 00:00:00+00:00,9863.28515625,10301.4248046875,9863.2041015625,10242.693359375,18392,0.0,0.0
2024-07-18 00:00:00+00:00,10242.693359375,10293.275390625,9625.8828125,9703.6796875,13222,0.0,0.0
2024-07-19 00:00:00+00:00,9703.6796875,9789.8623046875,9587.9365234375,9741.037109375,3534,0.0,0.0
2024-07-20 00:00:00+00:00,9741.037109375,9757.556640625,9709.5849609375,9755.5107421875,184,0.0,0.0
2024-07-21 00:00:00+00:00,9755.5107421875,10116.4306640625,9740.9501953125,10104.0390625,2718,0.0,0.0
2024-07-22 00:00:00+00:00,10104.05859375,10146.6171875,9981.0625,9981.0625,803,0.0,0.0
2024-07-23 00:00:00+00:00,9981.0625,10030.2412109375,9645.091796875,9680.0224609375,4271,0.0,0.0
2024-07-24 00:00:00+00:00,9680.0224609375,9889.419921875,9647.861328125,9734.0908203125,3214,0.0,0.0
2024-07-25 00:00:00+00:00,9734.0908203125,9781.0224609375,9463.7255859375,9581.0322265625,3202,0.0,0.0
2024-07-26 00:00:00+00:00,9581.0322265625,9705.880859375,9581.0322265625,9666.83984375,1016,0.0,0.0
2024-07-27 00:00:00+00:00,9666.83984375,9821.5009765625,9551.8564453125,9621.1435546875,619,0.0,0.0
2024-07-28 00:00:00+00:00,9621.1435546875,9742.8310546875,9610.626953125,9721.6611328125,522,0.0,0.0
2024-07-29 00:00:00+00:00,9721.6611328125,9966.24609375,9673.357421875,9714.501953125,1721,0.0,0.0
2024-07-30 00:00:00+00:00,9714.501953125,9740.224609375,9511.7060546875,9527.0087890625,1920,0.0,0.0
2024-07-31 00:00:00+00:00,9527.0087890625,9746.4072265625,9453.244140625,9453.244140625,1889,0.0,0.0
2024-08-01 00:00:00+00:00,9453.244140625,9453.244140625,9031.0107421875,9192.685546875,2055,0.0,0.0
2024-08-02 00:00:00+00:00,9192.685546875,9201.638671875,8892.1455078125,8993.595703125,2918,0.0,0.0
2024-08-03 00:00:00+00:00,8993.595703125,9012.38671875,8875.0517578125,8989.9541015625,3172,0.0,0.0
2024-08-04 00:00:00+00:00,8989.9541015625,9199.5712890625,8645.595703125,8955.58984375,8431,0.0,0.0
2024-08-05 00:00:00+00:00,8909.1240234375,9514.5537109375,7982.990234375,9038.6708984375,31026,0.0,0.0
2024-08-06 00:00:00+00:00,9038.6708984375,9383.7041015625,8865.48046875,8892.2919921875,8058,0.0,0.0
