TIMESTAMP,MVC15493_OPEN_PRICE_USD,MVC15493_HIGH_PRICE_USD,MVC15493_LOW_PRICE_USD,MVC15493_CLOSE_PRICE_USD,MVC15493_VOLUME_USD,MVC15493_DIVIDENDS_USD,MVC15493_STOCK_SPLITS_USD
2021-12-03 00:00:00+00:00,5.199999941396527e-05,5.500000042957254e-05,3.199999991920777e-05,3.600000127335079e-05,5521408,0.0,0.0
2021-12-04 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,2.4000000848900527e-05,3.199999991920777e-05,1530771,0.0,0.0
2021-12-05 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,2.5999999706982635e-05,2.5999999706982635e-05,0,0.0,0.0
2021-12-06 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.099999983329326e-05,2.300000051036477e-05,0,0.0,0.0
2021-12-07 00:00:00+00:00,2.300000051036477e-05,3.199999991920777e-05,2.300000051036477e-05,2.9000000722589903e-05,803963,0.0,0.0
2021-12-08 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.700000004551839e-05,552932,0.0,0.0
2021-12-09 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.099999983329326e-05,2.2000000171829015e-05,417682,0.0,0.0
2021-12-10 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,2.099999983329326e-05,2.099999983329326e-05,369680,0.0,0.0
2021-12-11 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.9999999494757503e-05,2.300000051036477e-05,280080,0.0,0.0
2021-12-12 00:00:00+00:00,2.300000051036477e-05,2.9000000722589903e-05,2.300000051036477e-05,2.8000000384054147e-05,300605,0.0,0.0
2021-12-13 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,1.9999999494757503e-05,2.099999983329326e-05,350873,0.0,0.0
2021-12-14 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,259445,0.0,0.0
2021-12-15 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.9999999494757503e-05,2.099999983329326e-05,152987,0.0,0.0
2021-12-16 00:00:00+00:00,2.099999983329326e-05,5.700000110664405e-05,1.700000029813964e-05,4.600000102072954e-05,323907,0.0,0.0
2021-12-17 00:00:00+00:00,4.600000102072954e-05,5.900000178371556e-05,1.9999999494757503e-05,2.2000000171829015e-05,330753,0.0,0.0
2021-12-18 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,1.8999999156221747e-05,1.9999999494757503e-05,207054,0.0,0.0
2021-12-19 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8000000636675395e-05,2.099999983329326e-05,200147,0.0,0.0
