TIMESTAMP,ETC_OPEN_PRICE_USDT,ETC_HIGH_PRICE_USDT,ETC_LOW_PRICE_USDT,ETC_CLOSE_PRICE_USDT,ETC_FIRST_TRADE_PRICE_USDT,ETC_HIGH_TRADE_PRICE_USDT,ETC_LOW_TRADE_PRICE_USDT,ETC_LAST_TRADE_PRICE_USDT,ETC_TOTAL_TRADE_COUNT,ETC_TOTAL_TRADES_BUY,ETC_TOTAL_TRADES_SELL,ETC_VOLUME_USDT,ETC_QUOTE_VOLUME,ETC_VOLUME_BUY,ETC_QUOTE_VOLUME_BUY,ETC_VOLUME_SELL,ETC_QUOTE_VOLUME_SELL
2018-06-12,16.3,16.7999,13.95,14.6282,16.3,16.7999,13.95,14.6282,24285,11800,12485,744968.58,11321260.474835,368915.2,5593754.710866,376053.38,5727505.763969
2018-06-13,14.6282,14.9731,12.813,13.8499,14.7,14.9731,12.813,13.8499,17726,8408,9318,781129.3,10799288.675251,372750.56,5157253.171022,408378.74,5642035.504229
2018-06-14,13.8499,14.3409,13.15,14.0624,13.8003,14.3409,13.15,14.0624,14778,7478,7300,682270.16,9384377.514828,298369.62,4105150.44068,383900.54,5279227.074148
2018-06-15,14.0624,14.0748,13.5555,13.82,14.0662,14.0748,13.5555,13.82,10199,4922,5277,486000.73,6722327.690389,226522.13,3132538.074991,259478.6,3589789.615398
2018-06-16,13.82,14.88,13.7599,14.44,13.82,14.88,13.7599,14.44,15312,7077,8235,663787.16,9508421.439512,308721.74,4432945.304099,355065.42,5075476.135413
2018-06-17,14.44,14.6432,14.0727,14.2399,14.4291,14.6432,14.0727,14.2399,10074,4772,5302,535906.2,7693301.363015,221091.11,3176485.836142,314815.09,4516815.526873
2018-06-18,14.2399,15.62,13.971,15.0902,14.2399,15.62,13.971,15.0902,13462,6277,7185,615447.91,8977252.712709,285791.88,4170233.027155,329656.03,4807019.685554
2018-06-19,15.0902,15.9448,15.0,15.6025,15.1096,15.9448,15.0,15.6025,15341,7910,7431,586508.69,9045543.55683,278417.97,4292343.68886,308090.72,4753199.86797
2018-06-20,15.6025,17.451,14.715,17.35,15.6025,17.451,14.715,17.35,19859,9914,9945,779691.09,12381199.136987,341216.66,5440704.157618,438474.43,6940494.979369
2018-06-21,17.35,17.86,16.5037,17.5826,17.32,17.86,16.5037,17.5826,25572,12845,12727,953254.49,16398372.848506,460531.94,7930058.175358,492722.55,8468314.673148
2018-06-22,17.5826,17.6825,14.11,14.48,17.5826,17.6825,14.11,14.48,30239,14199,16040,1295188.37,20292042.358346,555775.9,8685855.626583,739412.47,11606186.731763
2018-06-23,14.48,15.1213,14.13,14.753,14.4848,15.1213,14.13,14.753,13766,6943,6823,518777.36,7631367.324394,279924.27,4121313.684991,238853.09,3510053.639403
2018-06-24,14.753,15.4514,13.0182,14.792,14.7693,15.4514,13.0182,14.792,19213,9932,9281,841002.42,11922840.620149,443458.22,6291336.515439,397544.2,5631504.10471
2018-06-25,14.792,16.0999,14.4705,15.85,14.7802,16.0999,14.4705,15.85,17599,8919,8680,644026.9,9962691.123436,315902.0,4888501.843282,328124.9,5074189.280154
2018-06-26,15.85,15.999,14.7,14.8447,15.85,15.999,14.7,14.8447,11324,5516,5808,708799.86,10962040.049896,339263.36,5245700.880686,369536.5,5716339.16921
2018-06-27,14.8447,15.6399,14.18,15.4501,14.8203,15.6399,14.18,15.4501,15361,7601,7760,1004615.03,14962091.940297,525940.08,7823617.452559,478674.95,7138474.487738
2018-06-28,15.4501,15.6699,14.3731,14.5421,15.4512,15.6699,14.3731,14.5421,16053,7725,8328,1125501.57,17057624.158572,606554.4,9211332.928029,518947.17,7846291.230543
2018-06-29,14.5421,15.55,14.21,15.2534,14.5309,15.55,14.21,15.2534,15887,7724,8163,1110916.87,16359132.441224,610220.79,8994947.065533,500696.08,7364185.375691
2018-06-30,15.2534,16.8529,15.2101,16.1571,15.2546,16.8529,15.2101,16.1571,17821,8832,8989,1132170.79,18207579.771207,558364.64,8984274.352278,573806.15,9223305.418929
2018-07-01,16.1571,16.45,15.54,16.0358,16.165,16.45,15.54,16.0358,11959,6030,5929,733989.26,11731196.476398,403194.15,6445508.587848,330795.11,5285687.88855
2018-07-02,16.0358,17.04,15.6,16.6514,16.0017,17.04,15.6,16.6514,16371,8134,8237,921193.92,15106831.489802,497077.53,8166757.982284,424116.39,6940073.507518
2018-07-03,16.6514,17.1671,16.022,16.1401,16.6613,17.1671,16.022,16.1401,13623,6371,7252,888958.93,14714721.82193,454171.41,7533769.898261,434787.52,7180951.923669
2018-07-04,16.1401,17.495,16.0254,16.8426,16.1896,17.495,16.0254,16.8426,11770,6469,5301,662602.99,11245989.933503,390922.16,6637870.403617,271680.83,4608119.529886
2018-07-05,16.8426,17.4345,16.66,17.4,16.8599,17.4345,16.66,17.4,18231,9055,9176,802679.24,13677631.104964,435963.79,7439842.724143,366715.45,6237788.380821
2018-07-06,17.4,18.4678,16.8048,18.327,17.405,18.4678,16.8048,18.327,29544,14923,14621,1383266.95,24617389.40868,733984.03,13063068.230665,649282.92,11554321.178015
2018-07-07,18.327,18.7901,17.4158,18.6621,18.34,18.7901,17.4158,18.6621,15414,7818,7596,916164.84,16519804.54566,464412.19,8390055.816787,451752.65,8129748.728873
2018-07-08,18.6621,18.98,18.1207,18.3447,18.6505,18.98,18.1207,18.3447,12463,6517,5946,740441.41,13730195.132694,401220.5,7443891.252017,339220.91,6286303.880677
2018-07-09,18.3447,18.75,18.0995,18.1567,18.2921,18.75,18.0995,18.1567,13342,6323,7019,738773.85,13628119.613505,352477.17,6505133.461266,386296.68,7122986.152239
2018-07-10,18.1567,18.2498,16.02,16.05,18.1766,18.2498,16.02,16.05,20731,9190,11541,1140799.43,19418708.824687,534164.28,9110281.253155,606635.15,10308427.571532
