TIMESTAMP,DOGE_OPEN_PRICE_USDT,DOGE_HIGH_PRICE_USDT,DOGE_LOW_PRICE_USDT,DOGE_CLOSE_PRICE_USDT,DOGE_FIRST_TRADE_PRICE_USDT,DOGE_HIGH_TRADE_PRICE_USDT,DOGE_LOW_TRADE_PRICE_USDT,DOGE_LAST_TRADE_PRICE_USDT,DOGE_TOTAL_TRADE_COUNT,DOGE_TOTAL_TRADES_BUY,DOGE_TOTAL_TRADES_SELL,DOGE_VOLUME_USDT,DOGE_QUOTE_VOLUME,DOGE_VOLUME_BUY,DOGE_QUOTE_VOLUME_BUY,DOGE_VOLUME_SELL,DOGE_QUOTE_VOLUME_SELL
2019-07-05,0.00449,0.0046,0.00355,0.0038701,0.00449,0.0046,0.00355,0.0038701,18589,9092,9497,1928297660.0,7506289.3981729,858403324.0,3336426.0115192,1069894336.0,4169863.3866537
2019-07-06,0.0038701,0.0039426,0.0033652,0.0035,0.0038747,0.0039426,0.0033652,0.0035,17250,8947,8303,1010744287.0,3692804.0887838,522724122.0,1908499.5096496,488020165.0,1784304.5791342
2019-07-07,0.0035,0.00365,0.0034,0.0035377,0.0035033,0.00365,0.0034,0.0035377,9394,5053,4341,530613992.0,1860353.0716839,275110757.0,965093.409773,255503235.0,895259.6619109
2019-07-08,0.0035377,0.0035618,0.0034,0.003458,0.0035378,0.0035618,0.0034,0.003458,4958,2604,2354,308445688.0,1078072.0056618,159456967.0,558024.1758627,148988721.0,520047.8297991
2019-07-09,0.003458,0.003582,0.0033564,0.0034545,0.003462,0.003582,0.0033564,0.0034545,5690,2770,2920,253375582.0,878528.3337763,115809520.0,402047.295067,137566062.0,476481.0387093
2019-07-10,0.0034545,0.0035294,0.003251,0.0033421,0.0034576,0.0035294,0.003251,0.0033421,4797,2302,2495,241274866.0,824623.2566485,115599196.0,396266.6942069,125675670.0,428356.5624416
2019-07-11,0.0033421,0.0033421,0.0030909,0.003209,0.0033358,0.0033395,0.0030909,0.003209,3721,1807,1914,202811394.0,648510.3219133,98379770.0,314616.4800941,104431624.0,333893.8418192
2019-07-12,0.003209,0.0033598,0.0031562,0.0032622,0.0032105,0.0033598,0.0031562,0.0032622,3638,1843,1795,228622573.0,747823.3548409,116069740.0,379630.5577197,112552833.0,368192.7971212
2019-07-13,0.0032622,0.0032653,0.0031358,0.0032532,0.0032626,0.0032653,0.0031358,0.0032532,2494,1241,1253,110731940.0,354130.9919463,53400546.0,170896.9227031,57331394.0,183234.0692432
2019-07-14,0.0032532,0.0032788,0.0029008,0.0029175,0.0032474,0.0032788,0.0029008,0.0029175,3994,1903,2091,216658454.0,671776.7078685,101956045.0,315829.9500623,114702409.0,355946.7578062
2019-07-15,0.0029175,0.0031354,0.0028011,0.0030712,0.0029175,0.0031354,0.0028011,0.0030712,4003,2128,1875,220027648.0,648584.7204098,111586491.0,330128.1843474,108441157.0,318456.5360624
2019-07-16,0.0030712,0.0031009,0.0027323,0.0027994,0.0030547,0.0031009,0.0027323,0.0027994,2878,1375,1503,159080438.0,461906.8700423,75423056.0,218381.8185068,83657382.0,243525.0515355
2019-07-17,0.0027994,0.002986,0.0027063,0.0028822,0.0027995,0.002986,0.0027063,0.0028822,4607,2338,2269,320691294.0,919480.3057747,157213703.0,450241.2393662,163477591.0,469239.0664085
2019-07-18,0.0028822,0.0031251,0.0027797,0.0030979,0.0028663,0.0031251,0.0027797,0.0030979,4024,2197,1827,263423204.0,774480.1838155,147238010.0,433720.7725546,116185194.0,340759.4112609
2019-07-19,0.0030979,0.0031068,0.0029202,0.0030232,0.0031008,0.0031068,0.0029202,0.0030232,2002,1037,965,101195703.0,304506.8227047,48305815.0,145836.6616752,52889888.0,158670.1610295
2019-07-20,0.0030232,0.0031528,0.003,0.0030787,0.0030131,0.0031528,0.003,0.0030787,2009,1031,978,106012025.0,326290.2279813,55467651.0,170926.7213509,50544374.0,155363.5066304
2019-07-21,0.0030787,0.0031272,0.0029872,0.0030468,0.0030701,0.0031272,0.0029872,0.0030468,1259,605,654,59882988.0,182107.796684,28260290.0,85936.6678577,31622698.0,96171.1288263
2019-07-22,0.0030468,0.0030816,0.00292,0.0029567,0.0030533,0.0030816,0.00292,0.0029567,1458,651,807,92581872.0,278105.8869385,39485392.0,118643.4226921,53096480.0,159462.4642464
2019-07-23,0.0029567,0.0029567,0.002816,0.0028192,0.0029567,0.0029567,0.002816,0.0028192,2183,1232,951,161810410.0,464551.6009363,96609156.0,277344.3934598,65201254.0,187207.2074765
2019-07-24,0.0028192,0.0028819,0.0027629,0.0028741,0.0028195,0.0028819,0.0027629,0.0028741,1510,699,811,68490381.0,192993.7931772,28513143.0,80354.7054276,39977238.0,112639.0877496
2019-07-25,0.0028741,0.0029487,0.0028476,0.0028656,0.0028548,0.0029487,0.0028476,0.0028656,1845,1068,777,149944114.0,432899.4548801,71585309.0,206678.2918024,78358805.0,226221.1630777
2019-07-26,0.0028656,0.0029033,0.0028177,0.0028798,0.0028634,0.0029033,0.0028177,0.0028798,921,442,479,29517748.0,84631.765541,13656950.0,39211.6467321,15860798.0,45420.1188089
2019-07-27,0.0028798,0.00296,0.0027551,0.0028047,0.00289,0.00296,0.0027551,0.0028047,1669,887,782,86758314.0,246314.3610014,48053925.0,136783.2358612,38704389.0,109531.1251402
2019-07-28,0.0028047,0.0028137,0.002726,0.0027932,0.0027955,0.0028137,0.002726,0.0027932,1132,576,556,49225120.0,137249.2673918,22612996.0,63163.9227703,26612124.0,74085.3446215
2019-07-29,0.0027932,0.002884,0.0027637,0.0027663,0.0027884,0.002884,0.0027637,0.0027663,1331,677,654,65013586.0,182414.3384964,32052641.0,90060.0466795,32960945.0,92354.2918169
2019-07-30,0.0027663,0.00288,0.0027457,0.0027885,0.0027663,0.00288,0.0027457,0.0027885,1134,606,528,60008976.0,166683.8136127,38774373.0,107773.6698705,21234603.0,58910.1437422
2019-07-31,0.0027885,0.0028761,0.0027885,0.0028583,0.0027949,0.0028761,0.0027889,0.0028583,1227,629,598,58120004.0,164406.1593939,26902228.0,76102.1809617,31217776.0,88303.9784322
2019-08-01,0.0028583,0.0030617,0.0028248,0.0029004,0.0028572,0.0030617,0.0028248,0.0029004,1721,938,783,85256838.0,244823.4964215,45103860.0,129715.1979381,40152978.0,115108.2984834
2019-08-02,0.0029004,0.0029272,0.002861,0.0028996,0.0029004,0.0029272,0.002861,0.0028996,1269,595,674,64329108.0,186215.9253597,28365733.0,82145.9183727,35963375.0,104070.006987
2019-08-03,0.0028996,0.002949,0.0028768,0.0028994,0.002895,0.002949,0.0028768,0.0028994,1042,505,537,54942112.0,160178.9665178,27971749.0,81589.9888384,26970363.0,78588.9776794
2019-08-04,0.0028994,0.0029985,0.0028424,0.0029222,0.0028999,0.0029985,0.0028424,0.0029222,1636,846,790,88247046.0,256618.2061217,43242916.0,125944.285972,45004130.0,130673.9201497
2019-08-05,0.0029222,0.0031998,0.0029196,0.0030428,0.0029197,0.0031998,0.0029196,0.0030428,3709,1967,1742,213937390.0,653683.4162101,112866823.0,344834.5809016,101070567.0,308848.8353085
2019-08-06,0.0030428,0.003084,0.0029124,0.0029557,0.0030443,0.003084,0.0029124,0.0029557,2161,1113,1048,128970146.0,386490.7698691,66674955.0,199533.1690807,62295191.0,186957.6007884
2019-08-07,0.0029557,0.0030399,0.0028759,0.0029856,0.0029569,0.0030399,0.0028759,0.0029856,2185,1119,1066,116634874.0,344429.3492764,57935185.0,171072.3230798,58699689.0,173357.0261966
2019-08-08,0.0029856,0.0029972,0.0028544,0.0029635,0.0029972,0.0029972,0.0028544,0.0029635,1388,658,730,72936578.0,212916.7999943,37782894.0,110320.9739721,35153684.0,102595.8260222
2019-08-09,0.0029635,0.0029725,0.0028375,0.002913,0.0029725,0.0029725,0.0028375,0.002913,1265,639,626,53069425.0,153392.1416535,24509418.0,70987.2845453,28560007.0,82404.8571082
2019-08-10,0.002913,0.0029432,0.0028085,0.00285,0.0029212,0.0029432,0.0028085,0.00285,1086,485,601,40358430.0,115277.3644961,17310101.0,49469.6090239,23048329.0,65807.7554722
2019-08-11,0.00285,0.0028995,0.0028281,0.0028874,0.00285,0.0028995,0.0028281,0.0028874,985,525,460,48121732.0,138096.3126889,26626739.0,76451.5995869,21494993.0,61644.713102
2019-08-12,0.0028874,0.0028999,0.0028455,0.0028516,0.0028861,0.0028999,0.0028455,0.0028516,672,345,327,37974663.0,108677.3690065,18614453.0,53251.8616545,19360210.0,55425.507352
2019-08-13,0.0028516,0.0028643,0.0027802,0.0028339,0.0028501,0.0028643,0.0027802,0.0028339,925,411,514,47685418.0,134777.4417494,24076128.0,68051.637853,23609290.0,66725.8038964
