TIMESTAMP,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD,ETH_CLOSE_PRICE_USD
2017-06-01,218.34,227.32,196.0,211.4
2017-06-02,211.4,219.21,208.23,214.77
2017-06-03,214.77,217.99,210.01,217.01
2017-06-04,217.01,245.98,216.1,241.06
2017-06-05,241.06,244.29,231.72,242.16
2017-06-06,242.16,264.99,238.23,261.89
2017-06-07,261.89,263.7,241.01,250.7
2017-06-08,250.7,258.93,242.04,256.95
2017-06-09,256.95,279.9,256.95,278.41
2017-06-10,278.41,341.94,278.26,325.88
2017-06-11,325.88,347.0,310.0,336.33
2017-06-12,336.33,412.21,297.0,386.9
2017-06-13,386.9,395.0,345.61,382.7
2017-06-14,382.7,385.73,315.0,335.95
2017-06-15,335.95,344.0,265.0,338.7
2017-06-16,338.7,355.51,305.22,348.44
2017-06-17,348.44,366.08,332.0,364.56
2017-06-18,364.56,377.46,336.89,348.88
2017-06-19,348.88,362.5,344.13,355.5
2017-06-20,355.5,366.52,328.0,344.15
2017-06-21,344.15,348.5,287.11,321.66
2017-06-22,321.66,328.99,305.0,320.94
2017-06-23,320.94,329.9,316.36,324.37
2017-06-24,324.37,327.55,291.53,296.89
2017-06-25,296.89,306.39,253.2,277.0
2017-06-26,277.0,286.85,214.99,251.3
2017-06-27,251.3,279.0,204.11,279.0
2017-06-28,279.0,318.27,255.0,311.62
2017-06-29,311.62,318.27,276.0,285.3
2017-06-30,285.3,301.9,267.35,275.62
2017-07-01,275.62,277.63,238.0,255.0
2017-07-02,255.0,285.91,242.81,277.64
2017-07-03,277.64,283.98,266.45,273.99
2017-07-04,273.99,283.0,260.0,266.68
2017-07-05,266.68,272.12,249.53,264.77
2017-07-06,264.77,273.0,258.37,265.35
2017-07-07,265.35,265.8,233.84,238.38
2017-07-08,238.38,246.66,226.68,245.23
2017-07-09,245.23,249.0,234.15,234.97
2017-07-10,234.97,238.01,187.5,202.0
2017-07-11,202.0,215.0,169.0,188.63
2017-07-12,188.63,225.0,177.78,223.92
2017-07-13,223.92,224.99,189.46,205.0
2017-07-14,205.0,207.76,179.58,196.49
2017-07-15,196.49,197.8,169.82,170.15
2017-07-16,170.15,172.7,136.12,157.4
2017-07-17,157.4,190.61,155.0,190.16
2017-07-18,190.16,258.0,177.5,226.56
2017-07-19,226.56,245.61,187.0,194.63
2017-07-20,194.63,238.0,194.63,227.29
2017-07-21,227.29,239.0,208.0,216.11
2017-07-22,216.11,237.19,214.35,232.01
2017-07-23,232.01,236.57,219.0,228.15
2017-07-24,228.15,232.56,223.64,226.59
2017-07-25,226.59,227.69,190.49,202.7
2017-07-26,202.7,209.59,191.76,203.33
2017-07-27,203.33,207.0,197.86,202.54
2017-07-28,202.54,204.19,188.1,191.2
2017-07-29,191.2,213.0,176.95,206.76
2017-07-30,206.76,210.76,192.21,195.31
2017-07-31,195.31,201.5,188.12,200.81
2017-08-01,200.81,232.59,200.8,225.97
2017-08-02,225.97,229.7,215.0,218.0
2017-08-03,218.0,228.2,217.07,224.79
2017-08-04,224.79,228.3,218.66,220.73
2017-08-05,220.73,259.9,219.23,253.87
2017-08-06,253.87,271.5,251.0,264.29
2017-08-07,264.29,274.6,257.32,269.51
2017-08-08,269.51,299.5,265.0,295.83
2017-08-09,295.83,316.0,277.0,293.99
2017-08-10,293.99,310.05,287.6,295.97
2017-08-11,295.97,310.42,294.0,308.81
2017-08-12,308.81,319.78,299.0,307.22
2017-08-13,307.22,308.0,285.21,296.64
2017-08-14,296.64,306.48,293.99,298.22
2017-08-15,298.22,299.91,272.29,286.0
2017-08-16,286.0,304.0,279.94,301.34
2017-08-17,301.34,312.0,297.01,299.0
2017-08-18,299.0,307.0,286.0,292.0
2017-08-19,292.0,298.51,280.0,292.78
2017-08-20,292.78,299.0,286.96,298.37
2017-08-21,298.37,346.99,294.53,322.24
2017-08-22,322.24,329.96,285.01,312.54
2017-08-23,312.54,325.0,311.65,316.5
2017-08-24,316.5,329.56,314.14,325.62
2017-08-25,325.62,338.25,324.04,328.7
2017-08-26,328.7,334.6,324.5,332.72
2017-08-27,332.72,348.01,331.88,348.01
2017-08-28,348.01,352.0,332.74,347.09
2017-08-29,347.09,375.98,346.42,372.0
2017-08-30,372.0,390.1,365.1,382.78
2017-08-31,382.78,390.0,380.1,387.3
2017-09-01,387.3,395.03,383.6,390.35
2017-09-02,390.35,390.77,325.1,345.0
2017-09-03,345.0,368.4,328.33,350.63
2017-09-04,350.63,351.59,275.0,295.81
2017-09-05,295.81,323.17,267.64,316.18
2017-09-06,316.18,339.5,314.81,337.36
2017-09-07,337.36,338.66,321.1,334.1
2017-09-08,334.1,334.58,291.0,304.0
2017-09-09,304.0,307.08,291.46,303.08
2017-09-10,303.08,305.0,276.11,297.9
2017-09-11,297.9,308.0,287.33,297.19
2017-09-12,297.19,316.73,283.0,293.9
2017-09-13,293.9,294.16,256.0,275.48
2017-09-14,275.48,281.01,221.71,222.5
2017-09-15,222.5,269.0,198.0,258.68
2017-09-16,258.68,270.0,242.2,253.0
2017-09-17,253.0,263.69,239.0,257.0
2017-09-18,257.0,299.89,257.0,296.81
2017-09-19,296.81,299.0,275.0,282.63
2017-09-20,282.63,294.0,277.0,283.5
2017-09-21,283.5,287.53,251.52,256.67
2017-09-22,256.67,269.5,253.03,262.19
2017-09-23,262.19,287.2,259.01,285.9
2017-09-24,285.9,294.54,275.41,282.0
2017-09-25,282.0,297.93,281.8,295.2
2017-09-26,295.2,296.38,285.2,289.28
2017-09-27,289.28,315.51,286.93,309.75
2017-09-28,309.75,310.69,297.75,302.63
2017-09-29,302.63,303.9,280.5,292.66
2017-09-30,292.66,307.76,292.3,303.44
2017-10-01,303.44,305.57,295.0,304.26
2017-10-02,304.26,304.63,292.1,296.82
2017-10-03,296.82,300.5,285.93,291.69
2017-10-04,291.69,296.0,287.56,291.4
2017-10-05,291.4,297.92,285.12,295.12
2017-10-06,295.12,309.59,293.04,308.43
2017-10-07,308.43,315.0,304.5,311.46
2017-10-08,311.46,314.39,307.55,309.82
2017-10-09,309.82,311.16,287.03,297.4
2017-10-10,297.4,307.0,292.57,299.32
2017-10-11,299.32,306.55,296.6,303.2
2017-10-12,303.2,310.01,302.1,303.06
2017-10-13,303.06,350.0,298.0,337.46
2017-10-14,337.46,348.0,334.05,339.24
2017-10-15,339.24,344.89,315.0,337.23
2017-10-16,337.23,355.0,330.85,334.46
2017-10-17,334.46,334.8,308.0,315.65
2017-10-18,315.65,316.21,287.46,313.45
2017-10-19,313.45,316.5,304.0,306.97
2017-10-20,306.97,313.01,301.04,302.61
2017-10-21,302.61,303.0,289.31,299.23
2017-10-22,299.23,305.62,289.4,293.55
2017-10-23,293.55,293.96,273.5,284.85
2017-10-24,284.85,311.85,280.02,296.3
2017-10-25,296.3,300.0,288.5,295.46
2017-10-26,295.46,299.0,290.55,295.1
2017-10-27,295.1,299.5,291.6,295.99
2017-10-28,295.99,297.01,288.6,293.49
2017-10-29,293.49,312.49,290.5,304.39
2017-10-30,304.39,314.4,303.93,307.0
2017-10-31,307.0,312.0,303.1,303.69
2017-11-01,303.69,305.11,287.04,288.6
2017-11-02,288.6,293.01,275.21,284.89
2017-11-03,284.89,307.36,284.0,303.47
2017-11-04,303.47,304.38,293.0,299.48
2017-11-05,299.48,301.0,292.28,295.63
2017-11-06,295.63,310.0,292.0,296.9
2017-11-07,296.9,304.2,285.01,291.42
2017-11-08,291.42,318.9,290.11,307.5
2017-11-09,307.5,328.8,305.0,319.52
2017-11-10,319.52,324.03,286.0,296.18
2017-11-11,296.18,319.88,294.7,313.07
2017-11-12,313.07,316.99,293.33,303.9
2017-11-13,303.9,318.0,302.4,313.22
2017-11-14,313.22,336.69,313.22,334.28
2017-11-15,334.28,339.61,321.5,330.59
2017-11-16,330.59,335.11,321.18,330.76
2017-11-17,331.16,335.01,325.0,331.0
2017-11-18,331.0,350.4,325.32,346.68
2017-11-19,346.68,371.0,343.28,354.7
2017-11-20,354.7,373.7,352.03,367.94
2017-11-21,367.94,373.5,350.0,360.0
2017-11-22,360.0,381.89,358.8,380.48
2017-11-23,380.48,426.27,374.34,405.19
2017-11-24,405.19,478.5,397.37,470.51
2017-11-25,469.89,481.99,454.4,464.0
2017-11-26,464.0,464.0,464.0,464.0
2017-11-27,464.0,491.89,458.25,473.44
2017-11-28,473.44,479.0,457.2,465.56
2017-11-29,465.56,517.0,403.01,420.34
2017-11-30,420.34,454.95,385.4,432.21
2017-12-01,432.21,467.0,413.96,460.67
2017-12-02,460.67,472.0,447.0,455.51
2017-12-03,455.51,482.69,431.04,459.49
2017-12-04,459.49,471.06,439.27,465.0
2017-12-05,465.0,467.38,444.17,451.87
2017-12-06,451.87,454.23,403.0,413.71
2017-12-07,413.71,429.0,390.0,415.02
2017-12-08,415.02,453.61,400.34,442.19
2017-12-09,442.19,487.8,441.0,460.92
2017-12-10,460.92,460.92,413.3,429.24
2017-12-11,429.24,531.2,429.14,515.25
2017-12-12,515.25,646.92,497.75,634.87
2017-12-13,634.87,742.0,573.0,690.69
2017-12-14,690.69,760.0,651.0,686.51
2017-12-15,686.51,698.31,610.0,678.29
2017-12-16,678.29,711.96,672.51,683.25
2017-12-17,683.25,725.0,683.24,708.78
2017-12-18,708.78,798.9,660.0,783.99
2017-12-19,783.99,863.0,750.01,799.98
2017-12-20,799.98,826.2,709.0,794.99
2017-12-21,794.99,848.08,747.1,786.97
2017-12-22,786.97,792.0,492.01,628.19
2017-12-23,628.19,717.0,616.19,672.59
2017-12-24,672.59,675.0,560.0,659.89
2017-12-25,659.89,737.0,651.76,709.81
2017-12-26,709.81,749.8,708.83,749.8
2017-12-27,749.8,766.06,703.27,736.45
2017-12-28,736.45,740.3,652.0,711.42
2017-12-29,711.42,755.0,703.02,731.52
2017-12-30,731.52,737.56,640.43,682.22
2017-12-31,682.22,741.99,675.56,736.77
2018-01-01,736.77,762.0,717.94,752.46
2018-01-02,752.46,890.0,752.46,858.78
2018-01-03,858.78,954.73,840.0,942.01
2018-01-04,942.01,997.0,893.24,940.0
2018-01-05,939.3,1023.6,930.0,962.77
2018-01-06,962.77,1014.2,951.38,1004.3
2018-01-07,1004.3,1116.0,999.5,1115.8
2018-01-08,1115.9,1225.0,968.12,1129.3
2018-01-09,1129.4,1299.0,1119.1,1283.7
2018-01-10,1285.7,1381.9,1203.2,1248.0
2018-01-11,1245.9,1331.8,1102.5,1135.5
2018-01-12,1135.1,1285.0,1083.4,1257.2
2018-01-13,1257.0,1423.2,1252.6,1380.0
2018-01-14,1379.9,1385.0,1256.0,1350.0
2018-01-15,1349.9,1377.9,1264.4,1273.4
2018-01-16,1275.8,1278.8,868.98,1020.1
2018-01-17,1019.6,1088.3,770.1,1017.5
2018-01-18,1020.1,1079.0,940.0,994.81
2018-01-19,993.92,1079.0,960.1,1032.6
2018-01-20,1032.6,1160.0,1029.6,1146.0
2018-01-21,1146.3,1146.3,1001.5,1047.0
2018-01-22,1047.0,1084.1,912.76,995.08
2018-01-23,995.26,1022.0,905.38,982.98
2018-01-24,982.11,1068.8,952.04,1063.2
2018-01-25,1061.8,1102.4,1025.1,1048.2
2018-01-26,1048.2,1078.6,983.0,1047.0
2018-01-27,1046.9,1125.3,1031.6,1114.8
2018-01-28,1114.7,1264.8,1109.0,1246.6
2018-01-29,1245.5,1259.8,1155.9,1175.0
2018-01-30,1174.36,1178.92,1042.9,1071.9
2018-01-31,1072.17,1126.87,1028.03,1118.08
2018-02-01,1118.15,1157.09,970.42,1033.55
2018-02-02,1033.02,1036.17,766.82,920.85
2018-02-03,920.93,997.51,850.38,971.49
2018-02-04,971.49,972.66,788.79,829.43
2018-02-05,828.49,859.72,634.64,696.86
2018-02-06,696.75,797.94,568.78,783.83
2018-02-07,782.72,852.98,719.34,753.18
2018-02-08,752.75,831.02,751.76,805.4
2018-02-09,805.15,879.51,781.97,877.85
2018-02-10,877.88,908.26,816.72,851.39
2018-02-11,851.44,854.1,778.9,810.45
2018-02-12,811.01,875.52,810.99,865.62
2018-02-13,865.72,868.92,822.98,841.38
2018-02-14,841.38,922.38,840.82,919.67
2018-02-15,919.53,945.99,902.56,927.56
2018-02-16,927.34,945.68,907.33,937.5
2018-02-17,937.35,972.86,934.49,971.54
2018-02-18,971.57,980.27,903.28,913.1
2018-02-19,913.09,954.94,910.29,940.08
2018-02-20,940.04,959.41,877.65,884.51
2018-02-21,884.94,906.43,818.48,839.1
2018-02-22,838.97,878.14,789.92,803.66
2018-02-23,803.56,882.61,787.95,856.65
2018-02-24,854.99,874.49,810.91,834.36
2018-02-25,834.1,849.36,818.46,840.88
2018-02-26,841.28,879.18,835.34,866.99
2018-02-27,867.06,894.78,861.4,871.44
2018-02-28,871.58,888.06,850.84,852.49
2018-03-01,852.44,879.53,848.41,870.04
2018-03-02,870.51,875.69,850.47,856.09
2018-03-03,855.46,868.51,853.45,855.91
2018-03-04,855.91,867.35,838.06,865.53
2018-03-05,865.53,870.27,850.24,850.24
2018-03-06,850.0,851.72,803.9,814.88
2018-03-07,814.56,824.83,724.98,749.98
2018-03-08,750.09,772.23,689.41,698.96
2018-03-09,698.91,728.83,644.46,725.89
2018-03-10,725.7,746.13,678.46,682.52
2018-03-11,682.77,733.33,664.53,720.12
2018-03-12,720.12,739.25,678.27,697.04
2018-03-13,697.06,713.8,680.01,689.57
2018-03-14,689.67,702.53,587.1,612.09
2018-03-15,612.08,620.01,572.69,610.13
2018-03-16,610.36,625.34,585.84,600.79
2018-03-17,600.48,609.48,544.51,550.27
2018-03-18,549.96,559.19,454.9,536.72
2018-03-19,536.72,558.33,516.31,556.16
2018-03-20,555.75,566.63,517.02,557.08
2018-03-21,557.09,589.83,545.87,560.24
2018-03-22,559.9,577.63,517.81,539.87
2018-03-23,539.9,543.51,508.36,543.42
2018-03-24,543.15,545.15,520.05,520.45
2018-03-25,520.44,535.11,513.05,523.5
2018-03-26,523.46,526.22,467.46,485.98
2018-03-27,485.97,491.77,446.7,448.48
2018-03-28,448.73,465.09,440.84,446.84
2018-03-29,446.86,449.33,380.85,384.12
2018-03-30,384.13,411.17,366.12,393.79
2018-03-31,393.75,419.07,390.09,393.96
2018-04-01,394.1,399.46,359.49,378.75
2018-04-02,378.85,393.94,375.67,385.07
2018-04-03,385.02,418.78,380.89,415.55
2018-04-04,415.58,416.38,371.35,378.68
2018-04-05,378.62,386.91,367.21,381.52
2018-04-06,381.69,385.7,363.83,369.97
2018-04-07,369.97,394.66,369.41,384.87
2018-04-08,384.85,403.71,384.85,400.71
2018-04-09,400.67,430.85,388.05,399.05
2018-04-10,399.04,417.84,391.81,415.45
2018-04-11,415.43,433.25,412.35,430.14
2018-04-12,430.13,498.13,414.07,494.03
2018-04-13,494.25,528.71,482.19,493.48
2018-04-14,494.36,514.14,486.89,502.52
2018-04-15,502.52,534.18,502.52,533.9
2018-04-16,533.89,537.32,498.87,511.82
2018-04-17,511.75,520.86,501.73,503.19
2018-04-18,503.24,526.41,502.02,525.66
2018-04-19,525.74,570.15,522.15,567.49
2018-04-20,567.7,620.58,558.27,617.04
2018-04-21,617.1,623.86,574.73,605.59
2018-04-22,605.58,643.58,591.78,622.23
2018-04-23,622.01,648.58,619.81,644.13
2018-04-24,644.08,711.74,644.05,703.02
2018-04-25,702.94,703.25,594.98,617.36
2018-04-26,617.37,665.2,600.69,662.36
2018-04-27,661.65,685.54,641.84,643.97
2018-04-28,643.96,693.79,640.92,683.49
2018-04-29,683.49,700.05,669.15,689.9
2018-04-30,689.83,693.85,664.03,670.07
2018-05-01,670.12,674.36,630.33,671.26
2018-05-02,671.31,690.97,664.29,688.15
2018-05-03,688.23,788.61,686.79,778.95
2018-05-04,778.97,806.9,760.1,785.2
2018-05-05,785.29,830.03,782.18,818.33
2018-05-06,818.75,838.26,755.09,793.19
2018-05-07,793.29,797.3,700.4,754.03
2018-05-08,759.35,761.43,721.49,748.48
2018-05-09,747.98,759.71,711.49,751.62
