TIMESTAMP,ASTRADAO_OPEN_PRICE_USD,ASTRADAO_HIGH_PRICE_USD,ASTRADAO_LOW_PRICE_USD,ASTRADAO_CLOSE_PRICE_USD,ASTRADAO_VOLUME_USD,ASTRADAO_DIVIDENDS_USD,ASTRADAO_STOCK_SPLITS_USD
2023-05-26 00:00:00+00:00,,,,0.0,6841,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,19348,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,22768,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,40642,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,32564,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,15194,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,301867,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,150710,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,9818,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,7417,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,11129,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,1116,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,5291,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,4323,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,595,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,33685,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,4715,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,2435,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,1163,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,788,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,3278,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,2975,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,7153,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,13173,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,1285,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,7166,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,10662,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,205,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,1278,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,4747,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,1254,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,4649,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,3881,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,778,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,6626,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,99371,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,71629,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,63008,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,65749,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,59373,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,57255,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,55913,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,57597,0.0,0.0
