TIMESTAMP,SOLAMB_OPEN_PRICE_USD,SOLAMB_HIGH_PRICE_USD,SOLAMB_LOW_PRICE_USD,SOLAMB_CLOSE_PRICE_USD,SOLAMB_VOLUME_USD,SOLAMB_DIVIDENDS_USD,SOLAMB_STOCK_SPLITS_USD
2024-03-14 00:00:00+00:00,0.0016749999485909939,0.010118000209331512,0.0015510000521317124,0.009576999582350254,5947979,0.0,0.0
2024-03-15 00:00:00+00:00,0.009611000306904316,0.009909999556839466,0.003496000077575445,0.005859999917447567,5750814,0.0,0.0
2024-03-16 00:00:00+00:00,0.005859999917447567,0.014961999841034412,0.0023900000378489494,0.004279000218957663,3550309,0.0,0.0
2024-03-17 00:00:00+00:00,0.004279000218957663,0.0060709998942911625,0.0027020000852644444,0.004747000057250261,1748838,0.0,0.0
2024-03-18 00:00:00+00:00,0.004104999825358391,0.005090000107884407,0.0012110000243410468,0.001820000004954636,2790841,0.0,0.0
2024-03-19 00:00:00+00:00,0.0020359999034553766,0.002119000069797039,0.0010079999919980764,0.0010529999854043126,896801,0.0,0.0
2024-03-20 00:00:00+00:00,0.0010529999854043126,0.002268000040203333,0.0010529999854043126,0.0018269999418407679,1034008,0.0,0.0
2024-03-21 00:00:00+00:00,0.0018269999418407679,0.0018269999418407679,0.0009549999958835542,0.0011500000255182385,627548,0.0,0.0
2024-03-22 00:00:00+00:00,0.0011500000255182385,0.0016629999736323953,0.000990999978967011,0.0013899999903514981,458705,0.0,0.0
2024-03-23 00:00:00+00:00,0.0013899999903514981,0.0015020000282675028,0.0011579999700188637,0.0012509999796748161,258745,0.0,0.0
2024-03-24 00:00:00+00:00,0.0012509999796748161,0.0014319999609142542,0.0010019999463111162,0.0011139999842271209,376837,0.0,0.0
2024-03-25 00:00:00+00:00,0.0011139999842271209,0.001610000035725534,0.0010000000474974513,0.0011490000179037452,887925,0.0,0.0
2024-03-26 00:00:00+00:00,0.0011500000255182385,0.0014049999881535769,0.0010110000148415565,0.0010999999940395355,820990,0.0,0.0
2024-03-27 00:00:00+00:00,0.0010999999940395355,0.0011630000080913305,0.000547999981790781,0.0010219999821856618,796041,0.0,0.0
2024-03-28 00:00:00+00:00,0.0010219999821856618,0.001446999958716333,0.000893999997060746,0.0012110000243410468,1151512,0.0,0.0
2024-03-29 00:00:00+00:00,0.0012100000167265534,0.0013010000111535192,0.0001990000018849969,0.00027099999715574086,1549435,0.0,0.0
2024-03-30 00:00:00+00:00,0.00027099999715574086,0.00029799999902024865,0.00015999999595806003,0.00021300000662449747,213650,0.0,0.0
2024-03-31 00:00:00+00:00,0.00021300000662449747,0.00022600000374950469,0.00017299999308306724,0.00019200000679120421,85857,0.0,0.0
2024-04-01 00:00:00+00:00,0.00019200000679120421,0.00019299999985378236,7.100000220816582e-05,0.00010599999950500205,113453,0.0,0.0
2024-04-02 00:00:00+00:00,0.00010599999950500205,0.0002469999890308827,0.00010299999848939478,0.00011700000322889537,111831,0.0,0.0
2024-04-03 00:00:00+00:00,0.00011700000322889537,0.0001250000059371814,9.200000204145908e-05,0.00011100000119768083,33858,0.0,0.0
2024-04-04 00:00:00+00:00,0.00011100000119768083,0.00011200000153621659,9.699999645818025e-05,0.00010199999815085903,16747,0.0,0.0
2024-04-05 00:00:00+00:00,0.00010199999815085903,0.00010299999848939478,9.200000204145908e-05,9.300000237999484e-05,10530,0.0,0.0
2024-04-06 00:00:00+00:00,9.300000237999484e-05,0.00010099999781232327,9.000000136438757e-05,9.100000170292333e-05,12336,0.0,0.0
