TIMESTAMP,VALUE_OPEN_PRICE_USD,VALUE_HIGH_PRICE_USD,VALUE_LOW_PRICE_USD,VALUE_CLOSE_PRICE_USD,VALUE_VOLUME_USD,VALUE_DIVIDENDS_USD,VALUE_STOCK_SPLITS_USD
2020-10-14 00:00:00+00:00,4.474468231201172,4.57311487197876,0.00020799999765586108,4.315691947937012,408347,0.0,0.0
2020-10-15 00:00:00+00:00,4.304690837860107,4.735764026641846,3.766953945159912,4.249399185180664,389455,0.0,0.0
2020-10-16 00:00:00+00:00,4.310479164123535,4.494783878326416,3.926692008972168,4.38136100769043,391176,0.0,0.0
2020-10-17 00:00:00+00:00,4.38136100769043,4.796945095062256,3.871814012527466,4.393278121948242,389235,0.0,0.0
2020-10-18 00:00:00+00:00,4.391820907592773,5.127617835998535,4.118773937225342,4.380588054656982,430637,0.0,0.0
2020-10-19 00:00:00+00:00,4.392309188842773,4.5221757888793945,3.3122029304504395,4.07891321182251,409597,0.0,0.0
2020-10-20 00:00:00+00:00,4.1142377853393555,4.413609981536865,3.566538095474243,3.6519949436187744,336716,0.0,0.0
2020-10-21 00:00:00+00:00,3.653465986251831,3.7950611114501953,3.0934441089630127,3.121342897415161,492235,0.0,0.0
2020-10-22 00:00:00+00:00,3.1237080097198486,3.3688700199127197,2.9152369499206543,3.1410129070281982,462887,0.0,0.0
2020-10-23 00:00:00+00:00,3.142071008682251,3.267180919647217,2.788789987564087,3.1206650733947754,279559,0.0,0.0
2020-10-24 00:00:00+00:00,3.1205520629882812,3.14542293548584,2.6889870166778564,2.6978321075439453,315511,0.0,0.0
2020-10-25 00:00:00+00:00,2.6977949142456055,2.7561850547790527,2.411699056625366,2.672879934310913,359686,0.0,0.0
2020-10-26 00:00:00+00:00,2.6728529930114746,3.8649470806121826,2.648952007293701,3.181478977203369,503361,0.0,0.0
2020-10-27 00:00:00+00:00,3.1816248893737793,3.2815051078796387,2.8677749633789062,3.0806190967559814,333059,0.0,0.0
2020-10-28 00:00:00+00:00,3.0805439949035645,3.2666409015655518,2.56087589263916,2.7047059535980225,336145,0.0,0.0
2020-10-29 00:00:00+00:00,2.7046549320220947,2.9628100395202637,2.3465070724487305,2.6213009357452393,1804709,0.0,0.0
2020-10-30 00:00:00+00:00,2.6212949752807617,2.700627088546753,2.4552700519561768,2.693044900894165,949091,0.0,0.0
2020-10-31 00:00:00+00:00,2.693057060241699,2.827920913696289,2.59335994720459,2.682560920715332,881845,0.0,0.0
2020-11-01 00:00:00+00:00,2.682558059692383,2.8647570610046387,2.600935935974121,2.8066461086273193,983573,0.0,0.0
2020-11-02 00:00:00+00:00,2.806678056716919,2.977078914642334,2.717906951904297,2.7540640830993652,918649,0.0,0.0
2020-11-03 00:00:00+00:00,2.754117012023926,3.034991979598999,2.6337170600891113,2.957926034927368,1026934,0.0,0.0
2020-11-04 00:00:00+00:00,2.9579451084136963,3.025521993637085,2.282128095626831,2.3814609050750732,982892,0.0,0.0
2020-11-05 00:00:00+00:00,2.381481885910034,2.429630994796753,2.060981035232544,2.321014881134033,875777,0.0,0.0
2020-11-06 00:00:00+00:00,2.32100510597229,2.366964101791382,2.1666269302368164,2.2668230533599854,791087,0.0,0.0
2020-11-07 00:00:00+00:00,2.2668709754943848,2.5631868839263916,2.2075040340423584,2.245945930480957,830416,0.0,0.0
2020-11-08 00:00:00+00:00,2.2461230754852295,2.4751899242401123,2.2353830337524414,2.431749105453491,852268,0.0,0.0
2020-11-09 00:00:00+00:00,2.431752920150757,2.458271026611328,2.270591974258423,2.3154549598693848,883464,0.0,0.0
